,,Global Time,Time,Cell1 Cathode vConcentration,Cell1 Anode vConcentration,Cell1 Anode vSEI Length,Cell1 Voltage,Current
C1,21,1527.2727272727275,1527.2727272727275,30233.636201709935,17811.238572960498,5e-09,3.7826976533385945,-13.6319183090575
C1,22,1600.0000000000002,1600.0000000000002,30442.48374586636,17584.510877185894,5e-09,3.7770200752373446,-13.6319183090575
C1,23,1672.727272727273,1672.727272727273,30651.331290022867,17357.783181411178,5e-09,3.771416805739754,-13.6319183090575
C1,24,1745.4545454545455,1745.4545454545455,30860.178834179173,17131.055485636756,5e-09,3.765885154141212,-13.6319183090575
C1,25,1818.1818181818182,1818.1818181818182,31069.026378335657,16904.327789862156,5e-09,3.760422731600222,-13.6319183090575
C1,26,1890.909090909091,1890.909090909091,31277.873922492225,16677.60009408764,5e-09,3.7550274094245855,-13.6319183090575
C1,27,1963.6363636363637,1963.6363636363637,31486.721466648516,16450.872398313128,5e-09,3.74969728235119,-13.6319183090575
C1,28,2036.3636363636365,2036.3636363636365,31695.569010804975,16224.144702538524,5e-09,3.7444306360036963,-13.6319183090575
C1,29,2109.0909090909095,2109.0909090909095,31904.416554961463,15997.417006764083,5e-09,3.739225917837955,-13.6319183090575
C1,30,2181.818181818182,2181.818181818182,32113.264099118078,15770.689310989492,5e-09,3.7340817109938396,-13.6319183090575
C1,31,2254.545454545455,2254.545454545455,32322.111643274748,15543.961615215048,5e-09,3.728996710544863,-13.6319183090575
C1,32,2327.2727272727275,2327.2727272727275,32530.95918743115,15317.233919440461,5e-09,3.7239697017149074,-13.6319183090575
C1,33,2400.0,2400.0,32739.806731587538,15090.506223665896,5e-09,3.718999539679533,-13.6319183090575
C1,34,2472.727272727273,2472.727272727273,32948.654275744026,14863.778527891318,5e-09,3.7140851306145337,-13.6319183090575
C1,35,2545.4545454545455,2545.4545454545455,33157.501819900564,14637.050832116734,5e-09,3.7092254136885376,-13.6319183090575
C1,36,2618.1818181818185,2618.1818181818185,33366.3493640569,14410.323136342215,5e-09,3.704419343723374,-13.6319183090575
C1,37,2690.909090909091,2690.909090909091,33575.19690821336,14183.595440567657,5e-09,3.6996658742661177,-13.6319183090575
C1,38,2763.636363636364,2763.636363636364,33784.044452369824,13956.86774479313,5e-09,3.6949639408318014,-13.6319183090575
C1,39,2836.3636363636365,2836.3636363636365,33992.89199652624,13730.140049018517,5e-09,3.6903124440852073,-13.6319183090575
C1,40,2909.0909090909095,2909.0909090909095,34201.73954068287,13503.412353244055,5e-09,3.6857102327361297,-13.6319183090575
