,,Global Time,Time,String 1 Iapp,String 2 Iapp,"Cell 1,1 Cathode vConcentration","Cell 1,1 Anode vConcentration","Cell 1,1 Anode vSEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode vConcentration","Cell 1,2 Anode vConcentration","Cell 1,2 Anode vSEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area"
C1,10,727.2727272727274,727.2727272727274,-13.674392334597385,-13.589444283517615,27963.3117306936,20298.223325264433,4.999999999956574e-09,3.849784193264849,2.764219344437865,27948.35081635103,20270.86774820609,5e-09,3.849784193264848,2.7436264369995094
C1,11,800.0000000000001,800.0000000000001,-13.673456023754934,-13.590380594360067,28174.63432580647,20070.95183017192,4.999999999733433e-09,3.8429111431699425,3.0404602369464744,28158.49980686171,20040.61002991002,5e-09,3.8429111431699434,3.0181701226346376
C1,12,872.7272727272727,872.7272727272727,-13.672617529577773,-13.591219088537228,28385.94395518721,19843.694565551883,4.999999999775389e-09,3.8361844840202606,3.316683202131653,28368.661769931696,19810.337805665007,5e-09,3.8361844840202615,3.292731735593196
C1,13,945.4545454545455,945.4545454545455,-13.67186262044437,-13.59197399767063,28597.241910384506,19616.450100101807,4.999999999781814e-09,3.8295923178263456,3.592890072333897,28578.835413332155,19580.052534480947,5e-09,3.8295923178263465,3.5673094435346897
C1,14,1018.1818181818182,1018.1818181818182,-13.671179765273276,-13.592656852841724,28808.52930497175,19389.217202027106,4.9999999997641775e-09,3.8231243779581767,3.869082419664378,28789.019622902902,19349.75547199774,5e-09,3.823124377958177,3.841901674347946
C1,15,1090.909090909091,1090.909090909091,-13.67055955377743,-13.59327706433757,29019.807107238415,19161.994802127603,4.99999999971396e-09,3.8167717797635388,4.145261604705294,28999.21342984497,19119.447708113217,5e-09,3.816771779763539,4.116507067450767
C1,16,1163.6363636363637,1163.6363636363637,-13.669994254916862,-13.593842363198139,29231.07616608403,18934.781964615708,4.999999999678254e-09,3.81052681397583,4.421428814894126,29209.415984812087,18889.13019673042,5e-09,3.810526813975831,4.391124435405674
C1,17,1236.3636363636365,1236.3636363636365,-13.669478009598569,-13.594358608516432,29442.33713366425,18707.57797041148,4.999999999683311e-09,3.8043838407925574,4.697585100394282,29419.62663530474,18658.80367084943,5e-09,3.804383840792557,4.665752728049255
C1,18,1309.0909090909092,1309.0909090909092,-13.669004786846937,-13.594831831268063,29653.590782881725,18480.38197140652,4.999999999729273e-09,3.7983348907244223,4.973731391267469,29629.84460801365,18428.468994996205,5e-09,3.7983348907244223,4.940391015319806
C1,19,1381.818181818182,1381.818181818182,-13.668570307610253,-13.595266310504748,29864.83771270642,18253.19331042442,4.999999999683308e-09,3.792375915364752,5.249868513433704,29840.069303652934,18198.126839069042,5e-09,3.792375915364753,5.2150384712973095
C1,20,1454.5454545454547,1454.5454545454547,-13.668170857418787,-13.595665760696214,30076.07846461872,18026.011394218338,4.999999999631393e-09,3.78650243963758,5.525997212070361,30050.300180457616,17967.777807799328,5e-09,3.7865024396375797,5.48969435080439
C1,21,1527.2727272727275,1527.2727272727275,-13.667803315248158,-13.596033302866843,30287.31353191278,17798.835683112484,4.99999999965524e-09,3.7807105355012847,5.802118163309421,30260.536744873833,17737.422451309518,5e-09,3.780710535501285,5.764357977709068
C1,22,1600.0000000000002,1600.0000000000002,-13.667465057300396,-13.596371560814605,30498.543367370876,17571.66568246164,4.999999999650965e-09,3.7749967469859524,6.078231985254356,30470.77854388109,17507.061273820153,5e-09,3.774996746985952,6.0390287339078705
C1,23,1672.727272727273,1672.727272727273,-13.667153882214473,-13.596682735900528,30709.768389783396,17344.50093541163,4.999999999615764e-09,3.7693580257123886,6.354339247269658,30681.02515846754,17276.694741029947,5e-09,3.7693580257123886,6.3137060500363065
C1,24,1745.4545454545455,1745.4545454545455,-13.666867953437364,-13.596968664677636,30920.98898958533,17117.341016666203,4.999999999617957e-09,3.7637916751273703,6.630440477932806,30891.2761979934,17046.323286467497,5e-09,3.7637916751273703,6.5883893975168935
C1,25,1818.1818181818182,1818.1818181818182,-13.666605755525307,-13.597230862589694,31132.20553381679,16890.18552701913,4.9999999996164456e-09,3.7582953020047887,6.906536171962732,31101.531295225308,16815.947317067697,5e-09,3.758295302004789,6.863078281630705
C1,26,1890.909090909091,1890.909090909091,-13.666366061949665,-13.597470556165336,31343.41837058963,16663.034088451586,4.9999999996414884e-09,3.7528667740133055,7.182626796381671,31311.79010186795,16585.567218166438,5e-09,3.7528667740133055,7.137772235355504
C1,27,1963.6363636363637,1963.6363636363637,-13.666147900513476,-13.597688717601525,31554.62783667038,16435.88633585455,4.999999999658907e-09,3.747504182352835,7.45871279600251,31522.05228097745,16355.183361941026,5e-09,3.7475041823528343,7.412470813878402
C1,28,2036.3636363636365,2036.3636363636365,-13.665950531369022,-13.597886086745978,31765.8342638506,16208.74191010318,4.999999999631988e-09,3.742205808621798,7.734794598344758,31732.3175005875,16124.796114467943,5e-09,3.7422058086217986,7.687173589679892
C1,29,2109.0909090909095,2109.0909090909095,-13.665773505203822,-13.598063112911179,31977.037963983803,15981.60047443396,4.999999999631479e-09,3.736970095214598,8.010872618916201,31942.585448680307,15894.405819029966,5e-09,3.7369700952145983,7.961880147252187
C1,30,2181.818181818182,2181.818181818182,-13.665616616865202,-13.598220001249798,32188.239245729033,15754.461696148916,4.999999999660865e-09,3.7317956186411894,8.286947266613867,32152.85581643474,15664.012814765812,5e-09,3.7317956186411885,8.236590077698256
C1,31,2254.545454545455,2254.545454545455,-13.665479911368696,-13.598356706746305,32399.438418463735,15527.325242468874,4.999999999651168e-09,3.7266810652583002,8.56301894871724,32363.128294310278,15433.617440896183,5e-09,3.726681065258301,8.511302973738623
C1,32,2327.2727272727275,2327.2727272727275,-13.665363696173856,-13.598472921941145,32610.635796294122,15300.190776255224,4.9999999996534635e-09,3.7216252089632453,8.839088076066153,32573.40256803503,15203.220041086584,5e-09,3.721625208963246,8.786018424533445
C1,33,2400.0,2400.0,-13.66526855933603,-13.598568058778971,32821.831702344156,15073.057951443843,4.999999999621751e-09,3.7166268904581514,9.11515506854605,32783.67831431505,14972.820968100077,5e-09,3.7166268904581514,9.060736010197283
