,Time (s),Global Time (s),Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area"
0,0.0,0.0,7.731777232740682,-54.52767323623,-27.112393194332157,-27.415280041897848,25777.5,22610.7,5e-09,3.8663897844621857,0.0,25777.5,22610.7,5e-09,3.8658491293505506,0.0,25777.5,22610.7,5e-09,3.8653874482784962,0.0,25777.5,22610.7,5e-09,3.865928103390132,0.0
1,72.72727272727273,72.72727272727273,7.680846599234935,-54.52767323623,-27.135289074608796,-27.3923841616212,26338.14949922564,22091.258617832107,5.000000000001066e-09,3.840844911776328,0.5479563865549592,26338.90977848452,22087.69107893866,5.000000000000901e-09,3.8404355829510886,0.5536127697325157,26333.059399371865,22076.197567307972,5.000000000001397e-09,3.8400016874586074,0.5479563865549592,26341.763783643895,22091.115841055038,5.000000000004408e-09,3.8404110162838445,0.5536127697325157
2,145.45454545454547,145.45454545454547,7.646825307881914,-54.52767323623,-27.145630766066,-27.382042470164006,26761.172598931644,21646.397037752824,5.0000000000017835e-09,3.823793773069087,1.096248506157735,26762.020422465408,21640.243287293895,5.0000000000016685e-09,3.8234539603681954,1.106889806417215,26752.24190023515,21618.43735619163,5.000000000002402e-09,3.823031534812827,1.096248506157735,26767.025369783572,21646.598022847036,5.000000000024034e-09,3.8233713475137185,1.106889806417215
3,218.1818181818182,218.1818181818182,7.615339298379645,-54.52767323623,-27.152988467207805,-27.374684769022192,27182.437310197613,21201.41576673025,5.000000000001287e-09,3.808018932875512,1.6447194075039349,27183.110013929374,21192.969659851584,5.000000000066662e-09,3.8077353089420964,1.6599880613584896,27169.681976951142,21160.55398372822,5.000000000064818e-09,3.8073203655041326,1.6447194075039349,27190.255629103114,21202.253228381098,5.000000000144973e-09,3.8076039894375455,1.6599880613584896
4,290.90909090909093,290.90909090909093,7.585716947917012,-54.52767323623,-27.15854735015316,-27.369125886076844,27603.762394553538,20756.335104016565,5.0000000000240545e-09,3.7931815894001466,2.19332077939647,27604.083088212927,20745.794983736836,5.0000000000642844e-09,3.792945425565507,2.2129558457534295,27587.181878633746,20702.568337740802,5.000000000039023e-09,3.792535358516865,2.19332077939647,27613.368778910786,20758.006737290667,5.000000000064905e-09,3.792771522351504,2.2129558457534295
5,363.6363636363637,363.6363636363637,7.557606588465325,-54.52767323623,-27.162897934343263,-27.364775301886738,28025.15285213357,20311.17985679135,5.000000000026651e-09,3.779104237557237,2.742022246916636,28024.98783248717,20298.694659919835,5.000000000058181e-09,3.7789093502427558,2.7658235345207385,28004.746560021402,20244.505944685847,5.000000000017382e-09,3.7785023509080884,2.742022246916636,28036.41325134391,20313.834111624794,4.9999999999688965e-09,3.778697238222569,2.7658235345207385
6,436.3636363636364,436.3636363636364,7.530732787534687,-54.52767323623,-27.16639421837623,-27.36127901785377,28446.597184055656,19865.964955127933,5.0000000000159796e-09,3.7656480067614395,3.2908029757319843,28445.83889290874,19851.653805864098,5.00000000006249e-09,3.7654899567264155,3.3186119619928647,28422.36462662938,19786.38216752955,5.0000000000103366e-09,3.765084780773247,3.2908029757319843,28459.403767015156,19869.720566300686,4.999999999874204e-09,3.7652428308082704,3.3186119619928647
7,509.0909090909091,509.0909090909091,7.5048997088251,-54.52767323623,-27.16926197694469,-27.358411259285315,28868.085867165213,19420.70129656213,5.000000000010339e-09,3.752714231136504,3.8396479878059333,28866.645959393034,19404.661557785348,5.000000000058218e-09,3.752589697741179,3.8713361062063907,28840.02664176332,19328.208219779062,5.000000000001316e-09,3.7521854776885957,3.8396479878059333,28882.35006509965,19425.65530867252,4.9999999998139225e-09,3.752310011083922,3.8713361062063907
8,581.8181818181819,581.8181818181819,7.479961279383771,-54.52767323623,-27.171651305588576,-27.356021930641425,29289.611549457462,18975.397124839925,5.000000000010108e-09,3.7402293727176277,4.388546101770916,29287.41634032101,18957.70969745631,5.00000000005613e-09,3.740135777272774,4.424007148528883,29257.725320166835,18869.992584204916,5.000000000001324e-09,3.739731906666143,4.388546101770916,29305.25949113195,18981.630174327438,4.999999999843521e-09,3.739825502110996,4.424007148528883
9,654.5454545454546,654.5454545454546,7.455807342722984,-54.52767323623,-27.173664676099506,-27.354008560130495,29711.168434328014,18530.05888049774,5.000000000011195e-09,3.72813801690434,4.937488687444533,29708.15578437786,18510.79180427707,5.000000000053959e-09,3.7280732721486696,4.976633719142741,29675.45491786235,18411.741888085206,5.0000000000006346e-09,3.727669325818644,4.937488687444533,29728.137823021214,18537.6387847088,4.999999999758461e-09,3.7277340705743143,4.976633719142741
