Time,Cell1 Cathode vConcentration,Cell1 Cathode vPhi,Cell1 Anode vConcentration,Cell1 Anode vPhi,Cell1 Anode vSEI Length
0.0,25777.5,4.1330238498798,22610.7,0.1973195147667003,5e-09
72.72727272727273,26055.712205501128,4.120676697440469,22345.807075908604,0.198084371350685,5e-09
145.45454545454547,26265.511208906526,4.112147354612331,22119.064935251845,0.19874133901114657,5e-09
218.1818181818182,26474.378755170925,4.104068945704131,21892.33709898191,0.1994066656044079,5e-09
290.90909090909093,26683.227824813344,4.096352668497857,21665.60940115952,0.2000794946157496,5e-09
363.6363636363637,26892.07548554073,4.088951125314192,21438.88170535488,0.2007588806521413,5e-09
436.3636363636364,27100.923038620997,4.081826908539856,21212.15400957979,0.2014439830700177,5e-09
509.0909090909091,27309.770583461926,4.074948614595016,20985.426313805412,0.20213401970152398,5e-09
581.8181818181819,27518.618127670987,4.0682896967038085,20758.698618030834,0.20282826138943835,5e-09
654.5454545454546,27727.46567183142,4.061827594575417,20531.970922256427,0.20352602726799338,5e-09
727.2727272727274,27936.313215988157,4.055543044674012,20305.243226481893,0.20422668062784383,5e-09
800.0000000000001,28145.160760144776,4.049419527276176,20078.515530707253,0.20492962529191766,5e-09
872.7272727272727,28354.008304301326,4.043442819633549,19851.787834932824,0.20563430244544467,5e-09
945.4545454545455,28562.85584845781,4.037600632275121,19625.060139158253,0.20634018787333885,5e-09
1018.1818181818182,28771.70339261428,4.031882310992744,19398.332443383602,0.20704678956627331,5e-09
1090.909090909091,28980.550936770764,4.026278591113633,19171.604747609,0.20775364566381516,5e-09
1163.6363636363637,29189.398480927408,4.020782457303843,18944.87705183432,0.20846031821184852,5e-09
1236.3636363636365,29398.246025083703,4.015384717750204,18718.149356059814,0.2091664050547859,5e-09
1309.0909090909092,29607.093569240213,4.010080252239498,18491.4216602853,0.2098715253005011,5e-09
1381.818181818182,29815.941113396766,4.004863623772769,18264.693964510814,0.21057532306169846,5e-09
1454.5454545454547,30024.788657553185,3.9997300469531494,18037.9662687362,0.2112774666606243,5e-09
1527.2727272727275,30233.636201709647,3.994675301569548,17811.238572961804,0.21197764823095586,5e-09
1600.0000000000002,30442.48374586626,3.9896956588130053,17584.510877187273,0.21267558357566718,5e-09
1672.727272727273,30651.331290022554,3.9847878180247625,17357.78318141256,0.2133710122850096,5e-09
1745.4545454545455,30860.17883417922,3.979948852263491,17131.05548563786,0.21406369812228854,5e-09
1818.1818181818182,31069.026378335697,3.975176161288913,16904.32778986322,0.21475342968869424,5e-09
1890.909090909091,31277.873922492046,3.970467430806676,16677.600094088637,0.215440021382089,5e-09
1963.6363636363637,31486.721466648407,3.965820597019929,16450.872398314405,0.21612331466849036,5e-09
2036.3636363636365,31695.569010804917,3.9612338156924425,16224.144702539868,0.21680317968900356,5e-09
2109.0909090909095,31904.416554961415,3.956705435066628,15997.417006765334,0.2174795172292216,5e-09
2181.818181818182,32113.26409911781,3.9522339720757707,15770.689310990805,0.2181522610827553,5e-09
2254.545454545455,32322.11164327427,3.9478180913892618,15543.96161521618,0.21882138084549663,5e-09
2327.2727272727275,32530.959187430755,3.9434565868962044,15317.233919441494,0.21948688518266446,5e-09
2400.0,32739.806731587323,3.9391483652945105,15090.506223666858,0.22014882561661364,5e-09
2472.727272727273,32948.65427574392,3.9348924315025373,14863.778527892086,0.22080730088990516,5e-09
2545.4545454545455,33157.501819900244,3.930687875651685,14637.050832117522,0.22146246196530672,5e-09
2618.1818181818185,33366.34936405678,3.9265338614532777,14410.323136343019,0.22211451773233043,5e-09
2690.909090909091,33575.19690821324,3.9224296157620913,14183.595440568593,0.2227637414986593,5e-09
2763.636363636364,33784.044452369664,3.9183744191833827,13956.867744794035,0.22341047835453154,5e-09
2836.3636363636365,33992.891996525934,3.914367597590892,13730.140049019456,0.22405515350888547,5e-09
2909.0909090909095,34201.73954068249,3.9104085144406753,13503.412353244907,0.2246982817080077,5e-09
2981.818181818182,34410.58708483897,3.906496563780497,13276.684657470449,0.22534047786063635,5e-09
3054.545454545455,34619.43462899548,3.9026311638666806,13049.956961695929,0.22598246900814975,5e-09
3127.2727272727275,34828.282173151936,3.8988117513112392,12823.229265921493,0.22662510779474515,5e-09
3200.0000000000005,35037.12971730833,3.8950377756908567,12596.501570146937,0.22726938761057372,5e-09
3272.727272727273,35245.97726146481,3.8913086945569497,12369.773874372435,0.22791645960080184,5e-09
3345.454545454546,35454.824805621196,3.887623968792554,12143.046178597879,0.2285676517557741,5e-09
3418.1818181818185,35663.67234977781,3.8839830583528014,11916.318482823373,0.22922449031988323,5e-09
3490.909090909091,35872.51989393449,3.880385252873583,11689.590787048826,0.22988869005779428,5e-09
3563.636363636364,36081.36743809086,3.876830366348237,11462.863091274256,0.23056231704306038,5e-09
3636.3636363636365,36290.21498224741,3.8733176251513117,11236.135395499725,0.23124761567887359,5e-09
3709.0909090909095,36499.06252640404,3.8698464452674295,11009.407699725176,0.23194717557496894,5e-09
3781.818181818182,36707.91007056045,3.866416223026612,10782.680003950645,0.2326639366144371,5e-09
3854.545454545455,36916.75761471678,3.8630263317370326,10555.952308176114,0.23340123095797466,5e-09
3927.2727272727275,37125.60515887332,3.859676118365223,10329.224612401584,0.2341628299643704,5e-09
4000.0000000000005,37334.45270302995,3.856364900233445,10102.49691662713,0.23495299657607488,5e-09
4072.727272727273,37543.30024718635,3.8530919617057555,9875.76922085259,0.23577654377561694,5e-09
4145.454545454546,37752.14779134292,3.849856550832379,9649.041525078062,0.23663889978128452,5e-09
