Time,Concentration,Voltage
0.0,30730.0,4.017451292190719
289.1566265060241,30839.06005438366,4.014872894331194
578.3132530120482,30913.104826057497,4.0131852297200865
867.4698795180723,30985.396413765542,4.011545831591287
1156.6265060240964,31057.509413146647,4.009918174531474
1445.7831325301206,31129.603936397783,4.008298483838067
1734.9397590361446,31201.694859015017,4.00668633676925
2024.0963855421687,31273.786377073586,4.005081557912081
2313.253012048193,31345.87804217399,4.003484074510324
2602.409638554217,31417.969639397194,4.001893854369771
2891.566265060241,31490.061239430324,4.000310771064377
3180.7228915662654,31562.152840831404,3.9987348372090987
3469.879518072289,31634.244426916972,3.9971658323060537
3759.0361445783133,31706.336002455995,3.995603827371685
4048.1927710843374,31778.427567448478,3.9940488224059925
4337.349397590362,31850.519126611714,3.992500696724102
4626.506024096386,31922.61069581976,3.990959044213253
4915.6626506024095,31994.70226412381,3.989424144981433
5204.819277108434,32066.79383152387,3.9878959990286433
5493.975903614458,32138.885398019935,3.986374606354883
5783.132530120482,32210.976963612007,3.9848599669601517
6072.289156626506,32283.068528300086,3.98335208084445
6361.445783132531,32355.16009208417,3.9818509480077777
6650.6024096385545,32427.25165731447,3.9803556904098807
6939.759036144578,32499.34322322179,3.9788665954239018
7228.915662650603,32571.434789013954,3.9773839590045816
7518.0722891566265,32643.526354690974,3.9759077811519195
7807.228915662651,32715.617920252844,3.974438061865916
8096.385542168675,32787.70948569955,3.972974801146571
8385.5421686747,32859.80105103113,3.971517998993884
8674.698795180724,32931.892616396304,3.970067431622167
8963.855421686747,33003.98418235186,3.9686222614409514
9253.012048192772,33076.07574838372,3.9671832618017686
9542.168674698796,33148.167314491904,3.9657504327046187
9831.325301204819,33220.25888067639,3.964323774149502
10120.481927710844,33292.35044693718,3.962903286136419
10409.638554216868,33364.44201327428,3.9614889686653685
10698.795180722893,33436.533579687704,3.960080821736351
10987.951807228916,33508.625145996375,3.958678193641493
11277.10843373494,33580.71671224146,3.9572812325604088
11566.265060240965,33652.808278497905,3.955890208188905
11855.421686746988,33724.899844765685,3.9545051205269806
12144.578313253012,33796.99141104482,3.953125969574636
12433.734939759037,33869.0829773353,3.9517527553318708
12722.891566265062,33941.174543637135,3.9503854777986858
13012.048192771084,34013.26610994594,3.9490240567496886
13301.204819277109,34085.35767623623,3.9476680251065166
13590.361445783134,34157.44924252551,3.9463177038499317
13879.518072289156,34229.54080881239,3.9449730669048746
14168.674698795181,34301.63237509541,3.943634088196284
14457.831325301206,34373.72394137317,3.9423007416491
14746.98795180723,34445.815507644234,3.9409730011882633
15036.144578313253,34517.9070739072,3.9396508407387136
15325.301204819278,34589.99864016063,3.9383342342253913
15614.457831325302,34662.09020640309,3.937023155573237
15903.614457831327,34734.18177263318,3.9357175787071887
16192.77108433735,34806.27333884947,3.9344174775521874
16481.927710843374,34878.364905050534,3.9331228260331734
16771.0843373494,34950.456471234946,3.9318335980750865
17060.240963855424,35022.548037401306,3.9305497676028667
17349.39759036145,35094.63960356326,3.9292713370834704
17638.55421686747,35166.73116983699,3.9279985027000524
17927.710843373494,35238.82273611967,3.9267310466846994
18216.86746987952,35310.91430241215,3.925468947292262
18506.024096385543,35383.00586871531,3.9242121827775884
18795.180722891568,35455.097435029995,3.9229607313955293
19084.337349397592,35527.189001357096,3.921714571400933
19373.493975903617,35599.280567697475,3.9204736810486494
19662.650602409638,35671.37213405201,3.9192380385935284
19951.807228915663,35743.463700421555,3.918007622290419
20240.963855421687,35815.55526680698,3.916782410394171
20530.12048192771,35887.64683320915,3.9155623811596336
20819.277108433736,35959.73839962895,3.9143475128416565
21108.43373493976,36031.82996606724,3.9131377836950887
21397.590361445786,36103.92153252488,3.9119331719747796
21686.746987951807,36176.013098988915,3.9107336257757215
21975.90361445783,36248.10466527451,3.909538718963277
22265.060240963856,36320.19623154126,3.9083487754439523
22554.21686746988,36392.2877977875,3.907163767956157
22843.373493975905,36464.37936401155,3.9059836692383016
23132.53012048193,36536.470930211755,3.904808452028795
23421.686746987954,36608.56249638645,3.9036380890660465
23710.843373493975,36680.65406253397,3.9024725530884665
24000.0,36752.74562865265,3.9013118168344643
24289.156626506025,36824.83719474083,3.9001558530424485
24578.31325301205,36896.928760796836,3.89900463445083
24867.469879518074,36969.020326819016,3.897858133798018
25156.6265060241,37041.1118928057,3.8967163238224214
25445.783132530123,37113.20345875521,3.8955791772624506
25734.939759036144,37185.29502466591,3.8944466668565143
26024.09638554217,37257.386590546244,3.8933187753341967
26313.253012048193,37329.47815676196,3.8921958376440497
26602.409638554218,37401.5697230084,3.891077527826347
26891.566265060243,37473.66128928855,3.889963823192877
27180.722891566267,37545.75285560538,3.8888547010554273
27469.879518072292,37617.844421961876,3.8877501387257873
27759.036144578313,37689.935988361,3.8866501135157465
28048.192771084337,37762.02755480573,3.8855546027370926
28337.349397590362,37834.11912129905,3.8844635837016153
28626.506024096387,37906.210687843915,3.8833770337211013
28915.66265060241,37978.302254443326,3.882294930107342
29204.819277108436,38050.39382110023,3.881217250172125
29493.97590361446,38122.48538781762,3.8801439712272394
29783.132530120485,38194.57695459846,3.879075070584473
30072.289156626506,38266.66852144573,3.878010525555615
30361.44578313253,38338.7600883624,3.876950313452455
30650.602409638555,38410.85165483366,3.875892804228556
30939.75903614458,38482.94322127209,3.8748392466819803
31228.915662650605,38555.03478768109,3.87378961949986
31518.07228915663,38627.126354057305,3.872743880351081
31807.228915662654,38699.217920397394,3.87170198690453
32096.385542168675,38771.309486697995,3.8706638968290927
32385.5421686747,38843.40105295575,3.8696295677936545
