Time,Concentration,Voltage,I_INT,I_SEI,Length
0.0,19986.0,0.24138368778043112,0.06682032939814815,3.7982270983039195e-65,5e-09
144.57831325301206,19929.14364148615,0.24131031348053938,0.06682032939814815,0.0,5e-09
289.1566265060241,19895.135165013766,0.24126788006470146,0.06682032939814815,0.0,5e-09
433.73493975903614,19863.86910734485,0.2412284293363123,0.06682032939814815,0.0,5e-09
578.3132530120482,19833.44044484147,0.24118964866159365,0.06682032939814815,0.0,5e-09
722.8915662650603,19803.263473673833,0.2411508376069906,0.06682032939814815,0.0,5e-09
867.4698795180723,19773.174083174294,0.2411118163947244,0.06682032939814815,0.0,5e-09
1012.0481927710844,19743.116320305468,0.2410725405276297,0.06682032939814815,0.0,5e-09
1156.6265060240964,19713.074546954962,0.24103301637876876,0.06682032939814815,0.0,5e-09
1301.2048192771085,19683.037197912297,0.24099324831086666,0.06682032939814815,0.0,5e-09
1445.7831325301206,19653.001185596167,0.2409532624608712,0.06682032939814815,0.0,5e-09
1590.3614457831327,19622.962974298818,0.24091308051224505,0.06682032939814815,0.0,5e-09
1734.9397590361446,19592.92329924565,0.2408727024229625,0.06682032939814815,0.0,5e-09
1879.5180722891566,19562.884435779568,0.24083200452480882,0.06682032939814815,0.0,5e-09
2024.0963855421687,19532.845801473144,0.24079127813780446,0.06682032939814815,0.0,5e-09
2168.674698795181,19502.807167166717,0.24075055175080007,0.06682032939814815,0.0,5e-09
2313.253012048193,19472.768616157104,0.2407097398144578,0.06682032939814815,0.0,5e-09
2457.8313253012047,19442.730412102806,0.24066857154037755,0.06682032939814815,0.0,5e-09
2602.409638554217,19412.692208048513,0.24062740326629725,0.06682032939814815,0.0,5e-09
2746.987951807229,19382.654003994216,0.24058623499221696,0.06682032939814815,0.0,5e-09
2891.566265060241,19352.61579993992,0.2405450667181367,0.06682032939814815,0.0,5e-09
3036.144578313253,19322.57759588562,0.2405038984440564,0.06682032939814815,0.0,5e-09
3180.7228915662654,19292.539391831324,0.2404627301699761,0.06682032939814815,0.0,5e-09
3325.3012048192772,19262.501187777027,0.2404215618958958,0.06682032939814815,0.0,5e-09
3469.879518072289,19232.463023568598,0.24038054068085046,0.06682032939814815,0.0,5e-09
3614.4578313253014,19202.42486805946,0.24033955157226108,0.06682032939814815,0.0,5e-09
3759.0361445783133,19172.38671255032,0.24029856246367168,0.06682032939814815,0.0,5e-09
3903.6144578313256,19142.348557041183,0.2402575733550823,0.06682032939814815,0.0,5e-09
4048.1927710843374,19112.310401532046,0.2402165842464929,0.06682032939814815,0.0,5e-09
4192.77108433735,19082.27224602291,0.2401755951379035,0.06682032939814815,0.0,5e-09
4337.349397590362,19052.234090513768,0.2401346060293141,0.06682032939814815,0.0,5e-09
4481.9277108433735,19022.19593500463,0.2400936169207247,0.06682032939814815,0.0,5e-09
4626.506024096386,18992.157779495494,0.24005262781213532,0.06682032939814815,0.0,5e-09
4771.084337349398,18962.119623986357,0.24001163870354592,0.06682032939814815,0.0,5e-09
4915.6626506024095,18932.081468477216,0.23997064959495654,0.06682032939814815,0.0,5e-09
5060.240963855422,18902.04331296808,0.23992966048636713,0.06682032939814815,0.0,5e-09
5204.819277108434,18872.00515745894,0.23988867137777775,0.06682032939814815,0.0,5e-09
5349.397590361446,18841.967001949804,0.23984768226918834,0.06682032939814815,0.0,5e-09
5493.975903614458,18811.928846643215,0.23980678783499507,0.06682032939814815,0.0,5e-09
5638.55421686747,18781.890693827587,0.2397670576944389,0.06682032939814815,0.0,5e-09
5783.132530120482,18751.85254101196,0.23972732755388274,0.06682032939814815,0.0,5e-09
5927.710843373494,18721.81438819633,0.23968759741332657,0.06682032939814815,0.0,5e-09
6072.289156626506,18691.7762353807,0.2396478672727704,0.06682032939814815,0.0,5e-09
6216.8674698795185,18661.738082565076,0.23960813713221424,0.06682032939814815,0.0,5e-09
6361.445783132531,18631.699929749448,0.23956840699165807,0.06682032939814815,0.0,5e-09
6506.024096385542,18601.66177693382,0.2395286768511019,0.06682032939814815,0.0,5e-09
6650.6024096385545,18571.62362411819,0.23948894671054574,0.06682032939814815,0.0,5e-09
6795.180722891567,18541.585471302562,0.23944921656998958,0.06682032939814815,0.0,5e-09
6939.759036144578,18511.547318486933,0.2394094864294334,0.06682032939814815,0.0,5e-09
7084.3373493975905,18481.509165671305,0.23936975628887724,0.06682032939814815,0.0,5e-09
7228.915662650603,18451.47101295524,0.23933093556094986,0.06682032939814815,0.0,5e-09
7373.493975903615,18421.432860330297,0.239292947155869,0.06682032939814815,0.0,5e-09
7518.0722891566265,18391.394707705356,0.2392549587507881,0.06682032939814815,0.0,5e-09
7662.650602409639,18361.356555080416,0.23921697034570719,0.06682032939814815,0.0,5e-09
7807.228915662651,18331.318402455476,0.23917898194062628,0.06682032939814815,0.0,5e-09
7951.8072289156635,18301.280249830535,0.23914099353554538,0.06682032939814815,0.0,5e-09
8096.385542168675,18271.242097205595,0.23910300513046448,0.06682032939814815,0.0,5e-09
8240.963855421687,18241.203944580655,0.23906501672538358,0.06682032939814815,0.0,5e-09
8385.5421686747,18211.16579195571,0.23902702832030268,0.06682032939814815,0.0,5e-09
8530.120481927712,18181.12763933077,0.23898903991522177,0.06682032939814815,0.0,5e-09
8674.698795180724,18151.08948670583,0.23895105151014087,0.06682032939814815,0.0,5e-09
8819.277108433735,18121.05133408089,0.23891306310505997,0.06682032939814815,0.0,5e-09
8963.855421686747,18091.013181468843,0.2388769846252352,0.06682032939814815,0.0,5e-09
