Time,Cathode vConcentration,Cathode vPhi
0.0,25777.5,4.2044970675375355
144.57831325301206,25862.968175729955,4.200634193398945
289.1566265060241,25936.073345831595,4.197451097799816
433.73493975903614,26009.169284904558,4.194337717113488
578.3132530120482,26082.26469669763,4.191257670467915
722.8915662650603,26155.360017351573,4.18825272163891
867.4698795180723,26228.455324086844,4.185303287545242
1012.0481927710844,26301.550630597834,4.1824275036910095
1156.6265060240964,26374.64593709941,4.179555382766668
1301.2048192771085,26447.741243589153,4.176754413174718
1445.7831325301206,26520.836550077118,4.173998978160539
1590.3614457831327,26593.931856564905,4.1713042325758165
1734.9397590361446,26667.027163052684,4.168612505491142
1879.5180722891566,26740.122469540594,4.165979678554355
2024.0963855421687,26813.217776028556,4.163384714433089
2168.674698795181,26886.31308251643,4.160840429781024
2313.253012048193,26959.4083890043,4.158298665891869
2457.8313253012047,27032.503695492254,4.155806297179799
2602.409638554217,27105.599001980616,4.153345813284999
2746.987951807229,27178.694308468555,4.150928177451536
2891.566265060241,27251.78961495647,4.148512672951812
3036.144578313253,27324.884921444467,4.146139097825695
3180.7228915662654,27397.980227932145,4.143792694195703
3325.3012048192772,27471.07553442013,4.141482942243884
3469.879518072289,27544.170840908133,4.1391750134878755
3614.4578313253014,27617.26614739618,4.136903086515054
3759.0361445783133,27690.361453883677,4.134654576394942
3903.6144578313256,27763.45676037138,4.1324377666476755
4048.1927710843374,27836.552066859094,4.130222533865312
4192.77108433735,27909.64737334718,4.12803855193114
4337.349397590362,27982.742679834915,4.125874968747207
4481.9277108433735,28055.837986322666,4.123739095101393
4626.506024096386,28128.93329281042,4.121604599947852
4771.084337349398,28202.02859929851,4.119497515993824
4915.6626506024095,28275.123905786517,4.117408385495473
5060.240963855422,28348.21921227419,4.115343723158472
5204.819277108434,28421.31451876185,4.113280278108392
5349.397590361446,28494.409825249917,4.111241118425026
5493.975903614458,28567.50513173805,4.109217916825298
5638.55421686747,28640.600438226054,4.107216533025619
5783.132530120482,28713.69574471405,4.105216234697809
5927.710843373494,28786.791051201635,4.103237660454344
6072.289156626506,28859.886357689487,4.101273406027753
6216.8674698795185,28932.98166417766,4.099328789274424
6361.445783132531,29006.07697066585,4.097385149562493
6506.024096385542,29079.172277153535,4.095461123175958
6650.6024096385545,29152.267583641304,4.093550064104608
6795.180722891567,29225.362890129272,4.091656839849343
6939.759036144578,29298.458196617248,4.08976450296706
7084.3373493975905,29371.553503105388,4.087890031031649
7228.915662650603,29444.6488095929,4.086027404330711
7373.493975903615,29517.744116080743,4.0841811144929085
7518.0722891566265,29590.839422568606,4.0823356375233235
7662.650602409639,29663.934729056455,4.080506570657248
7807.228915662651,29737.030035543758,4.078688413995592
7951.8072289156635,29810.12534203213,4.076885344260963
8096.385542168675,29883.22064852056,4.075083025224586
8240.963855421687,29956.31595500867,4.073295900693062
8385.5421686747,30029.41126149689,4.071518904080516
8530.120481927712,30102.506567984678,4.069755947346377
8674.698795180724,30175.601874472446,4.067993689231084
8819.277108433735,30248.697180960102,4.066245606071474
8963.855421686747,30321.79248744817,4.064506993917265
9108.43373493976,30394.887793936217,4.0627815413734725
9253.012048192772,30467.983100424262,4.061056743664061
9397.590361445784,30541.078406912224,4.059345262757129
9542.168674698796,30614.173713400454,4.057642699295439
9686.746987951808,30687.269019888045,4.0559525528388765
9831.325301204819,30760.364326375602,4.054263024279076
9975.903614457831,30833.45963286333,4.052586087746924
10120.481927710844,30906.554939351376,4.050917600606695
10265.060240963856,30979.6502458398,4.049260901871347
10409.638554216868,31052.745552328237,4.047604789765405
10554.21686746988,31125.840858815784,4.045960655472249
10698.795180722893,31198.936165303123,4.044324573455418
10843.373493975903,31272.031471791197,4.0426997458915
10987.951807228916,31345.12677827931,4.041075478397191
11132.530120481928,31418.2220847676,4.039462666347797
11277.10843373494,31491.317391255787,4.037857568422216
11421.686746987953,31564.412697743806,4.036263269701808
11566.265060240965,31637.50800423182,4.034669508405772
11710.843373493977,31710.603310719685,4.033086756586575
11855.421686746988,31783.698617207672,4.031511429795723
12000.0,31856.793923695845,4.029946512449346
12144.578313253012,31929.889230184028,4.028382113139275
12289.156626506025,32002.984536671844,4.0268283409056345
12433.734939759037,32076.079843159514,4.025281745415952
12578.31325301205,32149.17514964684,4.0237452240729565
12722.891566265062,32222.27045613415,4.022209204087051
12867.469879518072,32295.365762621877,4.020683481620039
13012.048192771084,32368.46106910986,4.019164721518081
13156.626506024097,32441.55637559718,4.017655745477694
13301.204819277109,32514.65168208447,4.016147256363924
13445.783132530121,32587.746988572173,4.014648779037593
13590.361445783134,32660.84229506017,4.013157077785617
13734.939759036146,32733.937601548445,4.011674907915333
13879.518072289156,32807.03290803673,4.010193212401587
14024.096385542169,32880.12821452465,4.008721279144481
14168.674698795181,32953.22352101234,4.007255958830035
14313.253012048193,33026.31882750033,4.005799947994393
14457.831325301206,33099.414133988335,4.004344400475903
14602.409638554218,33172.50944047608,4.002898395397357
14746.98795180723,33245.604746963945,4.001458859087454
14891.566265060243,33318.700053451816,4.000028435469985
15036.144578313253,33391.795359939686,3.9985984653794064
15180.722891566265,33464.89066642768,3.997177842075624
15325.301204819278,33537.98597291565,3.995763558721849
15469.87951807229,33611.081279403705,3.9943582115273815
15614.457831325302,33684.176585891764,3.9929533090767433
15759.036144578315,33757.271892379846,3.9915575771445457
15903.614457831327,33830.36719886748,3.9901680685911285
16048.192771084337,33903.46250535529,3.9887873357124275
16192.77108433735,33976.55781184311,3.9874070395925343
16337.349397590362,34049.65311833065,3.986035752966747
