Time,Concentration,Voltage
0.0,19986.0,0.7102940133310646
289.1566265060241,19895.112346983205,0.7104849021033508
578.3132530120482,19833.40760979663,0.7106038671602887
867.4698795180723,19773.16886402768,0.7107150811453851
1156.6265060240964,19713.076206451347,0.7108214996811683
1445.7831325301206,19652.99707557495,0.7109236552623647
1734.9397590361446,19592.92059512341,0.7110218061645688
2024.0963855421687,19532.84431231492,0.7111162156971634
2313.253012048193,19472.768085211133,0.7112070634395131
2602.409638554217,19412.691865060882,0.7112945434125996
2891.566265060241,19352.615596692558,0.7113789455299625
3180.7228915662654,19292.53929617545,0.7114601903031753
3469.879518072289,19232.4629859991,0.7115385828989469
3759.0361445783133,19172.38668374956,0.7116143619475246
4048.1927710843374,19112.310375319295,0.7116873360197952
4337.349397590362,19052.23406815742,0.7117579771582508
4626.506024096386,18992.157762066687,0.7118262728627521
4915.6626506024095,18932.081455357846,0.7118921160882633
5204.819277108434,18872.00514962567,0.711956048798847
5493.975903614458,18811.92884413786,0.7120178221313753
5783.132530120482,18751.852538857333,0.7120774893445116
6072.289156626506,18691.776233625733,0.7121353573036959
6361.445783132531,18631.699928452952,0.712191406829718
6650.6024096385545,18571.623623294578,0.7122457240020996
6939.759036144578,18511.54731810619,0.7122983949003623
7228.915662650603,18451.47101284336,0.712349505604028
7518.0722891566265,18391.39470767654,0.7123989822724957
7807.228915662651,18331.318402593337,0.7124468871439305
8096.385542168675,18271.242097511702,0.7124933343028299
8385.5421686747,18211.165792420416,0.7125383851227413
8674.698795180724,18151.089487308247,0.7125821009772111
8963.855421686747,18091.013182164395,0.7126245607795105
9253.012048192772,18030.936876980286,0.712665935586957
9542.168674698796,17970.860571743284,0.7127062281767834
9831.325301204819,17910.7842664424,0.7127455101752261
10120.481927710844,17850.70796106666,0.7127838532085217
10409.638554216868,17790.63165560508,0.7128213289029067
10698.795180722893,17730.555350224626,0.7128575997976425
10987.951807228916,17670.47904496274,0.7128926261901999
11277.10843373494,17610.402739751164,0.712926611373436
11566.265060240965,17550.326434602546,0.7129595726834499
11855.421686746988,17490.250129529515,0.7129915274563404
12144.578313253012,17430.173824523048,0.7130225534109613
12433.734939759037,17370.097519339095,0.713053383316541
12722.891566265062,17310.021214123644,0.7130836628336261
13012.048192771084,17249.94490886745,0.713113470276783
13301.204819277109,17189.86860356127,0.7131428839605778
13590.361445783134,17129.792298195858,0.7131719821995766
13879.518072289156,17069.715992850848,0.713200442557882
14168.674698795181,17009.639687562754,0.7132281368690788
14457.831325301206,16949.563382282755,0.7132553220433513
14746.98795180723,16889.487077014997,0.713282015978048
15036.144578313253,16829.41077176364,0.7133082365705163
15325.301204819278,16769.33446653227,0.713334006372329
15614.457831325302,16709.258161298436,0.7133595066063699
15903.614457831327,16649.181856074563,0.7133845944437192
16192.77108433735,16589.105550860662,0.7134092698843769
16481.927710843374,16529.029245656722,0.7134335329283431
16771.0843373494,16468.952940462754,0.7134573835756175
17060.240963855424,16408.876635262055,0.7134812353457308
17349.39759036145,16348.80033004597,0.7135053025460529
17638.55421686747,16288.724024828678,0.7135292341479708
17927.710843373494,16228.647719610173,0.7135530301514841
18216.86746987952,16168.57141439046,0.7135766905565932
18506.024096385543,16108.495109169537,0.713600215363298
18795.180722891568,16048.418803948707,0.7136243575003671
19084.337349397592,15988.342498727905,0.7136485263386356
19373.493975903617,15928.266193507103,0.7136726951769042
19662.650602409638,15868.1898882863,0.7136968640151728
19951.807228915663,15808.113583065498,0.7137210328534415
20240.963855421687,15748.037277844644,0.7137458741731438
20530.12048192771,15687.960972623718,0.7137716082729945
20819.277108433736,15627.884667402794,0.713797342372845
21108.43373493976,15567.808362181868,0.7138230764726956
21397.590361445786,15507.732056960944,0.7138500325159567
21686.746987951807,15447.655751740018,0.7138783369945058
21975.90361445783,15387.579446519092,0.7139066414730549
22265.060240963856,15327.503141298166,0.713934945951604
22554.21686746988,15267.426836077262,0.7139653682502415
22843.373493975905,15207.350530856384,0.7139977363959104
23132.53012048193,15147.274225635503,0.7140301045415792
23421.686746987954,15087.197920414623,0.7140624726872481
23710.843373493975,15027.121615193708,0.7141001031727398
24000.0,14967.045309972791,0.7141379395434221
24289.156626506025,14906.969004751874,0.7141757759141043
24578.31325301205,14846.892699531012,0.7142196125715035
24867.469879518074,14786.816394310154,0.7142639500991194
25156.6265060241,14726.740089089288,0.7143121112147027
25445.783132530123,14666.663783868411,0.7143646286674855
25734.939759036144,14606.587478647545,0.714420201016718
26024.09638554217,14546.51117342669,0.7144801289078705
26313.253012048193,14486.434868205843,0.7145463313836201
26602.409638554218,14426.358562984971,0.7146169353934196
26891.566265060243,14366.282257764029,0.7146942490956338
27180.722891566267,14306.205952543189,0.7147810010573005
27469.879518072292,14246.129647322312,0.7148754534296449
27759.036144578313,14186.05334210148,0.7149792582459144
28048.192771084337,14125.977036880671,0.7150939925194201
28337.349397590362,14065.900731659853,0.7152212264032005
28626.506024096387,14005.824426439003,0.7153611685836972
28915.66265060241,13945.748121218176,0.7155169112080396
29204.819277108436,13885.671815997357,0.7156937393788916
29493.97590361446,13825.59551077647,0.7158889009880398
29783.132530120485,13765.519205555607,0.7161066282078226
30072.289156626506,13705.44290033469,0.7163497648854372
30361.44578313253,13645.36659511382,0.716621058748511
30650.602409638555,13585.290289892948,0.7169233908428965
30939.75903614458,13525.21398467206,0.7172592703491287
31228.915662650605,13465.137679451194,0.7176342659645446
31518.07228915663,13405.06137423033,0.7180494095494043
31807.228915662654,13344.985069009424,0.7185098629295217
32096.385542168675,13284.908763788539,0.7190192862275542
