Time,Concentration,Voltage,JTerm
0.0,25777.5,4.204434090483501,-0.03259528263324299
158.7174348697395,25870.495664752947,4.200239419961598,-0.03259528263324299
317.434869739479,25951.09186695644,4.196739632634045,-0.03259528263324299
476.1523046092185,26031.682426631953,4.193330989566845,-0.03259528263324299
634.869739478958,26112.272678857244,4.189963159138191,-0.03259528263324299
793.5871743486974,26192.862852096132,4.18668442734696,-0.03259528263324299
952.304609218437,26273.453021020603,4.183466935674913,-0.03259528263324299
1111.0220440881765,26354.04318711782,4.180290139135096,-0.03259528263324299
1269.739478957916,26434.63335288042,4.177187225574965,-0.03259528263324299
1428.4569138276554,26515.22351838526,4.174141224607777,-0.03259528263324299
1587.1743486973949,26595.813683632347,4.171152136233533,-0.03259528263324299
1745.8917835671343,26676.4038491789,4.168205455621189,-0.03259528263324299
1904.609218436874,26756.994014887026,4.165304772360407,-0.03259528263324299
2063.3266533066135,26837.58418067159,4.162452302356391,-0.03259528263324299
2222.044088176353,26918.17434629948,4.159642876913171,-0.03259528263324299
2380.7615230460924,26998.764511722875,4.156875435823384,-0.03259528263324299
2539.478957915832,27079.354677035088,4.154152047964321,-0.03259528263324299
2698.1963927855713,27159.944842365137,4.151464808119823,-0.03259528263324299
2856.913827655311,27240.535007842816,4.148805763904598,-0.03259528263324299
3015.6312625250503,27321.125173360957,4.146181481533527,-0.03259528263324299
3174.3486973947897,27401.71533891956,4.143591961006612,-0.03259528263324299
3333.066132264529,27482.305504518623,4.141037202323852,-0.03259528263324299
3491.7835671342687,27562.89567015814,4.138517205485247,-0.03259528263324299
3650.501002004008,27643.485835823452,4.13602985510838,-0.03259528263324299
3809.218436873748,27724.07600137519,4.133555063969702,-0.03259528263324299
3967.9358717434875,27804.666166922805,4.131108608298996,-0.03259528263324299
4126.653306613227,27885.256332466306,4.128690488096265,-0.03259528263324299
4285.370741482966,27965.84649800568,4.12630070336151,-0.03259528263324299
4444.088176352706,28046.43666354093,4.1239392540947275,-0.03259528263324299
4602.805611222445,28127.026829078124,4.121596067273207,-0.03259528263324299
4761.523046092185,28207.616994617005,4.1192715565358,-0.03259528263324299
4920.240480961924,28288.20716015483,4.116970289161597,-0.03259528263324299
5078.957915831664,28368.797325691594,4.114692265150599,-0.03259528263324299
5237.675350701404,28449.3874912273,4.112437484502804,-0.03259528263324299
5396.392785571143,28529.9776567629,4.110203439869812,-0.03259528263324299
5555.110220440883,28610.567822302415,4.10797956446009,-0.03259528263324299
5713.827655310622,28691.157987842602,4.105774378651924,-0.03259528263324299
5872.5450901803615,28771.74815338346,4.103587882445315,-0.03259528263324299
6031.2625250501005,28852.338318924998,4.101420075840264,-0.03259528263324299
6189.97995991984,28932.928484467204,4.09927095883677,-0.03259528263324299
6348.697394789579,29013.518650008624,4.097134746200118,-0.03259528263324299
6507.414829659319,29094.108815549655,4.095013013509188,-0.03259528263324299
6666.132264529058,29174.698981090725,4.092907451704824,-0.03259528263324299
6824.849699398798,29255.289146631836,4.090818060787026,-0.03259528263324299
6983.567134268537,29335.879312172983,4.088744840755793,-0.03259528263324299
7142.284569138277,29416.469477714047,4.086686632664205,-0.03259528263324299
7301.002004008016,29497.05964325469,4.0846402859634505,-0.03259528263324299
7459.719438877756,29577.64980879511,4.082607578758876,-0.03259528263324299
7618.436873747496,29658.239974335258,4.08058813555895,-0.03259528263324299
7777.154308617235,29738.8301398751,4.078581580872134,-0.03259528263324299
7935.871743486975,29819.42030541459,4.076587539206895,-0.03259528263324299
8094.589178356714,29900.010470954338,4.074606925067449,-0.03259528263324299
8253.306613226454,29980.60063649414,4.07263905927232,-0.03259528263324299
8412.024048096193,30061.190802033925,4.070683495368273,-0.03259528263324299
8570.741482965932,30141.780967573726,4.068739983457878,-0.03259528263324299
8729.458917835673,30222.371133113553,4.066808273643705,-0.03259528263324299
8888.176352705412,30302.961298653427,4.064888116028324,-0.03259528263324299
9046.89378757515,30383.55146419338,4.062979260714304,-0.03259528263324299
9205.61122244489,30464.141629733436,4.061081457804219,-0.03259528263324299
9364.32865731463,30544.73179527361,4.0591944574006344,-0.03259528263324299
9523.04609218437,30625.32196081392,4.057318009606125,-0.03259528263324299
9681.763527054109,30705.912126354397,4.055451864523258,-0.03259528263324299
9840.480961923848,30786.502291894285,4.05359754665582,-0.03259528263324299
9999.198396793588,30867.09245743409,4.051753712502493,-0.03259528263324299
10157.915831663327,30947.682622973854,4.049920049219444,-0.03259528263324299
10316.633266533066,31028.27278851358,4.0480963629914415,-0.03259528263324299
10475.350701402807,31108.862954053264,4.046282460003254,-0.03259528263324299
10634.068136272546,31189.45311959291,4.044478146439647,-0.03259528263324299
10792.785571142285,31270.043285132502,4.0426832284853935,-0.03259528263324299
10951.503006012024,31350.63345067205,4.040897512325258,-0.03259528263324299
11110.220440881765,31431.223616211544,4.039120804144011,-0.03259528263324299
11268.937875751504,31511.81378175099,4.037352910126422,-0.03259528263324299
11427.655310621243,31592.40394729039,4.035593681638718,-0.03259528263324299
11586.372745490982,31672.994112830478,4.033845297689732,-0.03259528263324299
11745.090180360723,31753.584278370698,4.032105792001233,-0.03259528263324299
11903.807615230462,31834.17444391107,4.0303750248786425,-0.03259528263324299
12062.525050100201,31914.76460945161,4.02865285662738,-0.03259528263324299
12221.24248496994,31995.35477499233,4.026939147552865,-0.03259528263324299
12379.95991983968,32075.944940533245,4.025233757960517,-0.03259528263324299
12538.67735470942,32156.535106074374,4.023536548155756,-0.03259528263324299
12697.394789579159,32237.12527161572,4.021847378444002,-0.03259528263324299
