,,Global Time,Time,String 1 Iapp,String 2 Iapp,String 3 Iapp,String 4 Iapp,"Cell 1,1 Anode vSEI Length","Cell 1,1 Voltage","Cell 1,2 Anode vSEI Length","Cell 1,2 Voltage","Cell 1,3 Anode vSEI Length","Cell 1,3 Voltage","Cell 1,4 Anode vSEI Length","Cell 1,4 Voltage"
C1,61,4436.363636363637,4436.363636363637,-13.706326243949146,-13.503697686679208,-13.60624265317257,-13.711406652429078,4.999999999865024e-09,3.5954027915658173,4.999999999846581e-09,3.595402791565817,5.000000000109227e-09,3.5954027915658178,5.000000000093092e-09,3.5954027915658164
C1,62,4509.09090909091,4509.09090909091,-13.705518233760536,-13.498629175934687,-13.601500245922391,-13.722025580612389,4.99999999979215e-09,3.5911560384597863,4.99999999988214e-09,3.5911560384597863,5.000000000147058e-09,3.5911560384597867,5.000000000116211e-09,3.5911560384597863
C1,63,4581.818181818182,4581.818181818182,-13.704595825229076,-13.492884182752373,-13.59612406781066,-13.73406916043789,5.000000000018946e-09,3.586849900819694,4.9999999996404354e-09,3.586849900819693,5.000000000387504e-09,3.586849900819694,4.999999999822113e-09,3.5868499008196935
C1,64,4654.545454545455,4654.545454545455,-13.703544413037369,-13.486391805098105,-13.590047373762426,-13.747689644332102,5.000000000248905e-09,3.5824707485034697,4.999999999547695e-09,3.5824707485034697,5.0000000005259985e-09,3.5824707485034692,4.999999999637645e-09,3.5824707485034697
C1,65,4727.272727272728,4727.272727272728,-13.702346808772955,-13.479072028917546,-13.58319475585326,-13.763059642686239,5.0000000004966964e-09,3.5780028818576133,4.999999999416368e-09,3.5780028818576133,5.000000000610187e-09,3.5780028818576133,4.999999999603534e-09,3.5780028818576133
C1,66,4800.0,4800.0,-13.70098524756356,-13.470849058103953,-13.575494602327316,-13.780344328235168,5.000000000425838e-09,3.57342936137148,4.999999999552897e-09,3.5734293613714803,5.00000000060045e-09,3.5734293613714794,4.999999999551052e-09,3.5734293613714794
C1,67,4872.727272727273,4872.727272727273,-13.699439796045283,-13.46164343044099,-13.566871681141565,-13.799718328602166,5.000000000528735e-09,3.5687311056888187,4.999999999640622e-09,3.5687311056888187,5.000000000744989e-09,3.5687311056888187,4.999999999645432e-09,3.568731105688819
C1,68,4945.454545454546,4945.454545454546,-13.697688404237315,-13.451373820309929,-13.5572487998998,-13.821362211782958,5.000000001013266e-09,3.563886833858657,4.999999999140247e-09,3.5638868338586565,5.000000001066408e-09,3.5638868338586565,4.999999999484723e-09,3.563886833858657
C1,69,5018.181818181819,5018.181818181819,-13.695707618186617,-13.439963553003947,-13.546552864107875,-13.845449200931562,5.0000000007265046e-09,3.5588728067918614,4.999999999141843e-09,3.5588728067918614,5.0000000011093395e-09,3.558872806791862,4.999999999626777e-09,3.5588728067918614
C1,70,5090.909090909091,5090.909090909091,-13.693472864340725,-13.427343731893291,-13.53471778063349,-13.872138859362497,5.000000000498475e-09,3.5536626294566984,4.999999998951223e-09,3.5536626294566984,5.0000000008482374e-09,3.5536626294566984,4.999999999625139e-09,3.5536626294566984
