Time,Concentration,Voltage
0.0,30730.0,4.018422158579217
289.1566265060241,30839.06005438366,4.015917110211544
578.3132530120482,30913.104826057497,4.014258135909837
867.4698795180723,30985.396413765542,4.012633737571248
1156.6265060240964,31057.509413146647,4.011009848381199
1445.7831325301206,31129.603936397783,4.009384292350341
1734.9397590361446,31201.694859015017,4.007758126570804
2024.0963855421687,31273.786377073586,4.006132647408866
2313.253012048193,31345.878060044277,4.004510378396359
2602.409638554217,31417.96969030297,4.002888886099728
2891.566265060241,31490.061274161475,4.001274733406019
3180.7228915662654,31562.15285196971,3.999661591315755
3469.879518072289,31634.244420390096,3.998060446452905
3759.0361445783133,31706.335988695828,3.9964603222871093
4048.1927710843374,31778.427555680908,3.9948719554833043
4337.349397590362,31850.519121915837,3.993292122248601
4626.506024096386,31922.6106881508,3.9917224752691665
4915.6626506024095,31994.702254245763,3.990163360353982
5204.819277108434,32066.79382052358,3.988617070717195
5493.975903614458,32138.885386854847,3.98708268723672
5783.132530120482,32210.97695323957,3.9855602099125584
6072.289156626506,32283.068519587756,3.9840515946240176
6361.445783132531,32355.160085875366,3.982557363718572
6650.6024096385545,32427.251652148047,3.9810765251649882
6939.759036144578,32499.343218410097,3.9796097725585557
7228.915662650603,32571.43478467924,3.9781599675037618
7518.0722891566265,32643.526350944372,3.9767253172045427
7807.228915662651,32715.617917205494,3.975305821660898
8096.385542168675,32787.709483468505,3.973902907549164
8385.5421686747,32859.80104973177,3.9725161764963994
8674.698795180724,32931.892615994366,3.9711454114673073
8963.855421686747,33003.9841822572,3.969791512048055
9253.012048192772,33076.075748521194,3.9684554395091927
9542.168674698796,33148.16731478556,3.9671363780590436
9831.325301204819,33220.258881050286,3.965834350216936
10120.481927710844,33292.35044731506,3.9645498390582428
10409.638554216868,33364.44201357996,3.963282735222916
10698.795180722893,33436.53357984492,3.9620331277712477
10987.951807228916,33508.625146109895,3.9608011057635313
11277.10843373494,33580.71671237483,3.959586758260058
11566.265060240965,33652.80827863965,3.9583901743211216
11855.421686746988,33724.899844904496,3.957211219854766
12144.578313253012,33796.99141116971,3.9560494280214096
12433.734939759037,33869.08297743497,3.9549052404242193
12722.891566265062,33941.17454370027,3.953778684632583
13012.048192771084,34013.2661099656,3.9526697882158888
13301.204819277109,34085.35767623096,3.9515785787435256
13590.361445783134,34157.4492424963,3.9505043988844184
13879.518072289156,34229.54080876161,3.9494470096977734
14168.674698795181,34301.632375026886,3.9484067342099904
14457.831325301206,34373.72394129212,3.9473835142145832
14746.98795180723,34445.815507557294,3.946377291505067
15036.144578313253,34517.907073822396,3.945388007874956
15325.301204819278,34589.99864008754,3.944414617427094
15614.457831325302,34662.09020635266,3.9434573808308446
15903.614457831327,34734.181772617754,3.9425162705941714
16192.77108433735,34806.27333888281,3.9415911443567593
16481.927710843374,34878.36490514784,3.9406818597582904
16771.0843373494,34950.45647141283,3.9397882431057822
17060.240963855424,35022.54803767789,3.938909953564603
17349.39759036145,35094.639603942946,3.9380469581116944
17638.55421686747,35166.73117020801,3.9371990968514092
17927.710843373494,35238.8227364731,3.9363662098881034
18216.86746987952,35310.9143027382,3.9355481373261307
18506.024096385543,35383.005869003304,3.934744622570006
18795.180722891568,35455.09743526838,3.933955400232008
19084.337349397592,35527.18900153346,3.933180385001924
19373.493975903617,35599.28056779853,3.932419399156205
19662.650602409638,35671.372134063604,3.9316722649713003
19951.807228915663,35743.46370032868,3.9309388047236595
20240.963855421687,35815.55526659375,3.9302188406897343
20530.12048192771,35887.64683285882,3.9295121951459735
20819.277108433736,35959.73839912388,3.9288186903688276
21108.43373493976,36031.82996538895,3.928138148634746
21397.590361445786,36103.921531654014,3.92747039222018
21686.746987951807,36176.01309791907,3.926815230689084
21975.90361445783,36248.10466418414,3.926171792244583
22265.060240963856,36320.19623044922,3.925540405111412
22554.21686746988,36392.28779671429,3.9249208725132263
22843.373493975905,36464.37936297937,3.924312997673683
23132.53012048193,36536.47092924445,3.9237165838164363
23421.686746987954,36608.56249550953,3.9231314341651427
23710.843373493975,36680.65406177462,3.9225573519434573
24000.0,36752.74562803971,3.921994140375037
24289.156626506025,36824.837194304804,3.921441602683537
24578.31325301205,36896.92876056989,3.9208995420926116
24867.469879518074,36969.020326834994,3.920367761825919
25156.6265060241,37041.111893100075,3.919846265994198
25445.783132530123,37113.203459365126,3.9193348630176694
25734.939759036144,37185.29502563018,3.918833243545882
26024.09638554217,37257.38659189522,3.918341217984272
26313.253012048193,37329.47815816026,3.9178585967382737
26602.409638554218,37401.56972442529,3.9173851902133228
26891.566265060243,37473.6612906903,3.9169208088148544
27180.722891566267,37545.75285695532,3.916465262948303
27469.879518072292,37617.84442322031,3.9160183630191048
27759.036144578313,37689.9359894853,3.9155799194326946
28048.192771084337,37762.027555750275,3.915149742594507
28337.349397590362,37834.11912201525,3.9147277974938675
28626.506024096387,37906.21068828029,3.9143146326644835
28915.66265060241,37978.30225454534,3.9139094222494193
29204.819277108436,38050.393820810415,3.9135119970145036
29493.97590361446,38122.485387075496,3.9131221877255657
29783.132530120485,38194.576953340584,3.912739825148435
30072.289156626506,38266.66851960569,3.9123647400489405
30361.44578313253,38338.76008587082,3.9119967631929105
30650.602409638555,38410.85165213596,3.911635725346174
30939.75903614458,38482.94321840112,3.911281457274562
31228.915662650605,38555.0347846663,3.9109337897439005
31518.07228915663,38627.126350931496,3.910592553520021
31807.228915662654,38699.217917196656,3.9102584180152924
32096.385542168675,38771.3094834618,3.9099309125424857
32385.5421686747,38843.40104972694,3.909609640113154
