Time,"Cell 1,1 Pos Particle vConcentration","Cell 1,1 Neg Particle vConcentration","Cell 1,2 Pos Particle vConcentration","Cell 1,2 Neg Particle vConcentration","Cell 2,1 Pos Particle vConcentration","Cell 2,1 Neg Particle vConcentration","Cell 2,2 Pos Particle vConcentration","Cell 2,2 Neg Particle vConcentration",String 1 Iapp,String 1 Voltage,"Cell 1,1 Voltage","Cell 2,1 Voltage",String 2 Iapp,String 2 Voltage,"Cell 1,2 Voltage","Cell 2,2 Voltage"
0.0,30730.0,19986.0,30730.0,19986.0,30730.0,19986.0,30730.0,19986.0,-1.2902776187580658,7.694739901491237,3.8474463083120076,3.84729359317923,-1.1152542395752674,7.694739901491237,3.8471627235609738,3.8475771779302637
289.1566265060241,30837.93973915058,19893.97834193116,30840.44469654697,19893.71947958316,30841.633134463766,19890.085301004157,30831.231863813555,19898.177362345985,-1.2783346355730787,7.6894725786968685,3.8448577313043697,3.8446148473924984,-1.1271972227602542,7.6894725786968685,3.844416693278005,3.845055885418864
578.3132530120482,30911.562552915846,19831.212826211973,30913.73359157331,19832.48396909455,30917.763642874088,19824.674302435684,30899.030330128357,19839.359516695822,-1.264484544931196,7.6859775248890845,3.843139921544056,3.8428376033450284,-1.141047313402137,7.6859775248890845,3.8426025431914876,3.843374981697597
867.4698795180723,30983.272861074776,19770.077775216196,30985.48899895945,19772.529742741262,30991.914013702622,19760.964629383783,30965.624686055555,19781.58628433528,-1.2524927245298687,7.682563175585276,3.8414616583407963,3.8411015172444802,-1.1530391338034645,7.682563175585276,3.840832962776569,3.841730212808707
1156.6265060240964,31054.370509822264,19709.465033569417,31057.48007693463,19712.3786051256,31065.430576767376,19697.799521179804,31032.493304308347,19723.57511858182,-1.243339748837633,7.679161410731913,3.839789454577861,3.8393719561540522,-1.1621921094957002,7.679161410731913,3.839070749178822,3.840090661553091
1445.7831325301206,31125.077128697234,19649.185655867237,31129.827784462435,19651.92949067877,31138.542823310403,19634.98179995584,31099.70642679286,19665.26508180907,-1.2366210417453498,7.67576648831308,3.8381204601651917,3.837646028147888,-1.1689108165879833,7.675766488313078,3.8373124741779505,3.8384540141351278
1734.9397590361446,31195.51386287762,19589.136362444384,31202.44205419851,19591.25765390929,31211.376036114845,19572.40382329482,31167.172050704223,19606.735990081776,-1.2316571564790635,7.672379402413387,3.8364551339549933,3.8359242684583945,-1.1738747018542697,7.672379402413388,3.8355586040794245,3.8368207983339637
2024.0963855421687,31265.742647412313,19529.26435193271,31275.265062849987,19530.411408260865,31283.994253353292,19510.01056988045,31234.83455412213,19548.036097611362,-1.2280654226527128,7.669001896247893,3.8347943044098822,3.834207591838011,-1.1774664356806204,7.669001896247893,3.8338100825732915,3.8351918136746024
2313.253012048193,31335.829030082376,19469.513743008636,31348.231408033636,19469.445399779106,31356.46524453648,19447.74381244598,31302.632106678124,19489.219044683203,-1.22542918417206,7.665635655709645,3.8331387739498397,3.832496881759805,-1.1801026741612732,7.665635655709645,3.8320678253426843,3.83356783036696
2602.409638554217,31405.801304656005,19409.860414440358,31421.312532421467,19408.383489139673,31428.818262140932,19385.57841739264,31370.537808187026,19430.308168269203,-1.2235645040205565,7.662282515440759,3.8314894197651244,3.8307930956756344,-1.1819673543127767,7.662282515440758,3.8303328402053474,3.831949675235411
2891.566265060241,31475.704072444274,19350.266342358227,31494.463432252207,19347.263278605536,31501.099418665413,19323.474765063937,31438.509279128197,19371.340234276984,-1.222186407809663,7.658944119455899,3.82984702730914,3.8290970921467595,-1.1833454505236702,7.658944119455899,3.8286060215940214,3.830338097861878
3180.7228915662654,31545.548715360535,19290.721823361146,31567.672590565675,19286.09439101138,31573.320481721596,19261.422744778934,31506.535681224592,19312.32464533934,-1.221218662528396,7.655622201999567,3.828212428597651,3.8274097734019157,-1.184313195804937,7.655622201999567,3.826888320625145,3.828733881374421
3469.879518072289,31615.358140786026,19231.20732826359,31640.916918072064,19224.896118290282,31645.505134789084,19199.40200779673,31574.595268119316,19253.28026727922,-1.2205145794078227,7.652318335245176,3.826586377890943,3.825731957354233,-1.1850172789255105,7.652318335245176,3.82518059240258,3.827137742842596
3759.0361445783133,31685.137283175874,19171.718650304214,31714.19140425483,19163.672646909272,31717.65847956721,19137.40817075919,31642.683328071304,19194.21118771808,-1.220039850386932,7.649034292986787,3.824969727620964,3.824064565365823,-1.185492007946401,7.649034292986788,3.8234838060062564,3.8255504869805317
4048.1927710843374,31754.898892112586,19112.244920105575,31787.48323794229,19102.43468106362,31789.793697514117,19075.429908215483,31710.787787548677,19135.12788092121,-1.2197117887808386,7.645770972688824,3.8233629137846727,3.8224080589041516,-1.1858200695524945,7.645770972688824,3.821798442475633,3.823972530213191
4337.349397590362,31824.64903927625,19052.78096139071,31860.78625570081,19041.187370523934,31861.917066106133,19013.461826585448,31778.90284958248,19076.03537598806,-1.2194921882518672,7.642530716500046,3.821767059622778,3.820763656877268,-1.186039670081466,7.642530716500046,3.820125778215083,3.822404938284963
4626.506024096386,31894.392250741348,18993.3229155536,31934.095932839413,18979.9344958323,31934.033264682952,18951.49990540074,31847.024245848686,19016.937375858404,-1.2193492468338374,7.639313506046701,3.8201821670731637,3.8191313389735377,-1.1861826114994958,7.639313506046701,3.818465789040656,3.8208477170060453
4915.6626506024095,31964.131177477717,18933.868522567387,32007.409551482877,18918.678327871585,32006.14503412087,18889.541789712915,31915.14942515733,18957.836093790233,-1.2192673457310907,7.636122160826035,3.818609588620945,3.8175125722050898,-1.1862645126022424,7.636122160826034,3.816820009735162,3.819302151090872
