Time,Anode vConcentration,Anode vPhi,Anode vSEI Length
0.0,22610.7,0.12463993245036616,5e-09
144.57831325301206,22524.624707854713,0.12496039510717497,5e-09
289.1566265060241,22445.271661445066,0.12525412022340876,5e-09
433.73493975903614,22365.918422799372,0.12554804779750492,5e-09
578.3132530120482,22286.565179731275,0.12584212232348413,5e-09
722.8915662650603,22207.211934422157,0.1261363789149168,5e-09
867.4698795180723,22127.858689073288,0.12643074908601937,5e-09
1012.0481927710844,22048.50544372471,0.12672521527024544,5e-09
1156.6265060240964,21969.152198376145,0.1270196861969067,5e-09
1301.2048192771085,21889.798953027213,0.127314190402668,5e-09
1445.7831325301206,21810.445707678187,0.12760867438933138,5e-09
1590.3614457831327,21731.09246232976,0.12790307149055322,5e-09
1734.9397590361446,21651.739216981365,0.1281974642347235,5e-09
1879.5180722891566,21572.385971632484,0.12849170825421344,5e-09
2024.0963855421687,21493.032726283156,0.12878581220678842,5e-09
2168.674698795181,21413.679480934385,0.12907966516394187,5e-09
2313.253012048193,21334.326235585635,0.12937350559915567,5e-09
2457.8313253012047,21254.972990236653,0.12966703372275193,5e-09
2602.409638554217,21175.619744888296,0.12996031387923904,5e-09
2746.987951807229,21096.266499539073,0.1302531950543173,5e-09
2891.566265060241,21016.913254189803,0.1305460563446413,5e-09
3036.144578313253,20937.56000884086,0.13083845757436022,5e-09
3180.7228915662654,20858.206763491922,0.13113051323365307,5e-09
3325.3012048192772,20778.853518143016,0.13142203585246018,5e-09
3469.879518072289,20699.50027279411,0.13171353191649848,5e-09
3614.4578313253014,20620.14702744518,0.13200443388142158,5e-09
3759.0361445783133,20540.793782096735,0.13229490160736515,5e-09
3903.6144578313256,20461.440536748265,0.132584714346048,5e-09
4048.1927710843374,20382.087291399792,0.13287449446249483,5e-09
4192.77108433735,20302.73404605099,0.1331635583964256,5e-09
4337.349397590362,20223.380800702806,0.13345210723373724,5e-09
4481.9277108433735,20144.027555353663,0.13373988975503276,5e-09
4626.506024096386,20064.67431000447,0.13402763411485408,5e-09
4771.084337349398,19985.321064655313,0.13431455071916293,5e-09
4915.6626506024095,19905.9678193062,0.13460087825719433,5e-09
5060.240963855422,19826.614573957082,0.1348863375437623,5e-09
5204.819277108434,19747.26132860796,0.13517175359693684,5e-09
5349.397590361446,19667.908083259077,0.13545623965175138,5e-09
5493.975903614458,19588.554837909818,0.13574006880727926,5e-09
5638.55421686747,19509.20159256078,0.1360229361766214,5e-09
5783.132530120482,19429.84834721175,0.13630575565860728,5e-09
5927.710843373494,19350.495101863307,0.13658755127812686,5e-09
6072.289156626506,19271.1418565143,0.13686862770024713,5e-09
6216.8674698795185,19191.78861116511,0.13714865641333887,5e-09
6361.445783132531,19112.435365815913,0.1374286329638414,5e-09
6506.024096385542,19033.082120466956,0.13770749941751562,5e-09
6650.6024096385545,18953.728875118588,0.13798558944214456,5e-09
6795.180722891567,18874.37562976997,0.1382625528410123,5e-09
6939.759036144578,18795.022384421336,0.1385394601506697,5e-09
7084.3373493975905,18715.669139072368,0.13881517819330594,5e-09
7228.915662650603,18636.31589372409,0.13909006729518356,5e-09
7373.493975903615,18556.962648375502,0.13936375742378054,5e-09
7518.0722891566265,18477.609403026898,0.13963738786344312,5e-09
7662.650602409639,18398.25615767789,0.13990975653526244,5e-09
7807.228915662651,18318.90291232938,0.14018124824255887,5e-09
7951.8072289156635,18239.549666980794,0.14045147492162133,5e-09
8096.385542168675,18160.196421632205,0.14072163862518228,5e-09
8240.963855421687,18080.843176283553,0.1409904744983279,5e-09
8385.5421686747,18001.48993093487,0.14125838975003518,5e-09
8530.120481927712,17922.136685585254,0.14152498009112058,5e-09
8674.698795180724,17842.783440235587,0.1417915044773506,5e-09
8819.277108433735,17763.430194886478,0.14205664133930782,5e-09
8963.855421686747,17684.076949537975,0.14232081827920395,5e-09
9108.43373493976,17604.723704189233,0.142583616636312,5e-09
9253.012048192772,17525.370458840476,0.14284634636832796,5e-09
9397.590361445784,17446.017213491617,0.14310763534561882,5e-09
9542.168674698796,17366.663968142373,0.1433679295593674,5e-09
9686.746987951808,17287.310722792583,0.1436267979292433,5e-09
9831.325301204819,17207.957477442767,0.14388559532293566,5e-09
9975.903614457831,17128.604232094058,0.14414290546098346,5e-09
10120.481927710844,17049.250986745243,0.14439919067536308,5e-09
10265.060240963856,16969.8977413963,0.1446540095698778,5e-09
10409.638554216868,16890.54449604735,0.14490875547491144,5e-09
10554.21686746988,16811.19125069828,0.14516197480241305,5e-09
10698.795180722893,16731.8380053492,0.14541414407827902,5e-09
10843.373493975903,16652.48476000036,0.14566481390517252,5e-09
10987.951807228916,16573.13151465153,0.1459154090950792,5e-09
11132.530120481928,16493.778269302762,0.14616444621415708,5e-09
11277.10843373494,16414.425023953638,0.14641241367775124,5e-09
11421.686746987953,16335.071778605083,0.14665885667921844,5e-09
11566.265060240965,16255.71853325656,0.14690522380030355,5e-09
11710.843373493977,16176.36528790789,0.14715001005746078,5e-09
11855.421686746988,16097.01204255878,0.1473937132287474,5e-09
12000.0,16017.658797210042,0.14763587604190237,5e-09
12144.578313253012,15938.305551861326,0.1478779621852677,5e-09
12289.156626506025,15858.952306512576,0.14811845449306543,5e-09
12433.734939759037,15779.599061163695,0.1483578572850446,5e-09
12578.31325301205,15700.245815815193,0.14859571420410395,5e-09
12722.891566265062,15620.89257046671,0.14883349418092104,5e-09
12867.469879518072,15541.53932511784,0.1490696785768805,5e-09
13012.048192771084,15462.18607976856,0.14930477505686435,5e-09
13156.626506024097,15382.832834419558,0.1495383320946801,5e-09
