Cell 1 Pos Particle J0,Cell 1 Pos Particle ocp,Cell 1 Neg Particle J0,Cell 1 Neg Particle ocp
0.4760826045971434,4.027031539154781,6.320444351467704,0.1751940253409674
0.4756419214180564,4.024533360416537,6.364483987010188,0.1753844722603638
0.47534643832833273,4.022880105959319,6.393002356006615,0.17550288114841817
0.47505376450639475,4.0212609180104035,6.420494491929669,0.17561358351801798
0.47475772305514524,4.019642467435217,6.447574175197927,0.17571947553035605
0.47445761040634965,4.018022325268462,6.4743123476158715,0.17582110486609992
0.4741533725035529,4.016401631807429,6.500717518648349,0.1759187392041197
0.473844992257823,4.014781675182722,6.526794552161017,0.17601261089092535
0.47353245952876466,4.013163722866397,6.552547540362119,0.17610293074977035
0.4732157665527933,4.011548995432175,6.577980249439006,0.17618989174612776
0.47289490509388,4.009938651355355,6.6030963711635575,0.17627367157586588
0.4725698665894242,4.008333788211965,6.627899509234672,0.1763544341119057
0.47224064245778996,4.006735444917058,6.652393160633889,0.1764323306999343
0.4719072239136246,4.005144601751535,6.676580735122719,0.17650750144934507
0.47156960207284454,4.003562182045358,6.700465545460193,0.176580076308817
0.47122776789883636,4.001989053259596,6.724050818576288,0.17665017609924732
0.47088171220871494,4.000426028503615,6.747339694744648,0.17671791340910759
0.47053142570344103,3.9988738682613874,6.7703352341253735,0.1767833934213302
0.470176898908558,3.997333281798292,6.793040414430835,0.17684671463202128
0.46981812224559993,3.995804929206979,6.815458138406681,0.1769079695228239
0.4694550859563197,3.994289422846428,6.83759123298557,0.17696724514195994
0.46908778015563163,3.9927873293620375,6.859442453351094,0.17702462363802518
0.46871619480134097,3.991299171356274,6.881014485508435,0.177080182734282
0.46834031971440443,3.98982542926623,6.902309946020731,0.17713399614607678
0.46796014455623197,3.9883665430536337,6.923331387985222,0.17718613396955823
0.4675756588337412,3.98692291398681,6.944081299248816,0.17723666301042323
0.4671868519083129,3.9854949064050778,6.964562107109558,0.1772856470930428
0.4667937129801438,3.9840828493567835,6.984776178755294,0.17733314732670807
0.46639623109877376,3.9826870382968065,7.004725823356052,0.17737922234723796
0.465994395145298,3.9813077366404754,7.024413293939092,0.17742392853236993
0.46558819384452965,3.9799451773800594,7.0438407887312415,0.1774673201931266
0.46517761576916616,3.9785995646225385,7.063010453080734,0.17750944974628674
0.46476264931373523,3.97727107498144,7.081924380687406,0.17755036786741207
0.4643432827114782,3.975959859063721,7.100584615187835,0.1775901236289152
0.4639195040453658,3.9746660428814384,7.1189931514445135,0.17762876462363586
0.463491301187696,3.9733897289983826,7.137151937053465,0.17766633707677504
0.46305866188519756,3.972130998071021,7.155062873732087,0.17770288594701994
0.46262157367667545,3.9708899098340837,7.17272781780238,0.17773845501674052
0.46218002394958796,3.969666504452072,7.190148582768267,0.1777730869786307
0.4617339999058577,3.968460803557022,7.207326938944575,0.1778068235097669
0.4612834885432343,3.9672728112935505,7.224264616074888,0.17783970534611543
0.460828476744553,3.9661025155989016,7.2409633023769535,0.17787177234547907
0.46036895110829623,3.9649498887629675,7.257424647801747,0.17790306355505092
0.45990489817244423,3.9638148889584564,7.273650263944326,0.17793361726969403
0.4594363041722056,3.9626974605477283,7.289641724826029,0.17796347109004934
0.45896315520992326,3.961597535382942,7.305400568066347,0.1779926619802496
0.45848543718964785,3.9605150334783272,7.320928296047382,0.17802122632524003
0.45800313581387825,3.9594498638026856,7.336226375874592,0.1780491999862951
0.4575162365535738,3.9584019249786238,7.351296241995383,0.1780766183625913
0.4570247247668787,3.957371106263197,7.366139294025952,0.1781035164459916
0.45652858552242725,3.9563572878593343,7.380756901111724,0.17812992889052837
0.45602780372019736,3.9553603418350347,7.395150399902816,0.17815589007394056
0.45552236407236996,3.954380132703867,7.409321096656879,0.1781814341713231
0.45501225101569415,3.953416517852993,7.423270267063929,0.17820659523029148
0.4544974488549411,3.9524693483867437,7.436999157611858,0.17823140725570535
0.45397794160665017,3.9515384693695474,7.450508986304623,0.17825590430127392
0.45345371311661914,3.9506237205573984,7.463800942522642,0.17828012056907272
0.45292474698880125,3.949724936753524,7.4768761881965204,0.17830409052250096
0.4523910265928732,3.9488419482866757,7.489735858536116,0.17832784901133636
0.451852535097068,3.9479745815028995,7.502381061697266,0.1783514314097767
0.45130925544137196,3.9471226591331967,7.514812880543247,0.17837487377566832
0.45076117026618856,3.94628600057873,7.527032372329072,0.17839821302591452
0.4502082620472452,3.9454644224940982,7.539040569518656,0.17842148713708908
0.449650512990279,3.944657738974644,7.550838480180577,0.17844473537191544
0.44908790505098445,3.9438657619232127,7.562427088444689,0.17846799853656597
0.4485204199565051,3.9430883013952807,7.573807355196722,0.17849131927382883
0.4479480391799879,3.9423251658595415,7.5849802179209735,0.17851474239526033
0.44737074390517206,3.94157616243418,7.59594659217094,0.1785383152635631
0.44678851510925927,3.9408410972612202,7.606707370966197,0.178562088224573
0.4462013334527021,3.9401197756139754,7.61726342541947,0.178586115103702
0.4456091793645232,3.939412002242292,7.627615605638281,0.17861045377432266
0.4450120329989766,3.938717581538772,7.637764740598229,0.178635166805666
0.44440987422396505,3.938036317735181,7.6477116386092465,0.1786603222059297
0.44380268264915035,3.9373680151308807,7.657457087888452,0.1786859942734975
0.4431904375895965,3.9367124782354552,7.6670018565082,0.17871226457014155
0.44257311806155986,3.936069511938909,7.6763466931403865,0.17873922303789666
0.44195070281506865,3.9354389217077355,7.6854923269910564,0.17876696927586797
0.4413231702694762,3.934820513670297,7.694439468474037,0.17879561400452373
0.4406904986060301,3.9342140948507485,7.703188809070074,0.17882528073932022
