Time,Concentration,Voltage,I_INT,I_SEI
0.0,19986.0,0.24138323323962024,0.06682032966944268,-2.712945373180183e-10
289.1566265060241,19895.11234698321,0.24612256084889947,0.06682032967005298,-2.719048422400652e-10
578.3132530120482,19833.407609796646,0.250907040201986,0.06682032967046757,-2.723194187826997e-10
867.4698795180723,19773.168864027684,0.2556993313495375,0.06682032967088042,-2.727322546164897e-10
1156.6265060240964,19713.076206451216,0.26049805741540905,0.06682032967129915,-2.731510053458609e-10
1445.7831325301206,19652.9970755748,0.26530336159354173,0.06682032967172367,-2.7357553160057654e-10
1734.9397590361446,19592.920595123174,0.270115496686359,0.06682032967215318,-2.7400502641948364e-10
2024.0963855421687,19532.84431231465,0.2749347387105415,0.06682032967258673,-2.7443856573538523e-10
2313.253012048193,19472.768085210788,0.27976125383492056,0.06682032967302368,-2.748755146275629e-10
2602.409638554217,19412.69186506039,0.28459522035691,0.06682032967346332,-2.753151948963297e-10
2891.566265060241,19352.615596692023,0.289436915325456,0.06682032967390475,-2.757566139794169e-10
3180.7228915662654,19292.53929617493,0.2942862633461196,0.06682032967434819,-2.7620004512789854e-10
3469.879518072289,19232.46298599858,0.2991434779985908,0.06682032967479265,-2.766444872687031e-10
3759.0361445783133,19172.386683748977,0.30400872629510417,0.06682032967523732,-2.770891575958869e-10
4048.1927710843374,19112.310375318637,0.3088818742584948,0.06682032967568284,-2.7753468407614535e-10
4337.349397590362,19052.234068156686,0.3137632055393985,0.06682032967612775,-2.77979594835144e-10
4626.506024096386,18992.15776206588,0.3186527126264731,0.06682032967657209,-2.784239288495342e-10
4915.6626506024095,18932.08145535697,0.32355033119628807,0.06682032967701616,-2.7886801989613265e-10
5204.819277108434,18872.005149624783,0.32845628627463674,0.06682032967745843,-2.7931028528014665e-10
5493.975903614458,18811.928844137008,0.33337047453248514,0.06682032967789961,-2.7975145175525864e-10
5783.132530120482,18751.852538856536,0.3382929033182245,0.06682032967833952,-2.801913747613027e-10
6072.289156626506,18691.776233624994,0.34322361918709665,0.06682032967877737,-2.8062921824027373e-10
6361.445783132531,18631.69992845228,0.34816261922938097,0.0668203296792132,-2.8106503444612436e-10
6650.6024096385545,18571.62362329396,0.3531099165043939,0.06682032967964674,-2.8149858885432335e-10
6939.759036144578,18511.547318105615,0.3580655240714523,0.0668203296800778,-2.8192964694033995e-10
7228.915662650603,18451.471012842805,0.363029454989873,0.06682032968050614,-2.82357974179643e-10
7518.0722891566265,18391.394707676005,0.368001546235031,0.06682032968093204,-2.827838844482791e-10
7807.228915662651,18331.318402592828,0.372981784615139,0.06682032968135539,-2.8320722497886454e-10
8096.385542168675,18271.24209751121,0.37797021402507286,0.06682032968177581,-2.8362766521177056e-10
8385.5421686747,18211.16579241992,0.38296682032103485,0.06682032968219322,-2.840450553445799e-10
8674.698795180724,18151.08948730773,0.38797158935922715,0.06682032968260741,-2.844592455748752e-10
8963.855421686747,18091.013182163842,0.3929844998146152,0.06682032968301818,-2.84870019653711e-10
9253.012048192772,18030.936876979726,0.39800549263590457,0.06682032968342497,-2.8527681225870194e-10
9542.168674698796,17970.860571742698,0.4030345776702103,0.06682032968382785,-2.8567969557048726e-10
9831.325301204819,17910.784266441795,0.40807173657600665,0.06682032968422665,-2.8607848094592343e-10
10120.481927710844,17850.707961066037,0.41311695101176793,0.06682032968462112,-2.8647297974186695e-10
10409.638554216868,17790.63165560444,0.41817020263596816,0.06682032968501117,-2.8686300331517405e-10
10698.795180722893,17730.555350198272,0.4232310569087868,0.0668203296853975,-2.872493543812955e-10
10987.951807228916,17670.479044877982,0.4282993822246641,0.06682032968578026,-2.8763211408500996e-10
11277.10843373494,17610.402739583595,0.4333752941975058,0.06682032968615893,-2.880107747096224e-10
11566.265060240965,17550.326434324328,0.4384587192519019,0.06682032968653343,-2.88385279175685e-10
11855.421686746988,17490.250129109427,0.4435495838124424,0.06682032968690373,-2.887555704037495e-10
12144.578313253012,17430.173823948095,0.44864781430371736,0.06682032968726977,-2.8912159131436805e-10
12433.734939759037,17370.097518770996,0.45375347685172396,0.06682032968763087,-2.8948270311591637e-10
12722.891566265062,17310.021213550688,0.4588665630587986,0.06682032968798673,-2.89838577330902e-10
13012.048192771084,17249.94490833394,0.4639869326293621,0.06682032968833759,-2.9018943470052037e-10
13301.204819277109,17189.86860311952,0.4691145305336946,0.0668203296886833,-2.9053514092166534e-10
13590.361445783134,17129.792297906242,0.4742493017420762,0.06682032968902372,-2.908755616912307e-10
13879.518072289156,17069.715992692894,0.479391191224787,0.0668203296893587,-2.9121056270611003e-10
14168.674698795181,17009.639687479885,0.4845399949793343,0.06682032968968837,-2.9154023004146987e-10
14457.831325301206,16949.563382267213,0.4896955445581373,0.06682032969001274,-2.918645971754154e-10
14746.98795180723,16889.48707705264,0.49485788218890164,0.06682032969033153,-2.9218338593006984e-10
15036.144578313253,16829.410771835195,0.5000269310011678,0.06682032969064464,-2.9249649431175117e-10
15325.301204819278,16769.334466613895,0.505202614124476,0.06682032969095197,-2.928038203267772e-10
15614.457831325302,16709.258161387785,0.5103848546883668,0.06682032969125341,-2.931052619814658e-10
15903.614457831327,16649.181856161555,0.515573527953696,0.06682032969154883,-2.9340066067739664e-10
16192.77108433735,16589.10555094083,0.5207685014113491,0.06682032969183802,-2.936898486281563e-10
16481.927710843374,16529.029245719685,0.5259697399287947,0.06682032969212094,-2.939727731951793e-10
16771.0843373494,16468.952940498137,0.5311771583930419,0.0668203296923975,-2.94249322637987e-10
