Cycle,Protocol,Stamps,Time (s),Global Time (s),Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area"
1,CC-discharge,0,0.0,0.0,7.732000137994369,-54.52767323623,-27.237964687199437,-27.28970854903056,25777.5,22610.7,5e-09,3.8674233564472775,0.0,25777.5,22610.7,5e-09,3.866460988167621,0.0,25777.5,22610.7,5e-09,3.864576781547092,0.0,25777.5,22610.7,5e-09,3.8655391498267484,0.0
1,CC-discharge,1,72.72727272727273,72.72727272727273,7.681529600341436,-54.52767323623001,-27.20753462311698,-27.320138613113023,26329.381602530466,22095.021556412787,4.999999999998164e-09,3.842438783568441,0.5499545384880447,26325.027540563216,22079.454371033047,4.999999999998324e-09,3.841376896482726,0.5516146177994302,26340.64338114832,22076.405618493973,5.000000000000207e-09,3.8390908167729956,0.5499545384880447,26332.43855360804,22076.9827385168,4.99999999999793e-09,3.840152703858707,0.5516146177994302
1,CC-discharge,2,145.45454545454547,145.45454545454547,7.647771764854502,-54.52767323623,-27.19376545747366,-27.333907778756338,26745.233966278964,21653.92595908983,5.000000000001799e-09,3.8257157694731294,1.0994626201101725,26738.235043952933,21624.403310443573,4.999999999997503e-09,3.824588513347511,1.1036756924647773,26764.981690499557,21619.386516207378,4.999999999995917e-09,3.822055995381372,1.0994626201101725,26751.238992459603,21619.814542394226,4.999999999937848e-09,3.8231832515069897,1.1036756924647773
1,CC-discharge,3,218.1818181818182,218.1818181818182,7.6165105385377005,-54.52767323623,-27.183931232880045,-27.343742003349956,27159.046457923618,21213.04940175575,4.999999999991596e-09,3.8102238500442622,1.6487322836490987,27149.75281215935,21169.18400761847,5.0000000000583536e-09,3.8090367810969337,1.6559751852133258,27187.238501811542,21162.59436123059,4.999999999992778e-09,3.8062866884934383,1.6487322836490987,27168.326824859043,21162.47732128529,5.000000000085952e-09,3.8074737574407664,1.6559751852133258
1,CC-discharge,4,290.90909090909093,290.90909090909093,7.587086258304536,-54.52767323623,-27.176492685001506,-27.351180551228495,27572.719670394683,20772.30411800979,4.9999999999761955e-09,3.7956390185247018,2.1978274747388116,27561.363436267096,20713.8294052559,5.0000000000714396e-09,3.7943958082210707,2.208449150411088,27609.35319179816,20705.9382188047,4.9999999999936995e-09,3.791447239779834,2.1978274747388116,27585.508770003034,20705.004171154895,5.000000000047718e-09,3.792690450083466,2.208449150411088
1,CC-discharge,5,363.6363636363637,363.6363636363637,7.5591554980690905,-54.52767323623,-27.17066649707051,-27.357006739159495,27986.30325606919,20331.657652612525,4.999999999988111e-09,3.7817925908096774,2.746788678598125,27973.059890615124,20258.373346229677,5.0000000000712576e-09,3.7804959860679532,2.7610571028392497,28031.37642605033,20249.38446205952,5.000000000002026e-09,3.777362907259413,2.746788678598125,28002.77770713536,20247.429092331007,5.000000000014268e-09,3.7786595120011377,2.7610571028392497
1,CC-discharge,6,436.3636363636364,436.3636363636364,7.532447531574167,-54.52767323623,-27.165981591634583,-27.36169164459542,28399.815722147265,19891.09027592254,4.999999999980366e-09,3.7685511863392325,3.295643709797166,28384.826445011393,19802.836091115496,5.00000000007325e-09,3.7672033634637314,3.313771227927683,28453.32708942896,19792.91264911551,4.9999999999998405e-09,3.7638963452349343,3.295643709797166,28420.117693149088,19789.77243965249,5.000000000041577e-09,3.765244168110434,3.313771227927683
1,CC-discharge,7,509.0909090909091,509.0909090909091,7.506769626847249,-54.52767323623,-27.162137010475135,-27.365536225754862,28813.269825687275,19450.587572264452,4.999999999981704e-09,3.7558196199012914,3.8444125845659514,28796.650683440253,19347.232439768006,5.0000000000754175e-09,3.7544224437473876,3.8665715094463726,28875.21819931506,19336.507843893472,5.00000000000015e-09,3.7509500069459576,3.8444125845659514,28837.516143972818,19332.049081830533,5.000000000042243e-09,3.7523471830998614,3.8665715094463726
1,CC-discharge,8,581.8181818181819,581.8181818181819,7.481977715027307,-54.52767323623,-27.158932333364923,-27.368740902865078,29226.67523626485,19010.138631403457,4.999999999980204e-09,3.743526572204576,4.39311025470575,29208.5230611107,18891.57359312399,5.000000000073992e-09,3.742081741638496,4.419442995594049,29297.059622602646,18880.158742299787,5.000000000002596e-09,3.738451142822731,4.39311025470575,29254.96338562279,18874.27027191488,4.999999999984879e-09,3.73989597338881,4.419442995594049
1,CC-discharge,9,654.5454545454546,654.5454545454546,7.457962924214394,-54.52767323623,-27.156230534606312,-27.37144270162369,29640.03956364162,18569.73492854488,4.999999999977916e-09,3.7316180279019506,4.941748263473136,29620.43605576288,18435.86830312007,5.0000000000742685e-09,3.7301271631442137,4.972374143114138,29718.859124339662,18423.85651179549,5.000000000004948e-09,3.7263448963124435,4.941748263473136,29672.45179402255,18416.444802560505,4.999999999995683e-09,3.7278357610701804,4.972374143114138
