Cycle,Protocol,Stamps,Time,Global Time,Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage"
8,CV-charge,87,6327.272727272728,78904.29804121162,7.999999999999999,2.9713873528140002,2.9713873528140002,32530.96572780388,15416.011246561511,5.246856488660168e-09,3.9984910972071885,32328.091554045026,15466.115614698063,5.248186503898665e-09,4.001508902792811
8,CV-charge,88,6400.000000000001,78977.02531393888,8.0,2.921369196638213,2.921369196638213,32485.323874181435,15464.291639385305,5.247052491645241e-09,3.9984918035833243,32283.82078213341,15514.059092446469,5.248382292275613e-09,4.001508196416676
8,CV-charge,89,6472.727272727273,79049.75258666616,7.999999999999998,2.8723004119606284,2.8723004119606284,32440.44888919063,15511.760452747889,5.247247148689905e-09,3.9984924697742037,32240.293842112056,15561.196653549836,5.248576744834904e-09,4.001507530225795
8,CV-charge,90,6545.454545454546,79122.47985939342,8.0,2.8241579108434975,2.8241579108434975,32396.326284785555,15558.433034260524,5.247440488648189e-09,3.998493096455375,32197.496681157267,15607.543538531587,5.24876989018677e-09,4.001506903544626
8,CV-charge,91,6618.181818181819,79195.2071321207,8.0,2.7769193330395767,2.7769193330395767,32352.941923047314,15604.324360145494,5.247632539595749e-09,3.9984936843567134,32155.415586051982,15653.114619117698,5.248961756169687e-09,4.0015063156432875
8,CV-charge,92,6690.909090909092,79267.93440484797,8.0,2.730563020439156,2.730563020439156,32310.282005181387,15649.44904691387,5.247823328861342e-09,3.9984942342563383,32114.037172518685,15697.924409833447,5.249152369882869e-09,4.001505765743661
8,CV-charge,93,6697.520036337766,79274.54535027665,7.999999999999998,2.7263936618115,2.7263936618115,32306.440949686843,15653.512011044153,5.247840607801461e-09,3.998494282361525,32110.311502367174,15701.959021128348,5.249169633341041e-09,4.001505717638474
9,CC-discharge,0,0.0,79274.54535027665,7.325500496062961,-27.263836618115,-27.263836618115,32306.440949686843,15653.512011044153,5.247840607801461e-09,3.659646835420191,32110.311502367174,15701.959021128348,5.249169633341041e-09,3.6658536606427705
9,CC-discharge,1,72.72727272727273,79347.27262300393,7.298663791016926,-27.263836618115,-27.263836618115,32877.456419507675,15127.276249237042,5.2478406078038805e-09,3.646114290525281,32664.17366212261,15179.395097090113,5.24916963334461e-09,3.6525495004916455
9,CC-discharge,2,145.45454545454547,79419.99989573119,7.2790612212307,-27.263836618115,-27.263836618115,33304.26017827989,14679.109997837708,5.247840607803613e-09,3.6362336030124816,33078.156231981025,14734.355949335326,5.249169633344933e-09,3.642827618218218
9,CC-discharge,3,218.1818181818182,79492.72716845847,7.259962420452786,-27.263836618115,-27.263836618115,33729.14678050753,14230.962865878826,5.247840607803556e-09,3.626609549656256,33490.27923669578,14289.335787614133,5.249169633345243e-09,3.6333528707965304
9,CC-discharge,4,290.90909090909093,79565.45444118574,7.241273910601829,-27.263836618115,-27.263836618115,34154.01707392225,13782.815521417173,5.247840607803e-09,3.6171949147941094,33902.386422514435,13844.31541487305,5.249169633344893e-09,3.6240789958077197
