Cycle,Protocol,Simulation,Data-Processing
1,CC-discharge,2.734375,0.96875
1,CC-charge,0.6875,0.21875
1,CV-charge,1.734375,0.90625
2,CC-discharge,1.015625,0.65625
2,CC-charge,0.640625,0.3125
2,CV-charge,1.625,0.484375
