Cycle,Protocol,Stamps,Time (s),Global Time (s),Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage"
2,CC-charge,4,218.1818181818182,12034.073402447486,3.8773308312734382,27.263836618115,27.263836618115,44985.06060750932,1747.5177506099192,5.027250176981509e-09,3.8773308312734382
2,CC-charge,5,272.72727272727275,12088.61885699294,3.9047218571947875,27.263836618115,27.263836618115,44671.7882293222,2087.6074457326786,5.027303715024431e-09,3.9047218571947875
2,CC-charge,6,327.27272727272725,12143.164311538396,3.9286737460413512,27.263836618115,27.263836618115,44358.51687209724,2427.696137937728,5.027387321091484e-09,3.9286737460413512
2,CC-charge,7,381.8181818181818,12197.70976608385,3.9495784946724415,27.263836618115,27.263836618115,44045.24555432988,2767.783541479458,5.027510079640591e-09,3.9495784946724415
2,CC-charge,8,436.3636363636364,12252.255220629304,3.9677663695196603,27.263836618115,27.263836618115,43731.97423804665,3107.8693976427007,5.027680453977011e-09,3.9677663695196603
2,CC-charge,9,490.90909090909093,12306.800675174758,3.983559198078386,27.263836618115,27.263836618115,43418.70292180935,3447.953492622014,5.027905681087301e-09,3.983559198078386
2,CC-charge,10,545.4545454545455,12361.346129720214,3.9972682480515194,27.263836618115,27.263836618115,43105.43160557442,3788.035689708116,5.028190664950136e-09,3.9972682480515194
2,CC-charge,11,557.2600301295513,12373.15161439522,3.9999900000000004,27.263836618115,27.263836618115,43037.62907732069,3861.640744654612,5.028260477291249e-09,3.9999900000000004
2,CV-charge,0,0.0,12373.15161439522,4.000000000000001,27.345328535833904,27.345328535833904,43037.62907732069,3861.640744654612,5.028260477291249e-09,4.000000000000001
2,CV-charge,1,54.54545454545455,12427.697068940673,4.0,23.930748612726507,23.930748612726507,42626.41413356773,4243.794570733768,5.028601443591464e-09,4.0
2,CV-charge,2,109.0909090909091,12482.24252348613,4.0,22.066137729525064,22.066137729525064,42368.47991788126,4524.855729157969,5.028958033680954e-09,4.0
