,,Global Time,Time,Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,String 3 Iapp,String 4 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 1,3 Cathode Concentration","Cell 1,3 Anode Concentration","Cell 1,3 Anode SEI Length","Cell 1,3 Voltage","Cell 1,3 Capacity by Area","Cell 1,4 Cathode Concentration","Cell 1,4 Anode Concentration","Cell 1,4 Anode SEI Length","Cell 1,4 Voltage","Cell 1,4 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area","Cell 2,3 Cathode Concentration","Cell 2,3 Anode Concentration","Cell 2,3 Anode SEI Length","Cell 2,3 Voltage","Cell 2,3 Capacity by Area","Cell 2,4 Cathode Concentration","Cell 2,4 Anode Concentration","Cell 2,4 Anode SEI Length","Cell 2,4 Voltage","Cell 2,4 Capacity by Area"
CC-discharge,0,4837510.503053186,0.0,7.720055481244852,-53.2,-14.757178927290813,-14.843574269424709,-8.806195081740535,-14.793051721543947,27011.524780683292,16311.379477003482,1.778559005177539e-08,3.8612888167362374,0.0,26941.414180053307,15519.819164429511,1.7206841911011637e-08,3.85844205433241,0.0,29727.92362576859,27869.187710588383,2.5731446503097364e-08,3.859746041927754,0.0,26979.962336433993,16093.562741789035,1.7646061156122497e-08,3.861352411341648,0.0,27023.686965634985,16171.676793750972,1.7658039775811774e-08,3.858766664508615,0.0,26928.930586369515,15725.339515772632,1.7384866620448157e-08,3.8616134269124416,0.0,29723.91553128831,27831.436906095554,2.5702052785014235e-08,3.860309439317097,0.0,26990.538874807215,15929.018606561394,1.7499010961718727e-08,3.8587030699032034,0.0
CC-discharge,1,4837539.418715837,28.91566265060241,7.709499154098552,-53.2,-14.675345377627593,-14.74160422179794,-9.080776520399022,-14.702273880175447,27170.053069392918,16173.367847888281,1.778559005177426e-08,3.8560352970984164,0.118202908855094,27103.338316836445,15376.844260369138,1.7206841911011594e-08,3.853135333466941,0.11881597787639618,29825.841119044726,27784.29738691056,2.5731446503086686e-08,3.8544720170933218,0.07183522731782954,27139.494272690004,15955.515861818765,1.764606115610683e-08,3.8560974051739016,0.11845512289847146,27183.77766243488,16030.303078823143,1.7658039775813783e-08,3.8534638570001354,0.118202908855094,27089.11800140073,15586.86366528866,1.73848666204651e-08,3.8563638206316098,0.11881597787639618,29821.73367761128,27747.1022362423,2.570205278501417e-08,3.8550271370052305,0.07183522731782954,27151.474011422208,15787.15682496954,1.749901096172262e-08,3.8534017489246515,0.11845512289847146
CC-discharge,2,4837568.334378487,57.83132530120482,7.7032797117685305,-53.2,-14.62674458328035,-14.682505292243908,-9.2417556330156,-14.648994491460137,27265.45722607314,16076.670041693676,1.7785590051774392e-08,3.852940227072139,0.2358819850033187,27200.667114866388,15276.774589026532,1.7206841911011505e-08,3.8500086021750226,0.2369850923906205,29886.885162196624,27722.977403731125,2.573144650308503e-08,3.851365201328823,0.14541969379740635,27235.449987308904,15858.838982212306,1.764606115611113e-08,3.853001527868094,0.23633170270423687,27280.122094365073,15931.249628221018,1.7658039775814878e-08,3.850339484696392,0.2358819850033187,27185.402896748976,15489.942929878143,1.7384866620469564e-08,3.8532711095935093,0.2369850923906205,29882.715785561264,27686.18362605401,2.5702052785008858e-08,3.851914510439708,0.14541969379740635,27248.27372691248,15687.808296537554,1.749901096167634e-08,3.8502781839004387,0.23633170270423687
CC-discharge,3,4837597.250041138,86.74698795180723,7.697505700017954,-53.2,-14.581738797846144,-14.628469808633541,-9.389836262635468,-14.59995513088485,27354.849041475565,15981.33853307555,1.7785590051774683e-08,3.850066827556304,0.35318513111226046,27291.800889502763,15178.179246819856,1.7206841911011535e-08,3.8471057895406067,0.35469985183189534,29945.314073889716,27661.349280432125,2.573144650309882e-08,3.8484809732932,0.22024536406106526,27325.331436718498,15763.554279042739,1.7646061156101963e-08,3.8501274057143084,0.35379736383815247,27370.394929153495,15833.595759417163,1.765803977581458e-08,3.847438872461651,0.35318513111226046,27275.559213596174,15394.45013024662,1.7384866620472214e-08,3.8503999104773476,0.35469985183189534,29941.08541536134,27624.95889269205,2.5702052785006065e-08,3.8490247267247533,0.22024536406106526,27338.945749576746,15589.89041709689,1.7499010961678704e-08,3.8473782943036468,0.35379736383815247
CC-discharge,4,4837626.165703789,115.66265060240964,7.691893641932963,-53.2,-14.538358938367548,-14.57688275078112,-9.531857502607167,-14.55290080824417,27442.67072477637,15886.34957594262,1.778559005177469e-08,3.847273973125984,0.47013331479183357,27381.28398370111,15079.99241019704,1.7206841911011528e-08,3.8442844551600306,0.4719904243596651,30003.786010651205,27598.8281838199,2.5731446503098657e-08,3.8456775914729553,0.2962361020740879,27413.61198572063,15668.63552038118,1.764606115610187e-08,3.8473338613442083,0.47087710656557824,27459.08215708108,15736.292786957136,1.765803977581458e-08,3.844619668806979,0.47013331479183357,27364.082554423938,15299.352981575219,1.7384866620472224e-08,3.847609186772933,0.4719904243596651,29999.498026576584,27562.847031018377,2.570205278500608e-08,3.846216050460008,0.2962361020740879,27428.002790740687,15492.348594976896,1.7499010961678926e-08,3.8445597805887566,0.47087710656557824
CC-discharge,5,4837655.081366439,144.57831325301206,7.686377184317602,-53.2,-14.496183648020011,-14.527138318393193,-9.669348824369164,-14.507329209217627,27529.940147337253,15791.637783642214,1.7785590051774697e-08,3.8445286322109586,0.5867379034921852,27470.159721504457,14982.142369682748,1.720684191101155e-08,3.8415112549841197,0.5888740431113691,30062.895114694642,27535.405064770468,2.5731446503098743e-08,3.842921872938224,0.3733493804956796,27501.317524030757,15574.015627450552,1.764606115610185e-08,3.844587850598387,0.587584857639722,27547.211681349927,15639.273731310679,1.7658039775814583e-08,3.8418485521066437,0.5867379034921852,27452.00505307439,15204.582030902598,1.738486662047238e-08,3.844865929333481,0.5888740431113691,30058.547158604466,27499.83905114052,2.5702052785005916e-08,3.8434553113793775,0.3733493804956796,27516.479763572657,15395.113897691594,1.749901096167869e-08,3.8417893337192144,0.587584857639722
CC-discharge,6,4837683.99702909,173.49397590361446,7.680939093209497,-53.2,-14.455217757251543,-14.479194757226585,-9.802361923681895,-14.46322556183998,27616.862261186074,15697.237464055335,1.7785590051774726e-08,3.841822228073412,0.7030085918667698,27558.63419673992,14884.668178816706,1.720684191101158e-08,3.8387775244333544,0.7053653406038181,30122.892010117368,27470.965653740324,2.573144650309862e-08,3.840205206692138,0.45154902205411757,27588.652808027105,15479.730502391838,1.7646061156101953e-08,3.841880793516129,0.7039324671620417,27634.990473934144,15542.573736129394,1.7658039775814567e-08,3.839116865136086,0.7030085918667698,27539.530592909363,15110.175102854273,1.7384866620472585e-08,3.8421615687761435,0.7053653406038181,30118.483181259853,27435.821431471908,2.5702052785005857e-08,3.84073388651736,0.45154902205411757,27604.58322543215,15298.223219529697,1.7499010961679022e-08,3.839058299693369,0.7039324671620417
CC-discharge,7,4837712.91269174,202.40963855421688,7.675569548461969,-53.2,-14.4152330998245,-14.43269642241794,-9.93176472206331,-14.420305755694251,27703.576654559707,15603.055167166563,1.778559005177469e-08,3.8391498831771145,0.8189541776381596,27646.865662818673,14787.455138268577,1.7206841911011588e-08,3.8360783115513883,0.8214773533734748,30183.529322986964,27405.81764689734,2.573144650309832e-08,3.837522670498324,0.530802542719761,27675.765264655172,15385.678900916671,1.7646061156101827e-08,3.8392078116635098,0.8199305849031431,27722.559498811162,15446.097074872978,1.7658039775814573e-08,3.8364196652848537,0.8189541776381596,27626.815729988433,15016.021107392844,1.7384866620471397e-08,3.8394912369105803,0.8214773533734748,30179.05897159555,27371.09985413874,2.5702052785006224e-08,3.838046877963643,0.530802542719761,27692.46189999325,15201.5725183356,1.7499010961679733e-08,3.836361736798459,0.8199305849031431
CC-discharge,8,4837741.828354391,231.32530120481928,7.670265884172287,-53.2,-14.37632294710379,-14.387728110172304,-10.057288710426608,-14.378660232297305,27790.055672510884,15509.12735070623,1.7785590051774687e-08,3.8365102740076455,0.9345829167824499,27734.822085030344,14690.545320321718,1.7206841911011505e-08,3.8334122709042946,0.9372220302111867,30244.916436150677,27339.84477826801,2.573144650309837e-08,3.834872940790022,0.6110798657418088,27762.625341171282,15291.899206552822,1.7646061156101754e-08,3.8365675812317113,0.9355890828468842,27809.890828475345,15349.881093414479,1.765803977581454e-08,3.8337556101646415,0.9345829167824499,27713.828773191333,14922.160792894305,1.73848666204706e-08,3.8368536132679916,0.9372220302111867,30240.383801479275,27305.558814194483,2.5702052785006386e-08,3.8353929433822644,0.6110798657418088,27780.08597457372,15105.201238358373,1.7499010961681434e-08,3.8336983029405753,0.9355890828468842
CC-discharge,9,4837770.744017042,260.2409638554217,7.665024503240515,-53.2,-14.338477806315126,-14.344240237114356,-10.179019549580364,-14.338262406990154,27876.30861157341,15415.447107281108,1.778559005177467e-08,3.833901615464136,1.0499034017359394,27822.515291407126,14593.92883452815,1.72068419110115e-08,3.8307775860020787,1.0526114613247877,30307.0327993492,27273.071753722175,2.5731446503098273e-08,3.832254221612853,0.6923501800390256,27849.243409487237,15198.383344369418,1.7646061156100805e-08,3.8339583169389044,1.050918089430368,27896.99385108348,15253.91871608993,1.7658039775814534e-08,3.8311228877763788,1.0499034017359394,27800.58142368751,14828.58458013916,1.7384866620471175e-08,3.834246917238435,1.0526114613247877,30302.43714150138,27239.22285579322,2.57020527850065e-08,3.832770281627661,0.6923501800390256,27867.465912315212,15009.101081518153,1.749901096168054e-08,3.8310661863016104,1.050918089430368
