,,Global Time,Time,Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,String 3 Iapp,String 4 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 1,3 Cathode Concentration","Cell 1,3 Anode Concentration","Cell 1,3 Anode SEI Length","Cell 1,3 Voltage","Cell 1,3 Capacity by Area","Cell 1,4 Cathode Concentration","Cell 1,4 Anode Concentration","Cell 1,4 Anode SEI Length","Cell 1,4 Voltage","Cell 1,4 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area","Cell 2,3 Cathode Concentration","Cell 2,3 Anode Concentration","Cell 2,3 Anode SEI Length","Cell 2,3 Voltage","Cell 2,3 Capacity by Area","Cell 2,4 Cathode Concentration","Cell 2,4 Anode Concentration","Cell 2,4 Anode SEI Length","Cell 2,4 Voltage","Cell 2,4 Capacity by Area"
CC-discharge,0,1640820.6953453338,0.0,7.7300966423570605,-53.2,-13.44525563163541,-13.503757763953375,-12.784387091197434,-13.466599513213776,27479.5482022043,19792.282239279182,9.773449209311513e-09,3.866251500544144,0.0,27438.19181718186,19387.501107995842,9.66490514043686e-09,3.863557016096994,0.0,27857.591953501564,21710.373471661922,1.0164234318687978e-08,3.864822073764661,0.0,27459.153043711132,19688.84553146182,9.75580187790116e-09,3.866292038788563,0.0,27496.323087720313,19728.36815740034,9.738293757437207e-09,3.8638451418129165,0.0,27420.38002170934,19482.82159309067,9.712968111801138e-09,3.8665396262600664,0.0,27855.48149505433,21714.971927380513,1.0171748910066197e-08,3.8652745685923997,0.0,27473.944415472604,19613.477050610905,9.715635408246746e-09,3.8638046035684974,0.0
CC-discharge,1,1640849.6110079845,28.91566265060241,7.720233054994106,-53.2,-13.434953247124051,-13.481609931684005,-12.832325107901589,-13.451111713290354,27624.47968052005,19666.114162021368,9.773449209312045e-09,3.8613413143939175,0.10795264609943558,27586.05628909064,19256.948038636234,9.664905140436912e-09,3.8586000514096885,0.10837497066521037,27997.007653280525,21589.455742851434,1.0164234318812585e-08,3.859887481239149,0.1028783622453776,27604.901854222455,19562.732336595338,9.755801877931489e-09,3.861380783576107,0.1081032579377676,27642.682967970788,19599.126513767973,9.738293757437339e-09,3.8588917406001886,0.10795264609943558,27566.658569186104,19356.376694024515,9.712968111789182e-09,3.8616330035844166,0.10837497066521037,27994.75574385711,21594.84567156187,1.0171748910042553e-08,3.8603455737549566,0.1028783622453776,27620.975193645416,19483.878739444088,9.71563540850244e-09,3.858852271417999,0.1081032579377676
CC-discharge,2,1640878.526670635,57.83132530120482,7.714345404408094,-53.2,-13.429176939207354,-13.469385426671687,-12.858926411560118,-13.44251122256084,27712.121428100218,19577.350082254026,9.773449209312264e-09,3.85841062849822,0.2158407191369111,27675.398137591103,19165.16416238862,9.66490514043656e-09,3.855640857943808,0.21661189981523324,28081.676074108902,21504.07001145627,1.0164234318800834e-08,3.8569418729311935,0.20605607919100694,27693.00602469087,19474.03453798544,9.755801877938515e-09,3.85844953710269,0.216109775752431,27731.18848678441,19508.20006221234,9.738293757436945e-09,3.855934775909875,0.2158407191369111,27655.04217925038,19267.48102098567,9.712968111792473e-09,3.8587045464642866,0.21661189981523324,28079.338260222914,21510.01883670648,1.0171748910042091e-08,3.857403531476901,0.20605607919100694,27709.854304897006,19392.729792530015,9.715635408511234e-09,3.855895867305406,0.216109775752431
CC-discharge,3,1640907.4423332857,86.74698795180723,7.708838695408353,-53.2,-13.4240017251294,-13.458519722088926,-12.882638091574293,-13.434840461207376,27794.49458213823,19489.59791072083,9.773449209312026e-09,3.8556696278350127,0.3236848101583438,27759.329657966362,19074.465331250427,9.664905140436515e-09,3.8528730376416607,0.324756097199814,28161.453292633105,21419.46699877783,1.0164234318800068e-08,3.854186806782041,0.30943585631202863,27775.79666184573,19386.364338628482,9.755801877933373e-09,3.8557080400863115,0.3240509471731869,27814.373486350527,19418.3101698739,9.738293757437237e-09,3.8531690675733405,0.3236848101583438,27738.073489811115,19179.63624946929,9.712968111789604e-09,3.855965657766693,0.324756097199814,28159.034536891057,21425.969597243624,1.0171748910045383e-08,3.8546518886263113,0.30943585631202863,27793.373146413596,19302.636842395965,9.715635408506445e-09,3.853130655322041,0.3240509471731869
CC-discharge,4,1640936.3579959362,115.66265060240964,7.703455446954868,-53.2,-13.41914643758614,-13.448381903248007,-12.904807582757629,-13.42766407640823,27875.639267801962,19401.932140305864,9.773449209311911e-09,3.8529900772460195,0.43148861804073557,27841.97654966746,18983.8912424711,9.664905140436554e-09,3.8501672759861503,0.43281594308470134,28240.20764014429,21334.771398824036,1.0164234318798883e-08,3.8514934892298642,0.4129998951647673,27857.338295385387,19298.79554712137,9.755801877929967e-09,3.853028014819326,0.4319324915009604,27896.31791012046,19328.508783461893,9.738293757437129e-09,3.8504653697088487,0.43148861804073557,27819.833950018292,19091.912294990252,9.71296811178897e-09,3.8532881709687183,0.43281594308470134,28237.708980350126,21341.828376540754,1.017174891004592e-08,3.851961957725003,0.4129998951647673,27875.631998412344,19212.64810250037,9.715635408505783e-09,3.85042743213554,0.4319324915009604
CC-discharge,5,1640965.273658587,144.57831325301206,7.698137520015794,-53.2,-13.414558840802131,-13.438849350585581,-12.925692827212455,-13.420898981399832,27956.468411303904,19314.30262860696,9.773449209311888e-09,3.850343018625475,0.5392545026928973,27924.2674184103,18893.393298078678,9.664905140436596e-09,3.847494378201178,0.5407967914936715,28318.832473489245,21249.917581932066,1.0164234318797985e-08,3.8488328399933702,0.5167368446023982,27938.54774894491,19211.279478921708,9.755801877928657e-09,3.8503804923454013,0.5397580459499888,27977.943681837736,19238.74453906004,9.738293757437155e-09,3.847794501390319,0.5392545026928973,27901.24220580023,19004.262088828968,9.712968111789372e-09,3.850643141814616,0.5407967914936715,28316.254041047912,21257.52997451626,1.0171748910045764e-08,3.8493046800224224,0.5167368446023982,27957.55574866395,19122.71354291223,9.715635408508258e-09,3.8477570276703923,0.5397580459499888
CC-discharge,6,1640994.1893212374,173.49397590361446,7.692868684667328,-53.2,-13.410193580298573,-13.429816053998243,-12.945516796805412,-13.414473568897781,28037.22809397674,19226.701442879843,9.773449209311882e-09,3.8477203702422753,0.6469844320949082,28006.459932607635,18802.95577335554,9.664905140436696e-09,3.844846190607867,0.6487030782590684,28397.531677531504,21164.93444129427,1.0164234318798609e-08,3.84619674188581,0.6206372848594981,28019.675338716384,19123.80503176648,9.755801877929022e-09,3.8477573880331146,0.6475306264732723,28059.499308140697,19149.009310676127,9.738293757437175e-09,3.8451483144250527,0.6469844320949082,27982.553161941887,18916.670401084484,9.712968111788572e-09,3.848022494059462,0.6487030782590684,28394.87339698569,21173.103095240524,1.017174891004536e-08,3.846671942781517,0.6206372848594981,28039.39691507541,19032.821754558947,9.71563540850808e-09,3.845111296634214,0.6475306264732723
CC-discharge,7,1641023.104983888,202.40963855421688,7.687645476909967,-53.2,-13.40603730201672,-13.421248105648242,-12.964348739870998,-13.408365852464044,28117.950351807165,19139.12724118701,9.77344920931188e-09,3.8451204090054243,0.7546801384495881,28088.5882825134,18712.57556542019,9.664905140436733e-09,3.8422209705167654,0.7565386772937933,28476.329057393723,21079.82848684109,1.0164234318797738e-08,3.8435834626064116,0.7246929697457488,28100.75391211819,19036.370160226365,9.755801877929769e-09,3.845156978026742,0.7552528731454082,28141.01714075347,19059.301723681387,9.738293757437165e-09,3.842525067904543,0.7546801384495881,28063.800641987098,18829.134226516035,9.712968111788917e-09,3.8454245063932024,0.7565386772937933,28473.590829135406,21088.554206034354,1.017174891004505e-08,3.844062014303555,0.7246929697457488,28121.188633982798,18942.970635484897,9.715635408510867e-09,3.8424884988832257,0.7552528731454082
CC-discharge,8,1641052.0206465386,231.32530120481928,7.682465830180332,-53.2,-13.4020786493478,-13.413116714438125,-12.982247453867474,-13.4025571823466,28198.645542993472,19051.578743996233,9.773449209311878e-09,3.8425421076583564,0.8623432547201284,28170.664430636418,18622.24976073665,9.664905140436682e-09,3.839617677249808,0.8643072107077947,28555.22801440976,20994.60579839967,1.016423431879776e-08,3.8409919688193606,0.8288961673109635,28181.79447115615,18948.97293159381,9.755801877930248e-09,3.842578234577394,0.8629272628434429,28222.507639960284,18969.62046737315,9.738293757437149e-09,3.8399237225219753,0.8623432547201284,28144.996480142054,18741.65074326877,9.712968111788376e-09,3.842848152930525,0.8643072107077947,28552.409735379057,21003.889346928416,1.0171748910044887e-08,3.8414738613609707,0.8288961673109635,28202.942004161818,18853.158199574456,9.715635408511284e-09,3.8398875956029395,0.8629272628434429
CC-discharge,9,1641080.9363091893,260.2409638554217,7.677328150922563,-53.2,-13.398307275654785,-13.405395900380578,-12.999266145445691,-13.397030678518954,28279.317510288525,18964.05473658185,9.773449209311859e-09,3.8399846742948465,0.9699753267080906,28252.693602373354,18531.975616595046,9.66490514043667e-09,3.8370355079814034,0.9720120806468255,28634.226045762367,20909.27210835611,1.0164234318798045e-08,3.8384214637761445,0.9332395954206549,28262.801428740433,18861.611519907154,9.755801877930573e-09,3.840020365387307,0.9705561297545495,28303.97468638879,18879.964297433242,9.738293757437146e-09,3.8373434766277166,0.9699753267080906,28226.145845757128,18654.217294938167,9.712968111788507e-09,3.8402926429411592,0.9720120806468255,28631.327615437585,20919.114212785353,1.017174891004572e-08,3.83890668714642,0.9332395954206549,28284.661477338006,18763.38257040485,9.71563540850944e-09,3.8373077855352564,0.9705561297545495
CC-discharge,10,1641109.8519718398,289.1566265060241,7.672231041271368,-53.2,-13.39471353770073,-13.398061733121306,-13.015454002943633,-13.391770726234332,28359.968111521102,18876.554066270783,9.773449209311844e-09,3.8374474142365047,1.0775778199344181,28334.67891595719,18441.75054917987,9.664905140436655e-09,3.834473758473379,1.0796564888134998,28713.31907579673,20823.832829871222,1.0164234318798796e-08,3.835871248607619,1.0377163831651903,28343.77716781261,18774.284199560643,9.7558018779316e-09,3.837482675435595,1.0781416775648038,28385.420156176868,18790.332033110266,9.738293757437152e-09,3.834783627034863,1.0775778199344181,28307.251823620598,18566.831379015253,9.71296811178812e-09,3.8377572827979884,1.0796564888134998,28710.34039779296,20834.234181334847,1.0171748910045698e-08,3.8363597926637483,1.0377163831651903,28366.349457411965,18673.641974683247,9.715635408509083e-09,3.834748365835772,1.0781416775648038
