,,Global Time,Time,Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,String 3 Iapp,String 4 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 1,3 Cathode Concentration","Cell 1,3 Anode Concentration","Cell 1,3 Anode SEI Length","Cell 1,3 Voltage","Cell 1,3 Capacity by Area","Cell 1,4 Cathode Concentration","Cell 1,4 Anode Concentration","Cell 1,4 Anode SEI Length","Cell 1,4 Voltage","Cell 1,4 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area","Cell 2,3 Cathode Concentration","Cell 2,3 Anode Concentration","Cell 2,3 Anode SEI Length","Cell 2,3 Voltage","Cell 2,3 Capacity by Area","Cell 2,4 Cathode Concentration","Cell 2,4 Anode Concentration","Cell 2,4 Anode SEI Length","Cell 2,4 Voltage","Cell 2,4 Capacity by Area"
CC-discharge,0,850191.9896406953,0.0,7.729823215781225,-53.2,-13.355775016907439,-13.365720057617958,-13.119727900758841,-13.358777024715767,27551.80677910313,20236.27747504404,7.508283570248925e-09,3.86610881273683,0.0,27538.289233431697,20007.701125471776,7.470557568161326e-09,3.8634348334435193,0.0,27715.088378076274,21049.36289770131,7.598277109551966e-09,3.864679371703359,0.0,27541.41470198898,20191.005084410797,7.50538265947138e-09,3.866145067072332,0.0,27569.293823778225,20180.90098909792,7.49066782206445e-09,3.863714403044395,0.0,27519.40384038514,20086.432284292692,7.49425855265464e-09,3.8663883823377065,0.0,27713.122503554063,21058.914292056397,7.60260164513815e-09,3.8651438440778665,0.0,27556.92962528901,20126.933492771415,7.485376246996574e-09,3.8636781487088934,0.0
CC-discharge,1,850220.9053033459,28.91566265060241,7.720010634883911,-53.2,-13.35270049616364,-13.355793116476363,-13.139123892641827,-13.352382494718169,27695.83435218402,20110.89763941553,7.508283570248655e-09,3.861223815069552,0.10726295386775533,27684.742327253865,19878.3962782325,7.470557568162472e-09,3.858503842288451,0.10731531395218602,27857.93148061827,20925.468797974627,7.598277109540923e-09,3.859770165441814,0.10545723611807496,27686.071682217105,20065.838230043257,7.50538265941626e-09,3.86125899990952,0.10727373300977484,27714.740890169807,20052.46678936075,7.490667822064142e-09,3.858786819814359,0.10726295386775533,27664.28614754939,19961.196328998107,7.4942585526371e-09,3.86150679259546,0.10731531395218602,27855.820677681582,20935.831147304598,7.60260164513279e-09,3.8602404694420973,0.10545723611807496,27702.8589697307,19998.30767405964,7.48537624700655e-09,3.858751634974392,0.10727373300977484
CC-discharge,2,850249.8209659965,57.83132530120482,7.714151099426893,-53.2,-13.35097712682948,-13.350317878979176,-13.149860722485414,-13.348844271705934,27782.966813670042,20022.65535873792,7.508283570248672e-09,3.858307022820264,0.21450663910065942,27773.299320250302,19787.429572660498,7.470557568162734e-09,3.8555589439068285,0.21456877176526046,27944.487694462114,20838.149928536164,7.59827710954276e-09,3.8568385452021055,0.21103548758444945,27773.564431643317,19977.763653076476,7.50538265943678e-09,3.858341650064619,0.214507575445213,27802.732103515205,19962.074848384003,7.490667822063813e-09,3.855844076606629,0.21450663910065942,27751.893320098803,19873.092112369595,7.494258552643278e-09,3.858592155520065,0.21456877176526046,27942.28907170993,20849.083827857074,7.602601645135116e-09,3.8573125542247895,0.21103548758444945,27791.1212820437,19907.799171410854,7.48537624700984e-09,3.8558094493622748,0.214507575445213
CC-discharge,3,850278.7366286471,86.74698795180723,7.708668772257635,-53.2,-13.349437364990719,-13.34545404288724,-13.159412877757651,-13.345695714364389,27864.890102632107,19935.391686083196,7.508283570248842e-09,3.8555780756076112,0.32173721938909394,27856.538807640478,19697.49436152502,7.470557568162704e-09,3.8528035094931505,0.32178070719444285,28025.945854817444,20751.7258001958,7.59827710954257e-09,3.854095607396052,0.31669522091875896,27855.815391993416,19890.676447708458,7.505382659435385e-09,3.8556122112871383,0.32171456334107773,27885.462804267598,19872.685355190126,7.490667822063684e-09,3.853090696650024,0.32173721938909394,27834.240020093413,19785.986931692772,7.494258552634118e-09,3.855865262764485,0.32178070719444285,28023.66458472887,20763.225392936114,7.602601645130652e-09,3.8545731648615824,0.31669522091875896,27874.0956999022,19818.3053262039,7.485376247008404e-09,3.8530565609704963,0.32171456334107773
CC-discharge,4,850307.6522912977,115.66265060240964,7.70330804189839,-53.2,-13.347999589393016,-13.340919660021925,-13.168324139205108,-13.34275661137995,27945.61280476665,19848.191647318694,7.508283570248598e-09,3.8529096625107466,0.42895584169585593,27938.539048336508,19607.645559629575,7.470557568162646e-09,3.850109175508611,0.42895489877239135,28106.274428952605,20665.296975351048,7.59827710954415e-09,3.851413491342292,0.42242910452101906,27936.851680143114,19803.66252498411,7.505382659437008e-09,3.852943329931869,0.4288971028018984,27966.981085562686,19783.361046064896,7.490667822063624e-09,3.850398379387644,0.42895584169585593,27915.360764967867,19698.965441178956,7.494258552632457e-09,3.853198866389778,0.42895489877239135,28103.911657603607,20677.362292251255,7.602601645130383e-09,3.851894550556098,0.42242910452101906,27955.84476162765,19728.886788793945,7.485376247011349e-09,3.8503647119665216,0.4288971028018984
CC-discharge,5,850336.5679539483,144.57831325301206,7.69801068333247,-53.2,-13.346642991628828,-13.336641718412057,-13.176734708307743,-13.33998058165138,28026.05355693912,19761.001854539434,7.50828357024864e-09,3.8502727810046293,0.5361632416196385,28020.235198664283,19517.82701784721,7.470557568162572e-09,3.8474467064943294,0.5360936994889937,28186.38098170544,20578.814233655925,7.59827710954442e-09,3.848763073501702,0.5282325537078176,28017.596428512235,19716.66809647475,7.5053826594352e-09,3.8503059926188032,0.5360566899225062,28048.214638080277,19694.04723252571,7.490667822063632e-09,3.847737902327841,0.5361632416196385,27996.180681004033,19611.973258570048,7.494258552632616e-09,3.850563976838141,0.5360936994889937,28183.93693435847,20591.445627631292,7.602601645130035e-09,3.8492476098307673,0.5282325537078176,28037.299719266495,19639.488284318373,7.485376247009911e-09,3.8477046907136674,0.5360566899225062
CC-discharge,6,850365.4836165989,173.49397590361446,7.692762004770598,-53.2,-13.345364643298092,-13.332609068225334,-13.184665451121198,-13.337360837355376,28106.427705652557,19673.821758672628,7.508283570248684e-09,3.8476601139745368,0.6433600594305899,28101.844500684856,19428.040077254114,7.47055756816236e-09,3.8448087246421307,0.6431991243349269,28266.484788430957,20492.27083394068,7.598277109542738e-09,3.846137005272816,0.6341016306533154,28098.265069767305,19629.69353591019,7.505382659433294e-09,3.8476928791139624,0.6431946072679149,28129.380930714648,19604.74335212491,7.49066782206364e-09,3.8451018907960615,0.6433600594305899,28076.914680226397,19525.01168274194,7.494258552636853e-09,3.847953280128467,0.6431991243349269,28263.95946787259,20505.46870203172,7.602601645131511e-09,3.8466249994977835,0.6341016306533154,28118.67790037322,19550.110196834674,7.48537624700691e-09,3.8450691256566363,0.6431946072679149
CC-discharge,7,850394.3992792495,202.40963855421688,7.687557556646019,-53.2,-13.344154238477527,-13.328787172593545,-13.192183056361976,-13.334875532566953,28186.785853121066,19586.649520444706,7.508283570248746e-09,3.8450694467912685,0.750546882248966,28183.422050500358,19338.278714537555,7.470557568162476e-09,3.8421929932033847,0.7502730048201434,28346.623943177627,20405.678401379973,7.598277109542713e-09,3.8435330613219825,0.7400327491572639,28178.91016050715,19542.73508346724,7.505382659435972e-09,3.845101773887423,0.7503120224081653,28210.531064400293,19515.4475207822,7.490667822063771e-09,3.8424881098547505,0.750546882248966,28157.61726780293,19438.074879919914,7.494258552649319e-09,3.845364563442633,0.7502730048201434,28344.017313542656,20419.443064533603,7.602601645134558e-09,3.844024495324036,0.7400327491572639,28200.032323820884,19460.74866261769,7.485376246996471e-09,3.842455782758595,0.7503120224081653
CC-discharge,8,850423.3149419001,231.32530120481928,7.682395527836938,-53.2,-13.343007853668322,-13.325162889746558,-13.199312766718453,-13.33251648986667,28267.134648412797,19499.48472091804,7.508283570248677e-09,3.8424998788621934,0.8577242400487486,28264.975405628327,19248.54159890528,7.470557568162406e-09,3.839598600847192,0.8573169809741197,28426.80236311401,20319.039481074993,7.598277109545176e-09,3.840950335893194,0.8460226922218439,28259.538745287846,19455.791915520156,7.505382659443334e-09,3.8425317758065574,0.8574099823376176,28291.67175373701,19426.15930935381,7.490667822063793e-09,3.839895648974745,0.8577242400487486,28238.295920193283,19351.161561188805,7.4942585526525e-09,3.842796926989748,0.8573169809741197,28424.114384565342,20333.371243579477,7.602601645130672e-09,3.8414451919437456,0.8460226922218439,28281.37009612704,19371.40283528084,7.485376247008019e-09,3.839863752030382,0.8574099823376176
CC-discharge,9,850452.2306045507,260.2409638554217,7.6772744505708825,-53.2,-13.341921901606977,-13.321724321527547,-13.206077484668167,-13.330276292197311,28347.4763182966,19412.326967837645,7.508283570248771e-09,3.839950680400354,0.9648926326402156,28346.50756891528,19158.82748866276,7.47055756816234e-09,3.8370248089109706,0.9643325922643771,28507.019766588608,20232.356451649786,7.598277109546824e-09,3.838388094977083,0.9520684362033163,28340.15340095526,19368.8632624534,7.50538265944197e-09,3.8399821546275845,0.9644894714222119,28372.8052474397,19336.878316029615,7.49066782206379e-09,3.8373237701705283,0.9648926326402156,28318.953608035623,19264.27052392723,7.494258552647333e-09,3.84024964165991,0.9643325922643771,28504.250399573037,20247.255602222493,7.602601645129317e-09,3.8388863555937984,0.9520684362033163,28362.693816803407,19282.071923941196,7.485376247009347e-09,3.8372922959432967,0.9644894714222119
