,,Global Time,Time,Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,String 3 Iapp,String 4 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 1,3 Cathode Concentration","Cell 1,3 Anode Concentration","Cell 1,3 Anode SEI Length","Cell 1,3 Voltage","Cell 1,3 Capacity by Area","Cell 1,4 Cathode Concentration","Cell 1,4 Anode Concentration","Cell 1,4 Anode SEI Length","Cell 1,4 Voltage","Cell 1,4 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area","Cell 2,3 Cathode Concentration","Cell 2,3 Anode Concentration","Cell 2,3 Anode SEI Length","Cell 2,3 Voltage","Cell 2,3 Capacity by Area","Cell 2,4 Cathode Concentration","Cell 2,4 Anode Concentration","Cell 2,4 Anode SEI Length","Cell 2,4 Voltage","Cell 2,4 Capacity by Area"
CC-discharge,0,2577011.605862047,0.0,7.729761250099134,-53.2,-13.646489758734534,-13.73904990866877,-12.132348726855751,-13.682111605740946,27362.73111651353,19052.086912434832,1.2339874750820104e-08,3.8660951201869644,0.0,27298.73703357675,18469.87922091528,1.2110286895627768e-08,3.8633670015308694,0.0,28162.962746196812,23025.888905083546,1.3526177618641293e-08,3.8646642812245258,0.0,27333.71205690778,18889.890952650538,1.2291623629009357e-08,3.866141866122676,0.0,27378.354687456052,18972.811355293565,1.2282009251518872e-08,3.8636661299121697,0.0,27282.42096402884,18590.6569855839,1.219049490179248e-08,3.8663942485682647,0.0,28160.542458978623,23021.13095351192,1.3535480356782717e-08,3.8650969688746093,0.0,27347.400083287805,18795.46347164286,1.2225143392876065e-08,3.8636193839764577,0.0
CC-discharge,1,2577040.5215246975,28.91566265060241,7.7198089522843025,-53.2,-13.621328687901308,-13.697622211552579,-12.23108205774395,-13.649967042802158,27509.754145330517,18924.100258214745,1.2339874750820713e-08,3.8611411486656992,0.10950931103066604,27449.06583474693,18337.15204065691,1.2110286895628064e-08,3.8583649971499665,0.11018743823382068,28295.718502905154,22910.758563220188,1.3526177618638826e-08,3.859685659345448,0.09784510355260925,27481.702052060522,18761.840479905793,1.2291623628987629e-08,3.8611867703150917,0.1097673841306952,27526.826731912708,18841.706832549655,1.2282009251518602e-08,3.8586678036186033,0.10950931103066604,27431.13740953622,18462.10638931371,1.219049490179943e-08,3.8614439551343365,0.11018743823382068,28293.163521879913,22906.7542030116,1.3535480356780977e-08,3.860123292938846,0.09784510355260925,27496.691758964374,18663.874346259076,1.2225143392887926e-08,3.8586221819692033,0.1097673841306952
CC-discharge,2,2577069.4371873485,57.83132530120482,7.7138793446041065,-53.2,-13.60710763765427,-13.67464322230067,-12.286270966193069,-13.631978173851998,27598.51257409386,18834.18372529446,1.2339874750820407e-08,3.85818976630873,0.21886046093249567,27539.72033921681,18243.993464995267,1.2110286895628213e-08,3.855384503625651,0.2201162150766048,28376.628535486165,22829.20802539287,1.3526177618628922e-08,3.8567192792775833,0.19630836870898283,27571.001870220345,18671.9159522308,1.2291623628997575e-08,3.8582347910662484,0.21933342917749904,27616.45993759011,18749.59985305927,1.2282009251519029e-08,3.8556895782953764,0.21886046093249567,27520.81959664254,18371.879275126226,1.219049490179131e-08,3.8584948409784556,0.2201162150766048,28373.99146325348,22825.737458275093,1.353548035677997e-08,3.857160065326523,0.19630836870898283,27586.777034505485,18571.464769835176,1.2225143392887464e-08,3.855644553537858,0.21933342917749904
CC-discharge,3,2577098.352849999,86.74698795180723,7.708336033270475,-53.2,-13.594291136267652,-13.654144879812455,-12.335713676287174,-13.615850307632714,27681.911162397195,18745.317790878344,1.2339874750820445e-08,3.855430701804574,0.3281030262896118,27624.847560684564,18151.975279934337,1.2110286895628166e-08,3.8525981219012295,0.32987038416139647,28453.075484649053,22748.204858099973,1.3526177618628649e-08,3.8539461036872336,0.2951918411687428,27654.886572439704,18583.06380876806,1.2291623629004158e-08,3.8554751942198524,0.32876245922362235,27700.68047779952,18658.569065584932,1.2282009251518944e-08,3.852905331465901,0.3281030262896118,27605.03378377104,18282.75666637201,1.2190494901794932e-08,3.855737911369246,0.32987038416139647,28450.360849447414,22745.26450123174,1.3535480356781602e-08,3.8543899295832427,0.2951918411687428,27671.399564190902,18480.1572127749,1.2225143392899304e-08,3.852860839050622,0.32876245922362235
CC-discharge,4,2577127.2685126495,115.66265060240964,7.70292007150192,-53.2,-13.582204402885008,-13.634963894651506,-12.38213298193087,-13.600698720532614,27764.023893744066,18656.58479402193,1.2339874750820445e-08,3.852735002741872,0.43724557865568675,27708.618390233016,18060.14208912977,1.2110286895628173e-08,3.8498757835464015,0.4394651985166734,28528.701369719245,22666.946663941446,1.3526177618628688e-08,3.851236610719373,0.3944603016435141,27737.459152952964,18494.364410508388,1.2291623629004156e-08,3.85277898401014,0.4380658689752903,27783.60248802549,18567.674454147727,1.2282009251518944e-08,3.850185068760047,0.43724557865568675,27687.906126999485,18193.813230579086,1.2190494901794925e-08,3.853044287955517,0.4394651985166734,28525.910004599187,22664.538186614045,1.3535480356781599e-08,3.8516834607825454,0.3944603016435141,27754.698431097568,18389.00662200542,1.2225143392899405e-08,3.850141087491779,0.4380658689752903
CC-discharge,5,2577156.1841753,144.57831325301206,7.69757267052161,-53.2,-13.570725173203254,-13.616876711293575,-12.426040100839783,-13.586358014663393,27845.77018679896,18567.9404324664,1.2339874750820436e-08,3.8500733904756226,0.5462934885998163,27791.969410767815,17968.452078480073,1.2110286895628148e-08,3.8471879629402284,0.5489103415124368,28604.370395631282,22585.354317923826,1.3526177618629085e-08,3.848561395814248,0.49409151884339625,27819.64352852591,18405.775214084628,1.2291623629004436e-08,3.850116870807969,0.5472508357833065,27866.154448450947,18476.870637245876,1.2282009251518926e-08,3.8474992800459873,0.5462934885998163,27770.363163886534,18105.008469428343,1.2190494901794966e-08,3.8503847075813833,0.5489103415124368,28601.502256821594,22583.479907344667,1.3535480356781609e-08,3.849011274707364,0.49409151884339625,27837.60567851681,18297.96927847972,1.2225143392900174e-08,3.8474557997136403,0.5472508357833065
CC-discharge,6,2577185.099837951,173.49397590361446,7.692277112705036,-53.2,-13.559750359948781,-13.599692483002203,-12.467869180031268,-13.572687977017752,27927.407644505827,18479.367362623478,1.2339874750820519e-08,3.8474375428849354,0.6552512216646839,27875.172954205602,17876.877064851993,1.2110286895628249e-08,3.8445262576045254,0.6582138322525805,28680.24594522531,22503.48899328691,1.3526177618630803e-08,3.8459120986026023,0.5940670581240028,27901.702785682326,18317.274633053505,1.2291623629004178e-08,3.84748052964549,0.6563233096454797,27948.596500879663,18386.139848786188,1.2282009251518969e-08,3.8448395698201008,0.6552512216646839,27852.67430544672,18016.315086637802,1.2190494901794293e-08,3.8477508551005104,0.6582138322525805,28677.3008231877,22502.150436250686,1.3535480356781597e-08,3.8463650141024326,0.5940670581240028,27920.38670701094,18207.02299921823,1.2225143392894818e-08,3.8447965830595443,0.6563233096454797
CC-discharge,7,2577214.0155006014,202.40963855421688,7.687029678245292,-53.2,-13.549252776599598,-13.583352532896747,-12.5077462254054,-13.559648465098254,28008.970265530792,18390.86249381008,1.23398747508206e-08,3.8448256106475074,0.7641227202050389,27958.26592412653,17785.411400837234,1.2110286895628292e-08,3.841888794479246,0.7673826877381185,28756.344682457817,22421.36348324411,1.3526177618630525e-08,3.8432868591699894,0.6943707344510578,27983.67203039435,18228.858586975904,1.2291623629004353e-08,3.844868110493168,0.7652885162403231,28030.96297905851,18295.478922793496,1.2282009251518938e-08,3.8422040675977844,0.7641227202050389,27934.87605944925,17927.72761250959,1.2190494901794384e-08,3.8451408837660463,0.7673826877381185,28753.32235074655,22420.562482808036,1.353548035678141e-08,3.8437428190753034,0.6943707344510578,28003.07693133543,18116.163591019238,1.2225143392896503e-08,3.842161567752125,0.7652885162403231
CC-discharge,8,2577242.931163252,231.32530120481928,7.681828078483774,-53.2,-13.53920949742367,-13.567807170085544,-12.545777763103846,-13.547205569386938,28090.470027536707,18302.422879018304,1.2339874750820618e-08,3.8422364569293985,0.8729117253215982,28041.26253716961,17694.049779151017,1.2110286895628211e-08,3.839274419661432,0.8764234897581276,28832.664202492026,22338.98981634143,1.3526177618631214e-08,3.840684533406183,0.7949872966539061,28065.564134151253,18140.523214918627,1.2291623629005001e-08,3.8422784760831243,0.8741513838486974,28113.26597869835,18204.884840468545,1.2282009251518877e-08,3.8395916215543746,0.8729117253215982,28016.982490052134,17839.24090676375,1.219049490179492e-08,3.8425536588223412,0.8764234897581276,28829.564437101064,22338.727996827485,1.3535480356780846e-08,3.8411435450775904,0.7949872966539061,28085.689336193474,18025.38708625315,1.2225143392892988e-08,3.8395496024006492,0.8741513838486974
CC-discharge,9,2577271.8468259024,260.2409638554217,7.676670521402491,-53.2,-13.529599525238714,-13.553011469140973,-12.58206053086369,-13.535328474756628,28171.91225117058,18214.045704834345,1.233987475082059e-08,3.839669191929989,0.9816218017178326,28124.170066157938,17602.787189461367,1.2110286895628174e-08,3.8366822291112395,0.985342440116467,28909.196754016833,22256.37939142794,1.3526177618632205e-08,3.838104225595468,0.8959023098826914,28147.385212212677,18052.26485253422,1.2291623629005188e-08,3.839710736280874,0.9829165808131294,28195.510872884326,18114.354719859395,1.228200925151879e-08,3.837001329472501,0.9816218017178326,28099.00079207378,17750.85011673166,1.2190494901795431e-08,3.839988292291251,0.985342440116467,28906.01933880449,22256.65830254801,1.3535480356780542e-08,3.8385662958070217,0.8959023098826914,28168.23009063341,17934.68971930916,1.2225143392890993e-08,3.8369597851216164,0.9829165808131294
