Cycle,Protocol,Stamps,Time,Global Time,Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Anode Side Current","Cell 1,1 Anode Intercalation Current"
1,CC-discharge,0,0.0,0.0,3.865701465686571,-27.263836618115,-27.263836618115,25777.499999999996,22610.7,5e-09,3.865701465686571,6.874461698753347e-22,0.40105673165806116
1,CC-discharge,1,72.72727272727273,72.72727272727273,3.840374403880348,-27.263836618115,-27.263836618115,26346.408496422802,22074.1423723076,5e-09,3.840374403880348,1.105712069506301e-45,0.4010567316580612
1,CC-discharge,2,145.45454545454547,145.45454545454547,3.8234458678973815,-27.263836618115,-27.263836618115,26765.99848270007,21620.662604161767,5e-09,3.8234458678973815,3.536271776792663e-41,0.40105673165806116
1,CC-discharge,3,218.1818181818182,218.1818181818182,3.807763087548359,-27.263836618115,-27.263836618115,27183.724759544035,21167.207264063854,5e-09,3.807763087548359,-8.035421441142247e-39,0.40105673165806116
1,CC-discharge,4,290.90909090909093,290.90909090909093,3.7930155535145507,-27.263836618115,-27.263836618115,27601.422253730918,20713.751873270914,5e-09,3.7930155535145507,-1.0049126793294998e-39,0.40105673165806116
1,CC-discharge,5,363.6363636363637,363.6363636363637,3.7790130224398095,-27.263836618115,-27.263836618115,28019.117528389994,20260.296481732385,5e-09,3.7790130224398095,4.184027509485088e-39,0.40105673165806116
1,CC-discharge,6,436.3636363636364,436.3636363636364,3.765624123096737,-27.263836618115,-27.263836618115,28436.812631202065,19806.84109018346,5e-09,3.765624123096737,-1.1118943025097873e-38,0.40105673165806116
1,CC-discharge,7,509.0909090909091,509.0909090909091,3.752757101981653,-27.263836618115,-27.263836618115,28854.507720648493,19353.385698633774,5e-09,3.752757101981653,3.060640278732557e-41,0.40105673165806116
1,CC-discharge,8,581.8181818181819,581.8181818181819,3.74032938283637,-27.263836618115,-27.263836618115,29272.202809049963,18899.930307084654,5e-09,3.74032938283637,-9.478867642712718e-41,0.40105673165806116
1,CC-discharge,9,654.5454545454546,654.5454545454546,3.728291652301401,-27.263836618115,-27.263836618115,29689.897897370207,18446.47491553501,5e-09,3.728291652301401,-1.12771044033991e-40,0.40105673165806116
1,CC-discharge,10,727.2727272727274,727.2727272727274,3.716602266057007,-27.263836618115,-27.263836618115,30107.592985683033,17993.019523985775,5e-09,3.716602266057007,5.403417165724242e-41,0.40105673165806116
1,CC-discharge,11,800.0000000000001,800.0000000000001,3.7052291977841474,-27.263836618115,-27.263836618115,30525.28807399609,17539.56413243678,5e-09,3.7052291977841474,-1.888139850803599e-41,0.40105673165806116
1,CC-discharge,12,872.7272727272727,872.7272727272727,3.69414759198772,-27.263836618115,-27.263836618115,30942.983162308836,17086.108740888,5e-09,3.69414759198772,-2.9746190028318846e-41,0.40105673165806116
1,CC-discharge,13,945.4545454545455,945.4545454545455,3.683337948560047,-27.263836618115,-27.263836618115,31360.678250622062,16632.653349339216,5e-09,3.683337948560047,-4.9030633024254885e-42,0.40105673165806116
1,CC-discharge,14,1018.1818181818182,1018.1818181818182,3.6727847460288965,-27.263836618115,-27.263836618115,31778.373338935013,16179.197957789722,5e-09,3.6727847460288965,-5.568934215504014e-39,0.40105673165806116
1,CC-discharge,15,1090.909090909091,1090.909090909091,3.6624753717663143,-27.263836618115,-27.263836618115,32196.068427248334,15725.742566240971,5e-09,3.6624753717663143,2.0045139131457448e-41,0.40105673165806116
1,CC-discharge,16,1163.6363636363637,1163.6363636363637,3.6523992657854345,-27.263836618115,-27.263836618115,32613.76351556092,15272.287174691235,5e-09,3.6523992657854345,-1.9338571570435446e-39,0.40105673165806116
1,CC-discharge,17,1236.3636363636365,1236.3636363636365,3.642547211134935,-27.263836618115,-27.263836618115,33031.45860387325,14818.831783142641,5e-09,3.642547211134935,-3.687799855581711e-40,0.40105673165806116
1,CC-discharge,18,1309.0909090909092,1309.0909090909092,3.6329107200470987,-27.263836618115,-27.263836618115,33449.15369218654,14365.376391593094,5e-09,3.6329107200470987,1.0497794766427845e-38,0.40105673165806116
1,CC-discharge,19,1381.818181818182,1381.818181818182,3.6234814758222003,-27.263836618115,-27.263836618115,33866.84878049933,13911.921000044034,5e-09,3.6234814758222003,-4.987600468064131e-39,0.40105673165806116
1,CC-discharge,20,1454.5454545454547,1454.5454545454547,3.6142507969498245,-27.263836618115,-27.263836618115,34284.54386881219,13458.46560849451,5e-09,3.6142507969498245,1.889945637221009e-39,0.40105673165806116
1,CC-discharge,21,1527.2727272727275,1527.2727272727275,3.6052090934815126,-27.263836618115,-27.263836618115,34702.238957124864,13005.010216945278,5e-09,3.6052090934815126,3.4875573427011483e-38,0.40105673165806116
1,CC-discharge,22,1600.0000000000002,1600.0000000000002,3.5963452878920465,-27.263836618115,-27.263836618115,35119.934045437614,12551.554825396002,5e-09,3.5963452878920465,2.353011565151148e-44,0.40105673165806116
1,CC-discharge,23,1672.727272727273,1672.727272727273,3.587646164813579,-27.263836618115,-27.263836618115,35537.629133750306,12098.099433846768,5e-09,3.587646164813579,2.3295169329499874e-42,0.40105673165806116
1,CC-discharge,24,1745.4545454545455,1745.4545454545455,3.5790951414610115,-27.263836618115,-27.263836618115,35955.324222063515,11644.64404229721,5e-09,3.5790951414610115,-7.796202182773754e-40,0.40105673165806116
1,CC-discharge,25,1818.1818181818182,1818.1818181818182,3.570673604452301,-27.263836618115,-27.263836618115,36373.019310376,11191.18865074806,5e-09,3.570673604452301,1.6059397980976158e-39,0.40105673165806116
1,CC-discharge,26,1890.909090909091,1890.909090909091,3.562356042199293,-27.263836618115,-27.263836618115,36790.714398688986,10737.733259198847,5e-09,3.562356042199293,-1.2478932628797538e-38,0.40105673165806116
1,CC-discharge,27,1963.6363636363637,1963.6363636363637,3.554111688287984,-27.263836618115,-27.263836618115,37208.4094870017,10284.277867649678,5e-09,3.554111688287984,6.678329011493032e-40,0.40105673165806116
1,CC-discharge,28,2036.3636363636365,2036.3636363636365,3.5459021427024346,-27.263836618115,-27.263836618115,37626.10457531508,9830.822476100304,5e-09,3.5459021427024346,-2.3420491269063307e-41,0.40105673165806116
1,CC-discharge,29,2109.0909090909095,2109.0909090909095,3.5376794173126678,-27.263836618115,-27.263836618115,38043.799663627215,9377.367084551115,5e-09,3.5376794173126678,-1.3266816192177898e-43,0.40105673165806116
1,CC-discharge,30,2181.818181818182,2181.818181818182,3.529383491761441,-27.263836618115,-27.263836618115,38461.49475194025,8923.911693001999,5e-09,3.529383491761441,7.973176614018802e-43,0.40105673165806116
1,CC-discharge,31,2254.545454545455,2254.545454545455,3.520939416990236,-27.263836618115,-27.263836618115,38879.189840253355,8470.456301452881,5e-09,3.520939416990236,-9.395862610617599e-43,0.40105673165806116
1,CC-discharge,32,2327.2727272727275,2327.2727272727275,3.5122542975071376,-27.263836618115,-27.263836618115,39296.88492856599,8017.000909903714,5e-09,3.5122542975071376,3.4942123772494897e-40,0.40105673165806116
1,CC-discharge,33,2400.0,2400.0,3.503210040607518,-27.263836618115,-27.263836618115,39714.580016878615,7563.545518354535,5e-09,3.503210040607518,-4.15815473602497e-39,0.40105673165806116
1,CC-discharge,34,2472.727272727273,2472.727272727273,3.4936629751712696,-27.263836618115,-27.263836618115,40132.275105191584,7110.0901268054495,5e-09,3.4936629751712696,1.2029372300029206e-40,0.40105673165806116
1,CC-discharge,35,2545.4545454545455,2545.4545454545455,3.48343299238978,-27.263836618115,-27.263836618115,40549.970193504465,6656.634735256227,5e-09,3.48343299238978,1.036891993107769e-40,0.40105673165806116
1,CC-discharge,36,2618.1818181818185,2618.1818181818185,3.472296698040953,-27.263836618115,-27.263836618115,40967.66528181685,6203.179343707084,5e-09,3.472296698040953,-1.5990659513536898e-45,0.40105673165806116
1,CC-discharge,37,2690.909090909091,2690.909090909091,3.4599781493766772,-27.263836618115,-27.263836618115,41385.36037013005,5749.723952157891,5e-09,3.4599781493766772,7.045984418161113e-39,0.40105673165806116
1,CC-discharge,38,2763.636363636364,2763.636363636364,3.446136415610442,-27.263836618115,-27.263836618115,41803.05545844216,5296.268560608812,5e-09,3.446136415610442,5.463657869352807e-44,0.40105673165806116
1,CC-discharge,39,2836.3636363636365,2836.3636363636365,3.430353765574898,-27.263836618115,-27.263836618115,42220.75054675434,4842.813169059701,5e-09,3.430353765574898,4.291395574511185e-43,0.40105673165806116
