Cycle,Protocol,Stamps,Time,Global Time,Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area"
1,CC-discharge,0,0.0,0.0,3.866102522392951,-27.263836618115,-27.263836618115,25777.5,22610.7,0.0,3.866102522392951,0.0
1,CC-discharge,1,72.72727272727273,72.72727272727273,3.8407754606120097,-27.263836618115,-27.263836618115,26342.61986802944,22076.199903804492,-2.3252843608779749e-26,3.8407754606120097,0.5507845781437374
1,CC-discharge,2,145.45454545454547,145.45454545454547,3.823846924629046,-27.263836618115,-27.263836618115,26762.207934197577,21622.720158053762,-4.071094070504184e-26,3.823846924629046,1.1015691562874748
1,CC-discharge,3,218.1818181818182,218.1818181818182,3.8081641442800485,-27.263836618115,-27.263836618115,27179.934179273252,21169.264817904153,-3.917084956334526e-26,3.8081641442800485,1.652353734431212
1,CC-discharge,4,290.90909090909093,290.90909090909093,3.7934166102462332,-27.263836618115,-27.263836618115,27597.631671009603,20715.809427109867,-4.3670377220751643e-26,3.7934166102462332,2.2031383125749495
1,CC-discharge,5,363.6363636363637,363.6363636363637,3.7794140791714783,-27.263836618115,-27.263836618115,28015.326945479213,20262.354035571407,-4.3139580644847104e-26,3.7794140791714783,2.753922890718687
1,CC-discharge,6,436.3636363636364,436.3636363636364,3.766025179828411,-27.263836618115,-27.263836618115,28433.022048276118,19808.898644022174,-4.238033747280764e-26,3.766025179828411,3.304707468862424
1,CC-discharge,7,509.0909090909091,509.0909090909091,3.7531581587133243,-27.263836618115,-27.263836618115,28850.717137721625,19355.443252472538,-4.336580404682838e-26,3.7531581587133243,3.8554920470061615
1,CC-discharge,8,581.8181818181819,581.8181818181819,3.7407304395680314,-27.263836618115,-27.263836618115,29268.41222612325,18901.987860923262,-4.312349726951727e-26,3.7407304395680314,4.406276625149899
1,CC-discharge,9,654.5454545454546,654.5454545454546,3.7286927090330795,-27.263836618115,-27.263836618115,29686.10731444291,18448.532469373786,-4.2129695422301505e-26,3.7286927090330795,4.9570612032936365
1,CC-discharge,10,727.2727272727274,727.2727272727274,3.717003322788676,-27.263836618115,-27.263836618115,30103.80240275616,17995.07707782488,-4.1648380829986504e-26,3.717003322788676,5.507845781437374
1,CC-discharge,11,800.0000000000001,800.0000000000001,3.705630254515811,-27.263836618115,-27.263836618115,30521.497491069425,17541.621686275368,-4.212083853853455e-26,3.705630254515811,6.0586303595811115
1,CC-discharge,12,872.7272727272727,872.7272727272727,3.6945486487193815,-27.263836618115,-27.263836618115,30939.192579382147,17088.166294726525,-4.2158982139136316e-26,3.6945486487193815,6.609414937724848
1,CC-discharge,13,945.4545454545455,945.4545454545455,3.683739005291704,-27.263836618115,-27.263836618115,31356.887667695588,16634.71090317737,-4.204050459787289e-26,3.683739005291704,7.160199515868586
1,CC-discharge,14,1018.1818181818182,1018.1818181818182,3.6731858027605457,-27.263836618115,-27.263836618115,31774.582756008786,16181.255511627753,-4.2416248246868333e-26,3.6731858027605457,7.710984094012323
1,CC-discharge,15,1090.909090909091,1090.909090909091,3.6628764284979862,-27.263836618115,-27.263836618115,32192.277844321045,15727.80012007843,-4.333338655685108e-26,3.6628764284979862,8.26176867215606
1,CC-discharge,16,1163.6363636363637,1163.6363636363637,3.6528003225170904,-27.263836618115,-27.263836618115,32609.972932634268,15274.344728528971,-4.3577606225080095e-26,3.6528003225170904,8.812553250299798
1,CC-discharge,17,1236.3636363636365,1236.3636363636365,3.6429482678665908,-27.263836618115,-27.263836618115,33027.66802094663,14820.889336980117,-4.417322391597233e-26,3.6429482678665908,9.363337828443536
1,CC-discharge,18,1309.0909090909092,1309.0909090909092,3.6333117767787635,-27.263836618115,-27.263836618115,33445.363109259626,14367.433945431063,-4.5752509127752926e-26,3.6333117767787635,9.914122406587273
1,CC-discharge,19,1381.818181818182,1381.818181818182,3.623882532553863,-27.263836618115,-27.263836618115,33863.058197572536,13913.978553882187,-4.536276238356256e-26,3.623882532553863,10.46490698473101
1,CC-discharge,20,1454.5454545454547,1454.5454545454547,3.6146518536814756,-27.263836618115,-27.263836618115,34280.753285886065,13460.52316233311,-4.5321379762682124e-26,3.6146518536814756,11.015691562874748
