Cycle,Protocol,Stamps,Time,Global Time,Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage"
40,CV-charge,22,1600.0000000000002,380774.5700241213,4.0,9.98931293090132,9.98931293090132,37858.50620137395,9110.625106537043,6.192265489820462e-09,4.0
40,CV-charge,23,1672.727272727273,380847.2972968486,4.0,9.766065591550571,9.766065591550571,37708.48204154219,9274.15026542015,6.192673403533019e-09,4.0
40,CV-charge,24,1745.4545454545455,380920.02456957585,4.000000000000001,9.550410166732432,9.550410166732432,37561.780120418836,9434.04593473528,6.19307450497714e-09,4.000000000000001
40,CV-charge,25,1818.1818181818182,380992.75184230314,4.000000000000001,9.341784161651603,9.341784161651603,37418.291657287,9590.431946974724,6.1934689286252164e-09,4.000000000000001
40,CV-charge,26,1890.909090909091,381065.47911503044,4.000000000000001,9.13970707349355,9.13970707349355,37277.91545807938,9743.419640390484,6.193856816314913e-09,4.000000000000001
40,CV-charge,27,1963.6363636363637,381138.2063877577,4.0,8.943766019202188,8.943766019202188,37140.55713397445,9893.112753722737,6.194238314410018e-09,4.0
40,CV-charge,28,2036.3636363636365,381210.93366048497,4.0,8.753602802314497,8.753602802314497,37006.12757176468,10039.609127881055,6.194613573387763e-09,4.0
40,CV-charge,29,2109.0909090909095,381283.6609332122,4.0,8.568904491749489,8.568904491749489,36874.54263042997,10183.00106424838,6.1949827454688035e-09,4.0
40,CV-charge,30,2181.818181818182,381356.3882059395,4.000000000000001,8.389399385412236,8.389399385412236,36745.725273351534,10323.373022841999,6.195345977565721e-09,4.000000000000001
40,CV-charge,31,2254.545454545455,381429.1154786668,4.0,8.214836969908498,8.214836969908498,36619.595372291704,10460.81275584614,6.195703431137089e-09,4.0
40,CV-charge,32,2327.2727272727275,381501.842751394,4.0,8.044997942532039,8.044997942532039,36496.08009949813,10595.399989480864,6.1960552582124674e-09,4.0
40,CV-charge,33,2400.0,381574.5700241213,3.9999999999999996,7.879546808596961,7.879546808596961,36375.00861819391,10727.321210426373,6.196401826219046e-09,3.9999999999999996
40,CV-charge,34,2472.727272727273,381647.2972968486,4.0,7.718441686215986,7.718441686215986,36256.41452891332,10856.540035630205,6.196743067078223e-09,4.0
40,CV-charge,35,2545.4545454545455,381720.02456957585,3.9999999999999996,7.5616630744575355,7.5616630744575355,36140.34129792868,10983.009349740647,6.197078894975654e-09,3.9999999999999996
40,CV-charge,36,2618.1818181818185,381792.75184230314,3.999999999999999,7.4087647191058705,7.4087647191058705,36026.50906106042,11107.034356557093,6.197409919270005e-09,3.999999999999999
40,CV-charge,37,2690.909090909091,381865.47911503044,4.0,7.259907512163212,7.259907512163212,35915.0831495268,11228.43502403786,6.1977357975447655e-09,4.0
40,CV-charge,38,2763.636363636364,381938.2063877577,4.0,7.114806687670711,7.114806687670711,35805.892316251724,11347.398165170365,6.198056908679292e-09,4.0
40,CV-charge,39,2836.3636363636365,382010.93366048497,4.000000000000001,6.973175777760221,6.973175777760221,35698.75750310263,11464.119022593311,6.198373646659066e-09,4.000000000000001
40,CV-charge,40,2909.0909090909095,382083.6609332122,4.0,6.8350596144041695,6.8350596144041695,35593.7461538031,11578.52420078826,6.198685881797161e-09,4.0
40,CV-charge,41,2981.818181818182,382156.3882059395,4.000000000000001,6.700512076494605,6.700512076494605,35490.9322084186,11690.533276400682,6.198993473351158e-09,4.000000000000001
40,CV-charge,42,3054.545454545455,382229.1154786668,4.0,6.569093845255635,6.569093845255635,35390.00986558166,11800.479597746698,6.199297081082882e-09,4.0
40,CV-charge,43,3127.2727272727275,382301.842751394,3.999999999999999,6.44104259430553,6.44104259430553,35291.189912355716,11908.133538356935,6.1995962771021886e-09,3.999999999999999
40,CV-charge,44,3200.0000000000005,382374.5700241213,4.0,6.315918561043585,6.315918561043585,35194.159674877934,12013.835936421614,6.199891731118776e-09,4.0
40,CV-charge,45,3272.727272727273,382447.2972968486,3.9999999999999996,6.193802925152552,6.193802925152552,35099.00665290232,12117.491488831736,6.200183274349352e-09,3.9999999999999996
40,CV-charge,46,3345.454545454546,382520.02456957585,4.0,6.074606682222767,6.074606682222767,35005.68595573979,12219.149219691923,6.200471014813396e-09,4.0
40,CV-charge,47,3418.1818181818185,382592.75184230314,3.9999999999999996,5.958244086998072,5.958244086998072,34914.15398197678,12318.856716616247,6.200755057172359e-09,3.9999999999999996
40,CV-charge,48,3490.909090909091,382665.47911503044,4.0,5.8446324523930215,5.8446324523930215,34824.36840478546,12416.660175073768,6.2010355028022655e-09,4.0
40,CV-charge,49,3563.636363636364,382738.2063877577,3.999999999999999,5.733691949154463,5.733691949154463,34736.28812674041,12512.604447323083,6.201312449872312e-09,3.999999999999999
40,CV-charge,50,3636.3636363636365,382810.93366048497,3.9999999999999996,5.625345436623598,5.625345436623598,34649.8732383248,12606.733087998942,6.201585993427585e-09,3.9999999999999996
40,CV-charge,51,3709.0909090909095,382883.6609332122,4.000000000000001,5.519518317676498,5.519518317676498,34565.08497867158,12699.0883971774,6.201856225474637e-09,4.000000000000001
40,CV-charge,52,3781.818181818182,382956.3882059395,4.000000000000001,5.416138413300135,5.416138413300135,34481.88569826213,12789.711461254665,6.202123235068874e-09,4.000000000000001
40,CV-charge,53,3854.545454545455,383029.1154786668,4.0,5.315135853074246,5.315135853074246,34400.23882333399,12878.642191922447,6.202387108402903e-09,4.0
