Cycle,Protocol,Stamps,Time (s),Global Time (s),Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage"
44,CC-charge,53,28909.09090909091,3370692.991937566,8.143629345447806,2.7263836618115,2.7263836618115,29480.388838388866,18432.47685737678,8.9954843152252e-09,4.0718146724214686,29480.38881408194,18432.476856731475,8.995484283018241e-09,4.071814673026337
44,CC-charge,54,29454.545454545456,3371238.4464830207,8.162428721071791,2.7263836618115,2.7263836618115,29167.117522153287,18772.5127217277,8.997262292221454e-09,4.081214360224677,29167.117497846586,18772.512721082476,8.997262259975963e-09,4.081214360847113
44,CC-charge,55,30000.000000000004,3371783.9010284753,8.181800982636013,2.7263836618115,2.7263836618115,28853.84620591809,19112.54695391157,8.999092350275615e-09,4.090900490997126,28853.846181611367,19112.546953265773,8.999092318026386e-09,4.090900491638887
44,CC-charge,56,30545.454545454548,3372329.35557393,8.201797097687464,2.7263836618115,2.7263836618115,28540.574889682033,19452.579450640365,9.000977785013235e-09,4.1008985485121325,28540.57486537654,19452.579449995046,9.000977752759742e-09,4.100898549175333
44,CC-charge,57,31090.909090909092,3372874.8101193844,8.222479693979762,2.7263836618115,2.7263836618115,28227.303573447363,19792.610101599617,9.002922116093983e-09,4.111239846646229,28227.303549142518,19792.61010095494,9.002922083804055e-09,4.111239847333533
44,CC-charge,58,31636.36363636364,3373420.264664839,8.243926154987403,2.7263836618115,2.7263836618115,27914.032257212522,20132.638788722164,9.004929110347595e-09,4.121963077136343,27914.03223290744,20132.638788078337,9.004929078070068e-09,4.12196307785106
44,CC-charge,59,32181.818181818184,3373965.7192102936,8.266232720253152,2.7263836618115,2.7263836618115,27600.760940977925,20472.66538535368,9.007002808198925e-09,4.133116359753455,27600.760916672058,20472.665384710846,9.007002775950389e-09,4.133116360499697
44,CC-charge,60,32727.272727272728,3374511.173755748,8.289519993524163,2.7263836618115,2.7263836618115,27287.489624743146,20812.68975531184,9.009147554092072e-09,4.144759996370638,27287.489600437602,20812.689754669354,9.009147521879598e-09,4.144759997153526
44,CC-charge,61,33272.72727272727,3375056.6283012023,8.31394045650956,2.7263836618115,2.7263836618115,26974.218308507665,21152.711751800976,9.011368030607711e-09,4.156970227841742,26974.218284202994,21152.711751158986,9.011367998418744e-09,4.156970228667817
44,CC-charge,62,33818.18181818182,3375602.082846657,8.33968889382895,2.7263836618115,2.7263836618115,26660.946992271933,21492.731216162814,9.013669298550792e-09,4.169844446475623,26660.946967967586,21492.73121552109,9.013669266375197e-09,4.169844447353327
44,CC-charge,63,34363.63636363637,3376147.5373921115,8.367025277031587,2.7263836618115,2.7263836618115,26347.675676037306,21832.747966787236,9.016057150207798e-09,4.183512638045585,26347.67565173253,21832.7479661467,9.016057118032178e-09,4.183512638986002
44,CC-charge,64,34909.09090909091,3376692.991937566,8.396265992018325,2.7263836618115,2.7263836618115,26034.404359802716,22172.76182514042,9.018537280094402e-09,4.1981329955003375,26034.404335497104,22172.761824499867,9.018537247918931e-09,4.198132996517987
44,CC-charge,65,34975.706785076014,3376759.607813551,8.39999,2.7263836618115,2.7263836618115,25996.14481402399,22214.28724217168,9.018845646230742e-09,4.199994999485845,25996.144789718473,22214.287241531165,9.018845614055096e-09,4.199995000514155
44,CV-charge,0,0.0,3376759.607813551,8.399999999999999,2.729199140705642,2.729199140705642,25996.14481402399,22214.28724217168,9.018845646230742e-09,4.19999999948603,25996.144789718473,22214.287241531165,9.018845614055096e-09,4.2000000005139695
44,CV-charge,1,545.4545454545455,3377305.0623590057,8.400000000000002,2.1024944900062725,2.1024944900062725,25710.762425997116,22518.086842355668,9.021234014282945e-09,4.199999999440965,25710.762401692304,22518.08684171552,9.021233982022118e-09,4.2000000005590366
44,CV-charge,2,1090.909090909091,3377850.5169044603,8.399999999999999,1.6389519604876353,1.6389519604876353,25499.34341667296,22748.847479014137,9.023406258021687e-09,4.199999999400669,25499.343392367944,22748.84747837466,9.023406225775715e-09,4.2000000005993305
44,CV-charge,3,1636.3636363636365,3378395.971449915,8.4,1.2742374104507577,1.2742374104507577,25334.67568742025,22928.580195051363,9.025410741884307e-09,4.199999999364075,25334.675663115806,22928.58019441256,9.025410709641023e-09,4.200000000635925
44,CV-charge,4,2181.818181818182,3378941.4259953694,8.4,0.986719956482072,0.986719956482072,25206.913291172972,23068.034081032154,9.027284359940133e-09,4.199999999331875,25206.913266868985,23068.034080393212,9.027284327731061e-09,4.200000000668125
44,CV-charge,5,2727.2727272727275,3379486.880540824,8.400000000000002,0.7605396539131026,0.7605396539131026,25108.215065409637,23175.765550325454,9.029056568506007e-09,4.199999999304355,25108.21504110585,23175.76554968661,9.029056536269862e-09,4.200000000695646
44,CV-charge,6,3272.727272727273,3380032.335086278,8.399999999999999,0.5834732011573209,0.5834732011573209,25032.327057904808,23258.59776907955,9.03075057881629e-09,4.199999999281413,25032.32703360084,23258.597768440042,9.030750546585101e-09,4.200000000718586
