#,protocol,Time,Clock,Pack Voltage,Pack Current,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Voltage","Cell 1,1 Anode SEI Length","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Voltage","Cell 1,2 Anode SEI Length","Cell 1,2 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Voltage","Cell 2,1 Anode SEI Length","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Voltage","Cell 2,2 Anode SEI Length","Cell 2,2 Capacity by Area"
1,CC_Discharge,0.0,0.0,7.731402934336724,-54.52767323623,25777.5,22610.7,3.865701467168362,5e-09,0.0,25777.5,22610.7,3.865701467168362,5e-09,0.0,25777.5,22610.7,3.865701467168362,5e-09,0.0,25777.5,22610.7,3.865701467168362,5e-09,0.0
1,CC_Discharge,40.4040404040404,40.4040404040404,7.69735081661399,-54.52767323623,26140.306503499884,22283.11223690177,3.8486754083069945,5e-09,0.3059914323020774,26140.30650349985,22283.11223690173,3.8486754083069905,5e-09,0.3059914323020752,26140.30650349987,22283.112236901805,3.8486754083069954,5e-09,0.3059914323020774,26140.306503499844,22283.11223690173,3.8486754083069967,4.9999999999996486e-09,0.3059914323020752
1,CC_Discharge,80.8080808080808,80.8080808080808,7.676822986602586,-54.52767323623,26381.044495305956,22030.50802973115,3.8384114933012894,5e-09,0.6119828646041535,26381.044495306014,22030.508029731154,3.8384114933012903,5e-09,0.6119828646041517,26381.044495305952,22030.50802973112,3.8384114933012965,5e-09,0.6119828646041535,26381.044495305916,22030.50802973109,3.8384114933012947,4.999999999996785e-09,0.6119828646041517
1,CC_Discharge,121.2121212121212,121.2121212121212,7.657852924300842,-54.52767323623,26614.197797627578,21778.581248478356,3.8289264621504238,5e-09,0.9179742969062283,26614.197797627636,21778.581248478447,3.828926462150419,5e-09,0.9179742969062294,26614.197797627603,21778.581248478386,3.828926462150418,5e-09,0.9179742969062283,26614.19779762756,21778.581248478313,3.828926462150422,4.999999999996914e-09,0.9179742969062294
1,CC_Discharge,161.6161616161616,161.6161616161616,7.639751035731365,-54.52767323623,26846.359268167496,21526.661711763525,3.8198755178656816,5e-09,1.223965729208306,26846.359268167533,21526.66171176361,3.8198755178656816,5e-09,1.2239657292083046,26846.359268167456,21526.661711763536,3.8198755178656834,5e-09,1.223965729208306,26846.359268167493,21526.66171176343,3.8198755178656842,4.9999999999967435e-09,1.2239657292083046
1,CC_Discharge,202.02020202020202,202.02020202020202,7.622341033510692,-54.52767323623,27078.43408917496,21274.742058016305,3.8111705167553445,5e-09,1.529957161510385,27078.434089174934,21274.74205801645,3.811170516755346,5e-09,1.5299571615103784,27078.434089174876,21274.74205801641,3.811170516755347,5e-09,1.529957161510385,27078.4340891749,21274.7420580163,3.811170516755347,4.999999999997455e-09,1.5299571615103784
1,CC_Discharge,242.4242424242424,242.4242424242424,7.605531558071897,-54.52767323623,27310.49137427964,21022.822396586034,3.8027657790359446,5e-09,1.8359485938124622,27310.49137427965,21022.822396586198,3.802765779035947,5e-09,1.8359485938124536,27310.49137427957,21022.822396586183,3.802765779035952,5e-09,1.8359485938124622,27310.49137427961,21022.822396586103,3.802765779035949,4.999999999998312e-09,1.8359485938124536
1,CC_Discharge,282.8282828282828,282.8282828282828,7.589250440789062,-54.52767323623,27542.54510589874,20770.902734650037,3.7946252203945288,5e-09,2.1419400261145403,27542.54510589872,20770.90273465028,3.79462522039453,5e-09,2.141940026114528,27542.5451058986,20770.902734650186,3.7946252203945328,5e-09,2.1419400261145403,27542.54510589867,20770.902734650215,3.794625220394532,4.999999999998877e-09,2.141940026114528
1,CC_Discharge,323.2323232323232,323.2323232323232,7.5734382837945695,-54.52767323623,27774.598116587553,20518.983072680756,3.786719141897284,5e-09,2.447931458416619,27774.598116587513,20518.983072680956,3.786719141897287,5e-09,2.447931458416602,27774.59811658751,20518.98307268092,3.786719141897286,5e-09,2.447931458416619,27774.598116587487,20518.983072680847,3.786719141897285,4.999999999999099e-09,2.447931458416602
1,CC_Discharge,363.6363636363636,363.6363636363636,7.558045513829846,-54.52767323623,28006.650980835093,20267.06341070917,3.779022756914923,5e-09,2.753922890718692,28006.650980835002,20267.06341070942,3.779022756914923,5e-09,2.753922890718682,28006.650980835002,20267.063410709365,3.7790227569149235,5e-09,2.753922890718692,28006.650980834947,20267.063410709212,3.7790227569149226,4.999999999999257e-09,2.753922890718682
1,CC_Discharge,404.04040404040404,404.04040404040404,7.543030467287567,-54.52767323623,28238.703815297522,20015.14374873755,3.771515233643781,5e-09,3.059914323020762,28238.70381529736,20015.143748737686,3.771515233643784,5e-09,3.0599143230207644,28238.703815297344,20015.143748737617,3.771515233643786,5e-09,3.059914323020762,28238.70381529731,20015.143748737497,3.7715152336437843,4.999999999998817e-09,3.0599143230207644
