,,Global Time,Time,Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,String 3 Iapp,String 4 Iapp,String 5 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 1,3 Cathode Concentration","Cell 1,3 Anode Concentration","Cell 1,3 Anode SEI Length","Cell 1,3 Voltage","Cell 1,3 Capacity by Area","Cell 1,4 Cathode Concentration","Cell 1,4 Anode Concentration","Cell 1,4 Anode SEI Length","Cell 1,4 Voltage","Cell 1,4 Capacity by Area","Cell 1,5 Cathode Concentration","Cell 1,5 Anode Concentration","Cell 1,5 Anode SEI Length","Cell 1,5 Voltage","Cell 1,5 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area","Cell 2,3 Cathode Concentration","Cell 2,3 Anode Concentration","Cell 2,3 Anode SEI Length","Cell 2,3 Voltage","Cell 2,3 Capacity by Area","Cell 2,4 Cathode Concentration","Cell 2,4 Anode Concentration","Cell 2,4 Anode SEI Length","Cell 2,4 Voltage","Cell 2,4 Capacity by Area","Cell 2,5 Cathode Concentration","Cell 2,5 Anode Concentration","Cell 2,5 Anode SEI Length","Cell 2,5 Voltage","Cell 2,5 Capacity by Area"
CC-discharge,0,105330.63165443936,0.0,7.727823281455626,-66.5,-13.260025664926893,-12.883298989101718,-13.688124409058878,-13.162839967022483,-13.505710969890025,26877.424723452314,21028.228881771865,5.324554110242582e-09,3.890409511511705,0.0,27303.026796144677,21875.871487255812,5.351023993478671e-09,3.881500161860995,0.0,27836.775507970047,19984.607075078802,5.295910964899039e-09,3.853073789617232,0.0,27925.438952842418,21572.915597402323,5.343355843963394e-09,3.859158541920107,0.0,27931.44939439567,20039.3279167939,5.296336478949869e-09,3.8517398867388994,0.0,28582.27738173382,20847.087111731318,5.318937533077969e-09,3.837413769943921,0.0,28456.312899393823,21691.559500660722,5.34474371704078e-09,3.846323119594631,0.0,27088.612133268183,19319.99423337081,5.2778085707052526e-09,3.874749491838394,0.0,27516.42811238884,20588.860275897874,5.312271920273678e-09,3.8686647395355194,0.0,27182.061203801197,20324.207800834865,5.30450521249488e-09,3.8760833947167272,0.0
CC-discharge,1,105359.54731708996,28.91566265060241,7.7179952380753996,-66.5,-13.259222150432702,-12.91910540621021,-13.653806468684623,-13.178650663049439,-13.489215311623028,27022.091966631313,20902.199178643936,5.324554110244082e-09,3.884983854800101,0.10650300327453653,27443.872849090887,21753.17575407648,5.351023993481246e-09,3.8762798538192196,0.1036241140373973,27985.84909827936,19854.734053997232,5.295910964890031e-09,3.8484155128861977,0.10980695131623897,28069.17754955632,21447.697187932834,5.343355843972051e-09,3.8543676067021795,0.10578911899627279,28078.673725938337,19911.068373011087,5.296336478909524e-09,3.8470660551625513,0.10841335856029338,28726.944624912878,20721.057408603465,5.31893753307535e-09,3.833011383275299,0.10650300327453653,28597.1589523401,21568.863767481336,5.344743717074311e-09,3.84171538425618,0.1036241140373973,27237.68572357726,19190.121212289152,5.277808570632868e-09,3.869579725189202,0.10980695131623897,27660.166709102763,20463.641866428476,5.312271920282965e-09,3.8636276313732174,0.10578911899627279,27329.285535344014,20195.948257052016,5.3045052124655395e-09,3.870929182912848,0.10841335856029338
CC-discharge,2,105388.46297974057,57.83132530120482,7.712129769998717,-66.5,-13.258915944223517,-12.93896139027778,-13.63490686145874,-13.187208016803458,-13.480007787236506,27109.61168851526,20813.499088133878,5.324554110243644e-09,3.881762269819739,0.21300154983942093,27529.30953886854,21666.6219954352,5.351023993480827e-09,3.8731730516636116,0.20747177185461813,28075.82417605804,19763.51309490188,5.295910964889138e-09,3.8456262091783966,0.21940017754171431,28156.237014326758,21359.479171818046,5.343355843972574e-09,3.851505008916512,0.21167610164628442,28167.64039118308,19820.886403720677,5.2963364789136645e-09,3.8442685134980534,0.2167234914874401,28814.464346797242,20632.357318093636,5.318937533075401e-09,3.830367500178978,0.21300154983942093,28682.595642117205,21482.310008839548,5.344743717072138e-09,3.8389567183351048,0.20747177185461813,27327.660801356054,19098.90025319388,5.277808570632791e-09,3.86650356082032,0.21940017754171431,27747.22617387361,20375.423850313917,5.312271920283619e-09,3.8606247610822035,0.21167610164628442,27418.25220058834,20105.766287761682,5.304505212461378e-09,3.8678612565006647,0.2167234914874401
CC-discharge,3,105417.37864239117,86.74698795180723,7.70664252272962,-66.5,-13.25872657431214,-12.956661922303908,-13.618122988415426,-13.194721292100981,-13.471767222867536,27191.916287735243,20725.76670401016,5.324554110243679e-09,3.8787576054018658,0.31949810613876095,27609.77935366343,21580.892715998994,5.351023993480787e-09,3.8702714253661896,0.31147025905374137,28160.322594178964,19673.39845326696,5.295910964887567e-09,3.843011589113273,0.3288500966175142,28238.162014750334,21272.172015438755,5.3433558439722e-09,3.848824958649052,0.3176276249752179,28251.249665109433,19731.74221771559,5.2963364789174e-09,3.8416468407540365,0.3249635517689824,28896.768946017404,20544.624933970386,5.31893753307541e-09,3.8278849173277543,0.31949810613876095,28763.065456912624,21396.580729403067,5.344743717074243e-09,3.8363710973634295,0.31147025905374137,27412.159219477042,19008.785611558433,5.277808570629679e-09,3.863630933616346,0.3288500966175142,27829.151174297043,20288.116693934393,5.312271920283118e-09,3.8578175640805674,0.3176276249752179,27501.86147451464,20016.622101756355,5.304505212463166e-09,3.8649956819755835,0.3249635517689824
CC-discharge,4,105446.29430504177,115.66265060240964,7.7012777286874865,-66.5,-13.258621753192276,-12.973212176389072,-13.602476069928601,-13.201653813122032,-13.464036187368025,27273.023730640212,20638.089183710425,5.32455411024353e-09,3.8758273864789303,0.42599348094801565,27689.182383959695,21495.107059247173,5.3510239934806476e-09,3.867438415246403,0.4156062996107413,28243.49498901887,19583.44278919735,5.295910964887882e-09,3.840451102855245,0.43816977155062276,28318.93885754553,21184.87298368836,5.343355843972142e-09,3.846202956523977,0.42363716355041076,28333.595014204366,19642.70413665463,5.296336478918288e-09,3.839080032973872,0.4331394690791654,28977.876388922596,20456.947413670503,5.318937533075452e-09,3.8254503422085557,0.42599348094801565,28842.468487208796,21310.795072650744,5.344743717075426e-09,3.833839313441081,0.4156062996107413,27495.33161431683,18918.829947488684,5.2778085706275654e-09,3.86082662583224,0.43816977155062276,27909.928017092603,20200.817662184192,5.312271920282999e-09,3.855074772163508,0.42363716355041076,27584.20682360962,19927.58402069543,5.304505212463039e-09,3.862197695713614,0.4331394690791654
CC-discharge,5,105475.20996769237,144.57831325301206,7.695977501280925,-66.5,-13.258588951061443,-12.988805193132748,-13.587774904869233,-13.208101688406444,-13.456729262530132,27353.84769989743,20550.413284848222,5.324554110243513e-09,3.872939080371038,0.5324883030534523,27768.417157831256,21409.20272488621,5.351023993480558e-09,3.8646429532399593,0.5198714296088209,28326.27386320457,19493.601678048744,5.2959109648879015e-09,3.8379176205085312,0.5473675666301321,28399.478319406273,21097.525678330185,5.3433558439718315e-09,3.843610886130228,0.5297004386569508,28415.60133040161,19553.72367946641,5.296336478917815e-09,3.8365408414879156,0.5412549929743388,29058.700358180016,20369.271514808763,5.318937533075444e-09,3.823038420909887,0.5324883030534523,28921.703261080584,21224.890738288974,5.3447437170755666e-09,3.8313345480409646,0.5198714296088209,27578.110488503222,18828.988836340166,5.277808570613465e-09,3.858059880772393,0.5473675666301321,27990.46747895356,20113.470356827027,5.312271920282649e-09,3.8523666151506974,0.5297004386569508,27666.213139806696,19838.60356350688,5.3045052124620695e-09,3.8594366597930105,0.5412549929743388
CC-discharge,6,105504.12563034298,173.49397590361446,7.690725694352833,-66.5,-13.258622303319754,-13.003609485299881,-13.573850460363762,-13.214147296980586,-13.449770454036019,27434.628258698016,20462.737095929773,5.324554110243506e-09,3.870083358854257,0.6389831273682361,27847.69663955883,21323.20108107133,5.351023993480494e-09,3.861876294805158,0.624258637152727,28408.925502318172,19403.852020011822,5.295910964888235e-09,3.8354037572950386,0.6564503994222324,28480.009629350137,21010.138682607932,5.343355843971613e-09,3.8410409537994807,0.6358138883974609,28497.521879051546,19464.788946756307,5.296336478917325e-09,3.834021809039057,0.6493132247677771,29139.4809169813,20281.59532589001,5.318937533075446e-09,3.8206423354985755,0.6389831273682361,29000.982742808377,21138.889094474387,5.3447437170759926e-09,3.8288493995476736,0.624258637152727,27660.762127617105,18739.239178303484,5.277808570611324e-09,3.855321937057796,0.6564503994222324,28070.998788897374,20026.083361104444,5.3122719202825634e-09,3.849684740553353,0.6358138883974609,27748.13368845677,19749.668830796727,5.3045052124617436e-09,3.8567038853137756,0.6493132247677771
CC-discharge,7,105533.04129299358,202.40963855421688,7.6855188690085985,-66.5,-13.258715825221723,-13.017677566916895,-13.560648047811332,-13.219821002497843,-13.443137557552209,27515.3965029928,20375.06023643103,5.324554110243495e-09,3.8672579458596146,0.7454784612178004,27927.046415559773,21237.106998674466,5.351023993480523e-09,3.8591364349079225,0.7287617980050033,28491.485822346935,19314.189079164877,5.295910964888058e-09,3.8329081095005204,0.7654242890132971,28560.56114007736,20922.71446796626,5.343355843971825e-09,3.8384915645039315,0.7419744036564104,28579.389860809086,19375.89781136246,5.2963364789188815e-09,3.8315214924564382,0.7573168714006616,29220.249161275435,20193.918466391002,5.318937533075424e-09,3.8182609231489844,0.7454784612178004,29080.332518809195,21052.79501207734,5.344743717075744e-09,3.8263824341006774,0.7287617980050033,27743.322447645733,18649.576237456837,5.2778085706175714e-09,3.8526107595080776,0.7654242890132971,28151.550299624545,19938.65914646303,5.312271920282718e-09,3.847027304504666,0.7419744036564104,27830.001670214548,19660.77769540282,5.304505212462357e-09,3.853997376552162,0.7573168714006616
CC-discharge,8,105561.95695564419,231.32530120481928,7.680354978491537,-66.5,-13.25886409828866,-13.03105395103626,-13.548121298255918,-13.225148825189173,-13.436811827229997,27596.16193502827,20287.382350476957,5.324554110243481e-09,3.8644613600076267,0.8519747661314967,28006.471375948353,21150.92501746522,5.3510239934804805e-09,3.8564221185632053,0.8333751775951765,28573.96823631083,19224.608428224423,5.295910964888121e-09,3.8304299164091558,0.8742948486360571,28641.139963267466,20835.255302990037,5.343355843971813e-09,3.835961797511511,0.8481791017595711,28661.216426175946,19287.04826002516,5.296336478918684e-09,3.82903909675949,0.8652684753556102,29301.01459331104,20106.240580437126,5.3189375330754085e-09,3.8158936184839103,0.8519747661314967,29159.757479197448,20966.613030867426,5.344743717076472e-09,3.8239328599283327,0.8333751775951765,27825.804861609417,18559.99558651602,5.277808570613085e-09,3.8499250620823813,0.8742948486360571,28232.129122814484,19851.19998148721,5.312271920282745e-09,3.8443931809800267,0.8481791017595711,27911.828235581943,19571.928144065194,5.3045052124627056e-09,3.8513158817320474,0.8652684753556102
CC-discharge,9,105590.87261829479,260.2409638554217,7.675232447430631,-66.5,-13.259062140559287,-13.043778808776674,-13.53622853058626,-13.23015419076319,-13.43077632931458,27676.927585969494,20199.703113267027,5.324554110243496e-09,3.861692402928759,0.9584724618698418,28085.970372010906,21064.65941260563,5.351023993480514e-09,3.853732350176699,0.9380933814498469,28656.379281714595,19135.10591007327,5.295910964888352e-09,3.8279686258649503,0.9830673379085156,28721.746947882457,20747.76330070626,5.343355843971679e-09,3.8334509576877553,0.9544252986107854,28743.00607469982,19198.238387913985,5.296336478918901e-09,3.8265740390159113,0.9731704358236607,29381.78024425212,20018.561343227626,5.318937533075401e-09,3.813540044501872,0.9584724618698418,29239.256475260478,20880.347426006992,5.344743717076891e-09,3.82150009725393,0.9380933814498469,27908.21590701285,18470.493068365206,5.277808570610178e-09,3.8472638215656794,0.9830673379085156,28312.736107429366,19763.707979203755,5.312271920282583e-09,3.8417814897428753,0.9544252986107854,27993.61788410626,19483.118271953685,5.304505212462648e-09,3.848658408414718,0.9731704358236607
