,,Global Time,Time,Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,String 3 Iapp,String 4 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 1,3 Cathode Concentration","Cell 1,3 Anode Concentration","Cell 1,3 Anode SEI Length","Cell 1,3 Voltage","Cell 1,3 Capacity by Area","Cell 1,4 Cathode Concentration","Cell 1,4 Anode Concentration","Cell 1,4 Anode SEI Length","Cell 1,4 Voltage","Cell 1,4 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area","Cell 2,3 Cathode Concentration","Cell 2,3 Anode Concentration","Cell 2,3 Anode SEI Length","Cell 2,3 Voltage","Cell 2,3 Capacity by Area","Cell 2,4 Cathode Concentration","Cell 2,4 Anode Concentration","Cell 2,4 Anode SEI Length","Cell 2,4 Voltage","Cell 2,4 Capacity by Area"
CC-discharge,0,4208269.751800724,0.0,8.048357341952936,-10.905534647246,-2.719922460904555,-2.740066138660827,-2.73920126545916,-2.7063447822214584,26869.646487807076,21231.04239362068,9.581863688072415e-09,4.024358440201851,0.0,26855.80061304122,21192.949910173505,9.520866973481207e-09,4.024261163321529,0.0,26867.490194789552,21201.051013435612,9.569778122868678e-09,4.02446499083342,0.0,26887.726622968883,21301.003909279516,9.548569120805004e-09,4.0239984934460375,0.0,26861.731728257982,21201.573478919356,9.525217925356644e-09,4.023998901751084,0.0,26873.70483961722,21226.038594837675,9.584169979949706e-09,4.024096178631408,0.0,26860.747341963997,21166.029345663854,9.50377474557939e-09,4.023892351119516,0.0,26880.290778744707,21297.866268196016,9.542085845897684e-09,4.024358848506899,0.0
CC-discharge,1,4208633.388164361,363.6363636363636,8.0313250328009,-10.905534647246,-2.7177723487786007,-2.737820796570349,-2.739169122679432,-2.7107723792176195,27095.026367496754,20998.714600926134,9.581863688072043e-09,4.015828895295551,0.2746310509940988,27078.52695160903,20954.360347680024,9.520866973481654e-09,4.015785254694135,0.27666095632480686,27091.18024175369,20967.82697919805,9.56977812286659e-09,4.015940367817652,0.2766853731383127,27109.26344175102,21064.07051624194,9.548569120772341e-09,4.015463327255831,0.27359177583025646,27085.47828534086,20963.373962195277,9.525217925356961e-09,4.015496137505348,0.2746310509940988,27100.12935178337,20994.005707264037,9.584169979969623e-09,4.015539778106766,0.27666095632480686,27083.05360669086,20925.975830472755,9.503774745563708e-09,4.015384664983247,0.2766853731383127,27100.343834442137,21060.254785541816,9.542085845933271e-09,4.0158617055450705,0.27359177583025646
CC-discharge,2,4208997.024527997,727.2727272727273,8.015916958762837,-10.905534647246,-2.716170864924868,-2.7361504699522454,-2.7391541910213086,-2.7140591213475784,27305.565759784255,20774.371641994632,9.581863688075499e-09,4.008113893214004,0.549072627443769,27286.58214222015,20723.976698708208,9.520866973483022e-09,4.008115654423882,0.5531241516037257,27300.29006218506,20742.4606799427,9.569778122889877e-09,4.008229777149297,0.5533683687797643,27316.670123815988,20834.783024147375,9.548569120671607e-09,4.007742650353446,0.5475731647476907,27294.491903681926,20733.361083500193,9.525217925364173e-09,4.007803065548834,0.549072627443769,27311.639114572998,20769.953226669735,9.584169979875752e-09,4.007801304338955,0.5531241516037257,27290.869840486805,20694.01014769378,9.503774745584666e-09,4.00768718161354,0.5533683687797643,27306.361391304228,20830.311085955316,9.542085845245977e-09,4.008174308409392,0.5475731647476907
CC-discharge,3,4209360.6608916335,1090.909090909091,8.000961406960283,-10.905534647246,-2.714851688009949,-2.734776710010812,-2.739153073545157,-2.7167531756800827,27515.996973568177,20550.144832165926,9.581863688074503e-09,4.000626126136842,0.8233666957738103,27494.52676607193,20493.71642009257,9.520866973484987e-09,4.000670101739628,0.8294336051372135,27509.399563673847,20517.09482556096,9.569778123133462e-09,4.000746241472783,0.8300505538588787,27524.295233173074,20605.252353764507,9.548569120162706e-09,4.000249093589274,0.8218566140925221,27503.398127485798,20503.467289397555,9.525217925361989e-09,4.000335280823441,0.8233666957738103,27523.036474740224,20546.02072609273,9.584169979970518e-09,4.000291305220654,0.8294336051372135,27498.68575731199,20462.04492281712,9.503774745733105e-09,4.000215165487501,0.8300505538588787,27512.595912521032,20600.123512120288,9.542085845320163e-09,4.00071231337101,0.8218566140925221
CC-discharge,4,4209724.29725527,1454.5454545454545,7.98641002970605,-10.905534647246,-2.713756171080988,-2.7336378384594315,-2.739163349411586,-2.7189772882939938,27726.338503859854,20326.014235183124,9.581863688075573e-09,3.993341238880633,1.0975388098693122,27702.379881129105,20263.558166235358,9.520866973487593e-09,3.9934248070839997,1.105616158090256,27718.50960829657,20291.728418786144,9.569778123118237e-09,3.9934654328687995,1.1067332014829565,27732.100272907053,20375.52136159351,9.548569120014135e-09,3.9929583468215717,1.0963884557073744,27712.21531773068,20273.67213977148,9.52521792536e-09,3.9930687908254168,1.0975388098693122,27734.340806690932,20322.187446533717,9.584169980268475e-09,3.99298522262205,1.105616158090256,27706.502213912285,20230.079129374662,9.503774745727973e-09,3.9929445968372494,1.1067332014829565,27719.009159014964,20369.735043185832,9.542085845721028e-09,3.9934516828844777,1.0963884557073744
CC-discharge,5,4210087.933618906,1818.181818181818,7.972224967480635,-10.905534647246,-2.7128401984469264,-2.7326874727484722,-2.7391830152676753,-2.7208239607829263,27936.605201847713,20101.963897754835,9.581863688072397e-09,3.9862401632171602,1.371609333582843,27910.156784590272,20033.484860624667,9.520866973492675e-09,3.986361130976303,1.381693194009847,27927.620955843464,20066.360635002802,9.569778123013842e-09,3.98636830257285,1.3834173613152423,27940.054451985827,20145.624364772575,9.548569119972481e-09,3.9858513774311835,1.371125892529441,27920.95821798136,20043.959278135826,9.525217925366556e-09,3.985984804263475,1.371609333582843,27945.567661618596,20098.436780761705,9.584169980423599e-09,3.9858638365043313,1.381693194009847,27914.319965375365,19998.11191859724,9.50377474565827e-09,3.9858566649077862,1.3834173613152423,27925.570545979765,20139.180094506573,9.542085845212698e-09,3.9863735900494532,1.371125892529441
CC-discharge,6,4210451.569982543,2181.818181818182,7.958373843492538,-10.905534647246,-2.7120696080751383,-2.7318896976430245,-2.739210347354028,-2.722364994173809,28146.80906155535,19877.980940118276,9.58186368807277e-09,3.9793065987407443,1.645594677346584,28117.869826936167,19803.482720824795,9.520866973489504e-09,3.9794631178465756,1.6576819399892158,28136.73422839867,19840.99079877821,9.569778122774846e-09,3.979438564921454,1.6601038947809852,28148.132898377153,19915.589074750696,9.548569119767539e-09,3.978911914339241,1.6460344256080641,28129.638735338063,19814.315499211203,9.52521792536998e-09,3.979067244751794,1.645594677346584,28156.72959507397,19874.755325092352,9.584169980344729e-09,3.9789107256459624,1.6576819399892158,28122.139629939546,19766.14259527817,9.503774745532084e-09,3.9789352785710843,1.6601038947809852,28132.255367964306,19908.486456838702,9.542085845361509e-09,3.979461929153296,1.6460344256080641
CC-discharge,7,4210815.206346178,2545.4545454545455,7.944831938652387,-10.905534647246,-2.711418823606528,-2.7312176213899835,-2.73924392535098,-2.723654276898509,28356.959291564635,19654.055475041238,9.581863688072187e-09,3.9725280991261402,1.9195082345022236,28325.528496646348,19573.541159755234,9.520866973490139e-09,3.972718584787867,1.9335964510514887,28345.84996101165,19615.618329217785,9.569778122759934e-09,3.9726637836808782,1.9367935045135614,28356.316452442574,19685.43683542506,9.548569119753326e-09,3.9721275360794706,1.9210859039450499,28338.266011651154,19584.730665880503,9.525217925369468e-09,3.972303839526247,1.9195082345022236,28367.836253084206,19651.132783391568,9.584169980353907e-09,3.9721133538645197,1.9335964510514887,28329.96173934319,19534.170561511764,9.503774745537632e-09,3.972168154971509,1.9367935045135614,28339.04459365403,19677.67553516719,9.542085845388784e-09,3.9727044025729157,1.9210859039450499
CC-discharge,8,4211178.842709815,2909.090909090909,7.93156909652873,-10.905534647246,-2.7108649941076863,-2.73064721405283,-2.739282328855074,-2.72474011023041,28567.064565153723,19430.178195368808,9.581863688072076e-09,3.9658895030867036,2.193360952568598,28533.14170825753,19343.650236282818,9.520866973490074e-09,3.9661126269081604,2.2094482104172872,28554.96852886989,19390.242818154595,9.569778122759556e-09,3.966028808110625,2.213486749675483,28564.587219749505,19455.187571134153,9.548569119746623e-09,3.9654831014730965,2.1962573376384293,28546.848657341456,19355.19523576642,9.525217925369437e-09,3.965679593442027,2.193360952568598,28578.896698205634,19427.55948771483,9.584169980342643e-09,3.9654564696205696,2.2094482104172872,28537.786666452008,19302.195397179705,9.503774745540577e-09,3.9655402884181057,2.213486749675483,28545.9204484679,19446.7673108497,9.542085845387749e-09,3.966085995055634,2.1962573376384293
CC-discharge,9,4211542.479073452,3272.7272727272725,7.91856777955052,-10.905534647246,-2.710391724604708,-2.7301612511321878,-2.739324592468532,-2.7256570790405728,28777.131478054904,19206.342024710444,9.581863688072804e-09,3.9593819858895896,2.4671617969480115,28740.716245154123,19113.80238736938,9.520866973490506e-09,3.9596365858614315,2.4852466177498638,28764.090249481895,19164.863920455195,9.569778122776429e-09,3.9595248188030014,2.490184068934251,28772.931555749237,19224.856471080053,9.548569119767593e-09,3.9589698036992487,2.4715299229551455,28755.3932203426,19125.70195363121,9.525217925369708e-09,3.95918579366093,2.4671617969480115,28789.91782645191,19204.028082866458,9.58416998032976e-09,3.958931193689089,2.4852466177498638,28745.61472680985,19070.21674704207,9.503774745551977e-09,3.959042960747519,2.490184068934251,28752.86937924163,19215.777016559285,9.542085845369748e-09,3.959597975851273,2.4715299229551455
