,,Global Time,Time,Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,String 3 Iapp,String 4 Iapp,String 5 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 1,3 Cathode Concentration","Cell 1,3 Anode Concentration","Cell 1,3 Anode SEI Length","Cell 1,3 Voltage","Cell 1,3 Capacity by Area","Cell 1,4 Cathode Concentration","Cell 1,4 Anode Concentration","Cell 1,4 Anode SEI Length","Cell 1,4 Voltage","Cell 1,4 Capacity by Area","Cell 1,5 Cathode Concentration","Cell 1,5 Anode Concentration","Cell 1,5 Anode SEI Length","Cell 1,5 Voltage","Cell 1,5 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area","Cell 2,3 Cathode Concentration","Cell 2,3 Anode Concentration","Cell 2,3 Anode SEI Length","Cell 2,3 Voltage","Cell 2,3 Capacity by Area","Cell 2,4 Cathode Concentration","Cell 2,4 Anode Concentration","Cell 2,4 Anode SEI Length","Cell 2,4 Voltage","Cell 2,4 Capacity by Area","Cell 2,5 Cathode Concentration","Cell 2,5 Anode Concentration","Cell 2,5 Anode SEI Length","Cell 2,5 Voltage","Cell 2,5 Capacity by Area"
CC-discharge,0,4021568.9507788927,0.0,7.726716901109917,-66.5,-10.463878648456411,-13.831958091921862,-13.992198520749497,-13.92920845119426,-14.282756287677978,28955.783682981215,25814.12868562816,1.941964978699885e-08,3.8631118639429354,0.0,27274.898450993103,18278.53616155067,1.6403520900443247e-08,3.8633464753435045,0.0,27173.467032109354,17606.46006001894,1.6029045314619127e-08,3.8633973631826706,0.0,27339.64828979742,18602.738926564984,1.6493400892848644e-08,3.8629131323201835,0.0,27029.050255531845,16734.005177542458,1.5544115131694972e-08,3.864813430536305,0.0,28949.186530974956,25796.383987835663,1.9424023388081267e-08,3.8636050371669812,0.0,27256.861880052275,18205.173680835836,1.6332427835462382e-08,3.8633704257664117,0.0,27152.9802040325,17499.394892591055,1.593473069801456e-08,3.8633195379272456,0.0,27336.924541772503,18644.1558548716,1.6536637422787815e-08,3.863803768789733,0.0,27037.10562454752,16541.767441886637,1.5391640407089716e-08,3.861903470573612,0.0
CC-discharge,1,4021597.866441543,28.91566265060241,7.716500878749103,-66.5,-10.664955513886781,-13.793130762454544,-13.93378847262076,-13.912276874499003,-14.195848376538914,29071.31865622415,25714.09090105201,1.941964978700012e-08,3.858001762186207,0.08485475567206102,27428.184309188753,18148.27067043748,1.640352090044294e-08,3.8582191230598264,0.11094413194528678,27328.64336995694,17474.839935806336,1.602904531462252e-08,3.8582646482172764,0.11215255820630626,27488.818171046678,18470.375157639348,1.6493400892849634e-08,3.857799658176959,0.11181319407908942,27185.07212215268,16601.381709105288,1.554411513169798e-08,3.8597243719193686,0.11437190628199556,29064.481688690226,25696.82808892575,1.9424023388082597e-08,3.858499116562896,0.08485475567206102,27408.30136847967,18072.430935401284,1.6332427835467805e-08,3.858281755689278,0.11094413194528678,27305.879216701054,17364.666412463575,1.5934730697994956e-08,3.858236230531824,0.11215255820630626,27485.834331726546,18513.344072840162,1.6536637422789138e-08,3.858701220572137,0.11181319407908942,27194.131696700955,16404.432986737287,1.5391640407082665e-08,3.8567765068297284,0.11437190628199556
CC-discharge,2,4021626.782104194,57.83132530120482,7.710437129902686,-66.5,-10.780286186925144,-13.770331681607237,-13.900563071631256,-13.901222576626223,-14.147596483210139,29142.50488896313,25642.560491282384,1.9419649787001233e-08,3.8549686545496447,0.17098022435002055,27520.659834245922,18056.8079524757,1.6403520900443124e-08,3.8551764569323046,0.22164076826682005,27422.140270209984,17382.527652261277,1.6029045314621923e-08,3.855219009396121,0.22393710256073202,27578.944582501637,18377.319691681674,1.6493400892847397e-08,3.854764350594195,0.22351399508762446,27278.911994014787,16508.50797324408,1.5544115131694896e-08,3.8567041102116306,0.22820100210428093,29135.520160422922,25625.64224375542,1.9424023388082518e-08,3.855468475353041,0.17098022435002055,27499.663000736633,17979.22887410779,1.6332427835465148e-08,3.85526067297038,0.22164076826682005,27398.003982206792,17270.174071466936,1.593473069801748e-08,3.855218120506564,0.22393710256073202,27575.803599561874,18421.379697479155,1.6536637422787676e-08,3.8556727793084886,0.22351399508762446,27288.575551328675,16308.260234942447,1.5391640407087576e-08,3.8537330196910538,0.22820100210428093
CC-discharge,3,4021655.6977668446,86.74698795180723,7.704781763099227,-66.5,-10.88515047871933,-13.749335718489627,-13.870488558855127,-13.890520905458006,-14.10450433847791,29210.181888797266,25571.111422956546,1.9419649787001352e-08,3.8521397979004943,0.2579900101558217,27607.47920062262,17966.48043179369,1.6403520900443055e-08,3.85233898950161,0.33216152087765083,27509.85598910984,17291.420107047463,1.60290453146235e-08,3.8523788624229085,0.33546743039401067,27663.629833603693,18285.34893027915,1.6493400892844482e-08,3.85193340213981,0.3351274227265169,27366.86285569701,16416.928258029027,1.554411513169162e-08,3.853887346974804,0.34166325440021683,29203.05668335287,25554.537348204733,1.942402338808279e-08,3.852641965198733,0.2579900101558217,27585.436604280643,17887.183598101197,1.6332427835461674e-08,3.8524427735976188,0.33216152087765083,27484.43240938429,17176.914920039293,1.5934730698012628e-08,3.852402900676319,0.33546743039401067,27660.341194203633,18330.487308334436,1.6536637422784738e-08,3.8528483609594186,0.3351274227265169,27377.092492265063,16213.427469369764,1.539164040707981e-08,3.850894416124423,0.34166325440021683
CC-discharge,4,4021684.613429495,115.66265060240964,7.699266166652394,-66.5,-10.98480723844496,-13.729182258111116,-13.842005805874797,-13.87988206614506,-14.064122631424064,29277.4994285035,25499.05314586346,1.9419649787001335e-08,3.8493808194695682,0.34582116564644133,27692.906952558675,17876.340858528798,1.6403520900443055e-08,3.8495717956220488,0.44251701475958155,27596.1143233639,17200.55554747974,1.6029045314623528e-08,3.8496091128638907,0.4467625884852955,27747.016944092677,18193.505326540788,1.649340089284449e-08,3.8491724022571647,0.4466551455040393,27453.281538080486,16325.66673169698,1.554411513169179e-08,3.851140183695557,0.4547902703435983,29270.234492284344,25482.82617846717,1.9424023388082802e-08,3.8498853471828256,0.34582116564644133,27669.835355756768,17795.329843701267,1.6332427835461608e-08,3.8496943710303455,0.44251701475958155,27569.42484009049,17083.904492635073,1.5934730698012376e-08,3.8496570537885035,0.4467625884852955,27743.582911658144,18239.720585909603,1.6536637422784744e-08,3.8500937643952304,0.4466551455040393,27464.067392317244,16118.924195231064,1.539164040707991e-08,3.8481259829568395,0.4547902703435983
CC-discharge,5,4021713.5290921456,144.57831325301206,7.693829177086919,-66.5,-11.080183256464224,-13.709717811664843,-13.814833255944944,-13.869291220490426,-14.025974455435563,29345.253100084898,25426.267689413024,1.9419649787001342e-08,3.8466611212926636,0.43443558530471116,27777.89589102223,17786.351368849773,1.6403520900443048e-08,3.846844143063957,0.5527134005819749,27681.876098879267,17109.899947697424,1.602904531462351e-08,3.846878987383794,0.5578342313038487,27830.038012990346,18101.744664484984,1.649340089284448e-08,3.846450747806208,0.5580976085025754,27539.129204054596,16234.694671791562,1.554411513169157e-08,3.848432126954435,0.5676019052305847,29337.847527813672,25410.391332222476,1.942402338808278e-08,3.847168055794256,0.43443558530471116,27753.800579387604,17703.629027022045,1.6332427835461677e-08,3.846985034022961,0.5527134005819749,27653.927999417778,16991.1079598343,1.5934730698011992e-08,3.846950189703124,0.5578342313038487,27826.45922574906,18149.035832662314,1.653663742278473e-08,3.8473784292807096,0.5580976085025754,27550.46760072049,16024.72066980576,1.5391640407079906e-08,3.8453970501324837,0.5676019052305847
CC-discharge,6,4021742.4447547966,173.49397590361446,7.688451856366612,-66.5,-11.1723087193936,-13.69077296873603,-13.788656209968417,-13.858736553207951,-13.989525548694008,29413.431839482495,25352.978414927584,1.9419649787001395e-08,3.843971232534995,0.5238030229587586,27862.744476070457,17696.465606972808,1.640352090044302e-08,3.844146509818644,0.6627555322301711,27767.460843657704,17019.38745654685,1.6029045314623806e-08,3.844178945970039,0.6686916187171553,27912.963679999593,18010.042424627478,1.649340089284455e-08,3.8437589626375717,0.6694551497624082,27624.75112012693,16143.919364574189,1.554411513169037e-08,3.845753745993739,0.6801139534399404,29405.88474884737,25337.455094852303,1.9424023388082802e-08,3.844480623831617,0.5238030229587586,27837.627140198754,17612.03391073267,1.6332427835461472e-08,3.8443053465479675,0.6627555322301711,27738.256726062657,16898.457915335224,1.5934730698011446e-08,3.844272910396574,0.6686916187171553,27909.2403042936,18058.40881660383,1.653663742278474e-08,3.8446928937290394,0.6694551497624082,27636.64060622457,15930.720886022053,1.5391640407079655e-08,3.842698110372874,0.6801139534399404
CC-discharge,7,4021771.360417447,202.40963855421688,7.683131001171642,-66.5,-11.260739546476694,-13.67244675917984,-13.763599355477128,-13.848280696024084,-13.954933642842258,29482.211594438708,25279.013578677426,1.9419649787001415e-08,3.8413095499041385,0.6138955862755068,27947.444249349915,17606.719895882805,1.640352090044301e-08,3.84147728328891,0.7726479809366606,27852.849246734655,16929.066426813082,1.6029045314623846e-08,3.8415073733424268,0.7793432474940452,27995.798821903936,17918.420702889725,1.6493400892844515e-08,3.8410954440260943,0.7807283114059104,27710.113326930466,16053.405341516496,1.554411513169028e-08,3.8431034442000627,0.7923406971810499,29474.52173791443,25263.846549922935,1.9424023388082822e-08,3.8418214512675037,0.6138955862755068,27921.306681719132,17520.58150857068,1.6332427835461462e-08,3.8416537178827337,0.7726479809366606,27822.39199246347,16806.003853827526,1.5934730698009025e-08,3.8416236278292173,0.7793432474940452,27991.931015571994,17967.861374576485,1.6536637422784705e-08,3.8420355571455493,0.7807283114059104,27722.552230889905,15836.991667607866,1.5391640407079572e-08,3.840027556971581,0.7923406971810499
CC-discharge,8,4021800.2760800975,231.32530120481928,7.677862861260664,-66.5,-11.345914159636425,-13.654673431055055,-13.739525837177906,-13.8379328852453,-13.921953686885315,29551.49593796792,25204.49216509951,1.941964978700149e-08,3.8386741996087,0.7046853601956398,28032.032900390845,17517.090472184485,1.6403520900443015e-08,3.8388345737930476,0.8823954515801743,27938.088715750066,16838.902691160783,1.6029045314623905e-08,3.8388623735250085,0.8897975655368364,28078.56958501092,17826.86738872925,1.6493400892844502e-08,3.8384583150300076,0.8919179241820926,27795.276240557774,15963.10411603331,1.5544115131690085e-08,3.8404793603383296,0.9042960679831686,29543.66226818133,25189.684108718993,1.9424023388082815e-08,3.8391886616519644,0.7046853601956398,28004.876439498057,17429.247605234545,1.6332427835461446e-08,3.839028287467616,0.8823954515801743,27906.38051051705,16713.710801076748,1.593473069800959e-08,3.8390004877356554,0.8897975655368364,28074.55746030334,17877.38153803593,1.6536637422784688e-08,3.839404546230657,0.8919179241820926,27808.263279665778,15743.482805660617,1.539164040707938e-08,3.8373835009223343,0.9042960679831686
CC-discharge,9,4021829.191742748,260.2409638554217,7.672644749909772,-66.5,-11.42821927584094,-13.637392483359765,-13.716316123032104,-13.827695247257784,-13.89037687050941,29621.189041808084,25129.52067339147,1.9419649787001643e-08,3.8360638399246914,0.7961477434706492,28116.532722810105,17427.555671513022,1.6403520900443015e-08,3.836217026495548,0.9920021419995109,28023.209658443935,16748.865860442354,1.6029045314623667e-08,3.836242586628425,1.0000619910798485,28161.288602238434,17735.37071829359,1.649340089284482e-08,3.8358462308567134,1.0030248644732696,27880.28117489102,15872.973378016135,1.5544115131691283e-08,3.837880162574151,1.0159921746393723,29613.210710297422,25115.0737574283,1.94240233880828e-08,3.8365809099850807,0.7961477434706492,28088.358438619907,17338.010124367313,1.633242783546125e-08,3.8364277234142237,0.9920021419995109,27990.252241708866,16621.54765026102,1.593473069801151e-08,3.8364021632813476,1.0000619910798485,28157.13224937898,17786.957681063424,1.6536637422784963e-08,3.8367985190530582,1.0030248644732696,27893.815332342776,15650.150487152392,1.5391640407080204e-08,3.834764587335622,1.0159921746393723
