,,Global Time,Time,Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,String 3 Iapp,String 4 Iapp,String 5 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 1,3 Cathode Concentration","Cell 1,3 Anode Concentration","Cell 1,3 Anode SEI Length","Cell 1,3 Voltage","Cell 1,3 Capacity by Area","Cell 1,4 Cathode Concentration","Cell 1,4 Anode Concentration","Cell 1,4 Anode SEI Length","Cell 1,4 Voltage","Cell 1,4 Capacity by Area","Cell 1,5 Cathode Concentration","Cell 1,5 Anode Concentration","Cell 1,5 Anode SEI Length","Cell 1,5 Voltage","Cell 1,5 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area","Cell 2,3 Cathode Concentration","Cell 2,3 Anode Concentration","Cell 2,3 Anode SEI Length","Cell 2,3 Voltage","Cell 2,3 Capacity by Area","Cell 2,4 Cathode Concentration","Cell 2,4 Anode Concentration","Cell 2,4 Anode SEI Length","Cell 2,4 Voltage","Cell 2,4 Capacity by Area","Cell 2,5 Cathode Concentration","Cell 2,5 Anode Concentration","Cell 2,5 Anode SEI Length","Cell 2,5 Voltage","Cell 2,5 Capacity by Area"
CC-discharge,0,2799696.6774161765,0.0,7.729541066786451,-66.5,-12.317340103204836,-13.36719598363819,-13.521126152876354,-13.48155688838373,-13.812780871896885,28072.190634026032,22595.320869846182,1.4069637779734654e-08,3.864532266533236,0.0,27466.04170988813,19552.48897039841,1.3145290089230958e-08,3.864696939993355,0.0,27373.258618940617,19000.099198386808,1.2951652230760283e-08,3.8647283409561246,0.0,27514.908852225664,19768.5326511208,1.3160049765987755e-08,3.864341086482163,0.0,27230.34181174201,18246.139936746793,1.2689427761875147e-08,3.8661714765195985,0.0,28067.4275529336,22593.768527423294,1.4077852685869462e-08,3.8650088002532152,0.0,27445.702766581177,19500.646786289104,1.3098620386244081e-08,3.8648441267930966,0.0,27349.83970473087,18922.63021457374,1.2890513662942484e-08,3.864812725830326,0.0,27511.879521389157,19797.959131374795,1.3188790598414809e-08,3.8651999803042894,0.0,27239.692756142034,18102.724513780508,1.2591680141244403e-08,3.863369590266853,0.0
CC-discharge,1,2799725.593078827,28.91566265060241,7.71954982711502,-66.5,-12.405521289768382,-13.355355375421063,-13.492638006671543,-13.487561034719478,-13.758924293419534,28207.004170990876,22478.567454554002,1.4069637779733977e-08,3.8595328080517812,0.09928859997178001,27614.354577155296,19426.45037656313,1.3145290089233398e-08,3.8596837382109985,0.10731948336971588,27523.406819510506,18872.744946136947,1.295165223076267e-08,3.8597104606651453,0.10848901268894738,27659.430043428638,19640.29410887004,1.3160049765981353e-08,3.8593401578361988,0.10830971053455105,27381.44089735394,18117.702229311257,1.2689427761873149e-08,3.8611943474378116,0.11072973961974467,28201.961257925344,22477.577517601734,1.4077852685869227e-08,3.8600170190632386,0.09928859997178001,27592.229165105153,19372.21132089122,1.3098620386254444e-08,3.8598660889040217,0.10731948336971588,27497.784371678667,18792.268349728987,1.2890513662931138e-08,3.859839366449874,0.10848901268894738,27656.14872671216,19671.22420705881,1.3188790598408682e-08,3.8602096692788197,0.10830971053455105,27391.76436272813,17969.724504210764,1.2591680141255857e-08,3.858355479677207,0.11072973961974467
CC-discharge,2,2799754.508741478,57.83132530120482,7.713591485406366,-66.5,-12.454719829427386,-13.348543879243683,-13.476797020532912,-13.490471160356014,-13.729468110440004,28289.15506165018,22395.881109717007,1.4069637779733797e-08,3.8565512782061053,0.1991289257516827,27704.04355552568,19337.775330166995,1.3145290089233795e-08,3.856694742457997,0.2145640586896546,27614.10161702863,18783.232945522363,1.2951652230756111e-08,3.85671887115054,0.21679999673394518,27746.935450610836,19549.973778841206,1.3160049765986409e-08,3.856357623287214,0.2166552213581474,27472.557223061925,18027.559270103066,1.2689427761876516e-08,3.8582266384135897,0.22112488983604803,28283.941628277185,22395.289475911286,1.4077852685868698e-08,3.8570402072002605,0.1991289257516827,27680.837815386665,19281.84994421689,1.3098620386249153e-08,3.8568967429483703,0.2145640586896546,27587.148157336713,18700.642423464727,1.289051366293803e-08,3.856872614255827,0.21679999673394518,27743.50156023445,19581.96289770926,1.3188790598413821e-08,3.8572338621191538,0.2166552213581474,27483.467141606652,17876.379530396698,1.2591680141256745e-08,3.855364846992778,0.22112488983604803
CC-discharge,3,2799783.4244041285,86.74698795180723,7.708022599376712,-66.5,-12.498722334831655,-13.342342635862087,-13.462652254583679,-13.492869850732198,-13.703412923990387,28366.699402759237,22313.81886675866,1.4069637779733618e-08,3.8537645988583296,0.2993435529173817,27788.325745076865,19250.124732627344,1.3145290089233972e-08,3.853901381346714,0.32175637401136453,27699.273280190828,18694.807495960627,1.2951652230758968e-08,3.853923168548013,0.3249905560717628,27829.224732329385,19460.63883845975,1.3160049765985974e-08,3.8535699678815756,0.32502205272797957,27558.04368083123,17938.587055031912,1.2689427761868618e-08,3.8554530300171166,0.33129710282572833,28361.325010876568,22313.622529778182,1.4077852685868272e-08,3.854258000518383,0.2993435529173817,27764.104803087856,19192.532498306926,1.3098620386254335e-08,3.854121218029998,0.32175637401136453,27671.069864638186,18610.128708367105,1.2890513662935284e-08,3.8540994308286987,0.3249905560717628,27825.647363084052,19493.675424152127,1.318879059841337e-08,3.854452631495135,0.32502205272797957,27569.503816955705,17784.246887326753,1.259168014125434e-08,3.852569569359596,0.33129710282572833
CC-discharge,4,2799812.340066779,115.66265060240964,7.702581284616193,-66.5,-12.539994531355164,-13.336440074550751,-13.4493991054476,-13.494982239701848,-13.67918404894463,28443.372377471216,22231.53754666247,1.4069637779733608e-08,3.851041737432789,0.39990064876552156,27871.34350577101,19162.567800460325,1.3145290089233911e-08,3.8511721420329996,0.4289000796756731,27783.120977090362,18606.524370345305,1.2951652230757772e-08,3.85119168849042,0.43307108362208924,27910.328891836594,19371.345978926707,1.3160049765986771e-08,3.8508461493482997,0.4334070008823332,27642.13435352524,17849.827607112264,1.2689427761870604e-08,3.852742963763507,0.44126737179333886,28437.83883577194,22231.737561809474,1.4077852685868026e-08,3.851539547183404,0.39990064876552156,27846.122592320815,19103.310499001065,1.3098620386254434e-08,3.8514091425831936,0.4289000796756731,27753.687035840212,18519.760678354793,1.2890513662933949e-08,3.851389596125775,0.43307108362208924,27906.610110090547,19405.429538038614,1.3188790598413887e-08,3.851735135267895,0.4334070008823332,27654.135723520194,17692.33456922016,1.2591680141255183e-08,3.8498383208526854,0.44126737179333886
CC-discharge,5,2799841.2557294294,144.57831325301206,7.697208400675349,-66.5,-12.579000481867343,-13.33078399042902,-13.436885002244134,-13.49686270552291,-13.656467819936593,28520.05030555456,22148.959616781198,1.40696377797336e-08,3.848353103472406,0.5007801468105919,27954.03029458876,19075.055460359396,1.3145290089233906e-08,3.8484773157743115,0.5359973650771983,27866.58596581105,18518.338235927495,1.2951652230757739e-08,3.8484946855093334,0.541048128231293,27991.161980313715,19282.040043475427,1.3160049765986786e-08,3.8481565773174977,0.5418079845980953,27725.771265174666,17761.241103924818,1.2689427761870533e-08,3.850066950043924,0.5510491062065165,28514.357603755998,22149.557412836813,1.4077852685868004e-08,3.848855297202943,0.5007801468105919,27927.813396323952,19014.133939767107,1.3098620386254513e-08,3.848731084901036,0.5359973650771983,27835.927115382903,18429.491930095777,1.2890513662934629e-08,3.8487137151660153,0.541048128231293,27987.30225870503,19317.17072932313,1.3188790598413894e-08,3.8490518233578497,0.5418079845980953,27738.310948491708,17600.601339104367,1.2591680141255122e-08,3.847141450631424,0.5510491062065165
CC-discharge,6,2799870.1713920804,173.49397590361446,7.691887238930342,-66.5,-12.616133667617138,-13.325332357529776,-13.424980652019558,-13.49855826176672,-13.634995061066807,28596.906519425927,22066.13941657387,1.4069637779733873e-08,3.845690338626642,0.6019654245193649,28036.63902840277,18987.57873339354,1.314529008923386e-08,3.8458085048862993,0.6430500411734184,27949.93367995104,18430.229748890022,1.295165223075759e-08,3.845823748316695,0.6489271067624724,28071.960715389712,19192.72301509524,1.3160049765986973e-08,3.84549289204542,0.6502233298482545,27809.23525119482,17672.79294811054,1.26894277618704e-08,3.8474166623144224,0.6606533748049237,28591.054287460647,22067.13616056258,1.4077852685867773e-08,3.846196900303699,0.6019654245193649,28009.42708551613,18924.99367092198,1.3098620386254151e-08,3.846078734044042,0.6430500411734184,27918.0516414346,18339.30266294605,1.2890513662931489e-08,3.8460634906136457,0.6489271067624724,28067.960113815545,19228.900957746184,1.3188790598414059e-08,3.8463943468849204,0.6502233298482545,27822.312134831012,17509.01137067071,1.2591680141255438e-08,3.844470576615919,0.6606533748049237
CC-discharge,7,2799899.087054731,202.40963855421688,7.686614113747451,-66.5,-12.651509805162709,-13.320077406816909,-13.413647540927217,-13.500089343566497,-13.614675903526663,28673.959327855107,21983.088460430317,1.406963777973375e-08,3.843051599431512,0.7034419043297258,28119.20244492913,18900.13635066113,1.3145290089233883e-08,3.8431638537328836,0.750059718941879,28033.199489026392,18342.195191737337,1.2951652230757746e-08,3.8431770166590926,0.756712762155833,28152.754909955616,19103.39599361292,1.3160049765987024e-08,3.8428532494374403,0.7586516334841309,27892.565258462073,17584.475703686152,1.2689427761870115e-08,3.8447902663306053,0.7700898043816043,28667.947157653307,21984.485263912316,1.4077852685867822e-08,3.8435625143159395,0.7034419043297258,28090.996003280092,18835.888399433083,1.3098620386253752e-08,3.843450260014566,0.750059718941879,28000.095464438084,18249.18907161706,1.2890513662931742e-08,3.8434370970883585,0.756712762155833,28148.61343633343,19140.62131023728,1.3188790598414143e-08,3.8437608643100103,0.7586516334841309,27906.17848008859,17417.556963798466,1.2591680141256285e-08,3.8418238474168462,0.7700898043816043
CC-discharge,8,2799928.0027173813,231.32530120481928,7.681386773099208,-66.5,-12.685226736650561,-13.31501275055628,-13.402853095825087,-13.501473292300194,-13.595434124667877,28751.20756358955,21899.817559254672,1.4069637779733812e-08,3.8404357596894685,0.80519586634504,28201.731125721013,18812.72707051871,1.3145290089233878e-08,3.840542227206204,0.8570279525056267,28116.396160717726,18254.231057795223,1.2951652230757559e-08,3.840553351925847,0.8644095518616656,28233.552931499496,19014.05994040167,1.3160049765987085e-08,3.8402365226952693,0.8670916440699409,27975.777212461293,17496.282444581804,1.2689427761870049e-08,3.8421866424403044,0.8793673546956386,28745.035049502825,21901.61548171335,1.4077852685867953e-08,3.8409510134097387,0.80519586634504,28172.530603710944,18746.816860044877,1.3098620386253638e-08,3.8408445458930034,0.8570279525056267,28082.071164698835,18159.147566621872,1.2890513662928442e-08,3.8408334211733615,0.8644095518616656,28229.270579156546,19052.332736898657,1.3188790598414206e-08,3.8411502504039374,0.8670916440699409,27989.926012249656,17326.23094639236,1.2591680141255891e-08,3.8392001306589036,0.8793673546956386
CC-discharge,9,2799956.918380032,260.2409638554217,7.676203459223332,-66.5,-12.717373206567563,-13.310132372971177,-13.39256780756238,-13.502725347407482,-13.577201265491396,28828.644562397243,21816.336946222484,1.406963777973392e-08,3.837841940487871,0.9072143400125827,28284.229008367223,18725.34968816879,1.3145290089233872e-08,3.8379427388677136,0.9639562461744117,28199.52959901306,18166.33402970187,1.2951652230757772e-08,3.8379518647056394,0.9720216840037839,28314.356792090675,18924.71571527111,1.3160049765986816e-08,3.8376418323419617,0.9755422410165581,28058.879910449134,17408.206681523763,1.2689427761870472e-08,3.8396049171542943,0.9884944044553144,28822.311312611022,21818.536997845647,1.4077852685867798e-08,3.8383615187354616,0.9072143400125827,28254.034776968336,18657.777825048892,1.309862038625366e-08,3.8382607203556214,0.9639562461744117,28163.984559559318,18069.17475225468,1.289051366293391e-08,3.8382515945176947,0.9720216840037839,28309.933550845406,18964.036087456992,1.3188790598413937e-08,3.838561626881373,0.9755422410165581,28073.563585193624,17235.02659867057,1.2591680141256177e-08,3.8365985420690403,0.9884944044553144
