,,Global Time,Time,Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,String 3 Iapp,String 4 Iapp,String 5 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 1,3 Cathode Concentration","Cell 1,3 Anode Concentration","Cell 1,3 Anode SEI Length","Cell 1,3 Voltage","Cell 1,3 Capacity by Area","Cell 1,4 Cathode Concentration","Cell 1,4 Anode Concentration","Cell 1,4 Anode SEI Length","Cell 1,4 Voltage","Cell 1,4 Capacity by Area","Cell 1,5 Cathode Concentration","Cell 1,5 Anode Concentration","Cell 1,5 Anode SEI Length","Cell 1,5 Voltage","Cell 1,5 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area","Cell 2,3 Cathode Concentration","Cell 2,3 Anode Concentration","Cell 2,3 Anode SEI Length","Cell 2,3 Voltage","Cell 2,3 Capacity by Area","Cell 2,4 Cathode Concentration","Cell 2,4 Anode Concentration","Cell 2,4 Anode SEI Length","Cell 2,4 Voltage","Cell 2,4 Capacity by Area","Cell 2,5 Cathode Concentration","Cell 2,5 Anode Concentration","Cell 2,5 Anode SEI Length","Cell 2,5 Voltage","Cell 2,5 Capacity by Area"
CC-discharge,0,105030.434379625,0.0,7.7286123020560575,-66.5,-13.369831272764012,-13.21592637438734,-13.20399967762729,-13.429664836590423,-13.280577838630938,27634.196745305562,20634.27685347433,5.312454820010301e-09,3.864061218186777,0.0,27633.441014140197,20613.550340706264,5.31291006943434e-09,3.864184973382951,0.0,27632.880078411774,20598.662270628778,5.312722389601014e-09,3.864169584080514,0.0,27628.27601542762,20537.723113030086,5.309829823220857e-09,3.863883924083408,0.0,27606.9084465998,20588.103363044025,5.312964719547626e-09,3.8656208913336356,0.0,27630.342806567103,20643.73711321728,5.312872318492957e-09,3.8645510838692805,0.0,27611.085700887423,20575.80822048936,5.311277668462872e-09,3.864427328673106,0.0,27605.65103155218,20551.44060781526,5.31069773818595e-09,3.864442717975543,0.0,27625.049018612506,20561.88276567156,5.310867422252958e-09,3.864728377972649,0.0,27618.68309154197,20516.700351573403,5.309953662006071e-09,3.8629914107224215,0.0
CC-discharge,1,105059.3500422756,28.91566265060241,7.718798302863156,-66.5,-13.370647514112168,-13.21422372928863,-13.20227196835023,-13.436094525754319,-13.276762262494639,27779.797444716824,20508.169373757835,5.312454820010445e-09,3.859149797244185,0.10739148107179187,27780.170084810237,20488.860091441617,5.312910069435117e-09,3.8592613400468325,0.10614518113926093,27779.731238459233,20474.109154734746,5.312722389604392e-09,3.8592423655125607,0.10604928371878523,27772.258195219372,20409.963975437375,5.3098298232137366e-09,3.8589716817492556,0.1078946159130311,27752.581675664806,20464.28530002282,5.312964719528845e-09,3.860731555460637,0.10665598434186979,27775.641283131266,20518.237097842324,5.312872318493917e-09,3.859648505618972,0.10739148107179187,27756.04738007436,20448.74674108377,5.3112776684444844e-09,3.859536962816322,0.10614518113926093,27750.347044436083,20423.94603128354,5.310697738190568e-09,3.8595559373505957,0.10604928371878523,27768.78015234001,20435.621624915617,5.310867422245587e-09,3.8598266211139043,0.1078946159130311,27765.293919071348,20388.484083193198,5.309953662014919e-09,3.8580667474025185,0.10665598434186979
CC-discharge,2,105088.2657049262,57.83132530120482,7.712937259872735,-66.5,-13.371104769351705,-13.213297393254907,-13.201327415571791,-13.439596681144613,-13.274673740676988,27867.90520820674,20419.394427885894,5.312454820010535e-09,3.8562165830029254,0.21478807658771104,27868.944737737576,20401.09641797417,5.312910069434961e-09,3.856321524546236,0.2122798041213635,27868.5795521859,20386.442178059202,5.312722389604829e-09,3.856300557559107,0.21208783546144394,27859.42059162541,20319.995963365884,5.309829823213565e-09,3.8560378274428744,0.21582911875198263,27840.70430644017,20377.146799223217,5.312964719533489e-09,3.857812138493636,0.21328825744697671,27863.56616165402,20429.889784131305,5.312872318494244e-09,3.8567206768698092,0.21478807658771104,27843.752718210842,20359.31406888559,5.311277668442118e-09,3.8566157353264976,0.2122798041213635,27837.891444790494,20334.208701255044,5.31069773818985e-09,3.8566367023136285,0.21208783546144394,27855.790573156766,20346.708502537214,5.310867422245557e-09,3.8568994324298593,0.21582911875198263,27853.983734660505,20298.25029070627,5.309953662012825e-09,3.855125121379097,0.21328825744697671
CC-discharge,3,105117.1813675768,86.74698795180723,7.707452863498512,-66.5,-13.371511477351353,-13.212475060615123,-13.20048842622843,-13.442706094053776,-13.272818941751309,27950.759572865634,20331.590558732987,5.312454820010617e-09,3.8534718491805715,0.3221881418355145,27952.41758466031,20314.300898032147,5.312910069434933e-09,3.8535708847127648,0.318407404337709,27952.121533022597,20299.74240670939,5.3127223896042416e-09,3.85354811230709,0.3181192243843364,27941.404322325296,20230.99401103172,5.309829823215327e-09,3.853292439185202,0.3237901740740645,27923.556892773548,20290.976314958272,5.3129647195258784e-09,3.855080523554083,0.31990469392259235,27946.248545807368,20342.508869426943,5.312872318494186e-09,3.8539810143179407,0.3221881418355145,27926.220112035036,20270.86796155464,5.311277668439085e-09,3.853881978785747,0.318407404337709,27920.207386534,20245.46141818359,5.310697738189532e-09,3.8539047511914224,0.3181192243843364,27937.631357743743,20258.75011268754,5.310867422247117e-09,3.85416042431331,0.3237901740740645,27937.36958615326,20209.018900169554,5.3099536620103665e-09,3.85237233994443,0.31990469392259235
CC-discharge,4,105146.0970302274,115.66265060240964,7.702089543665013,-66.5,-13.371888377737331,-13.21170395053461,-13.199702912046908,-13.445620767273232,-13.27108399240792,28032.41103992639,20243.83878580536,5.312454820010553e-09,3.850787707319781,0.429591354104947,28034.67130437601,20227.564372159275,5.312910069434866e-09,3.8508810946248406,0.4245286051856999,28034.44328071735,20213.101664675396,5.312722389604588e-09,3.8508565852952996,0.42414408919668717,28022.213316533016,20142.028125287892,5.309829823214633e-09,3.8506076346939446,0.43177542251312884,28005.193394563208,20204.870621858685,5.3129647195258065e-09,3.852409274813067,0.4265067137384929,28027.73052921199,20255.179799998306,5.3128723184941504e-09,3.8513018363452325,0.429591354104947,28007.483063371088,20182.481970180925,5.311277668439137e-09,3.851208449040174,0.4245286051856999,28001.321002941506,20156.77455847135,5.310697738189537e-09,3.8512329583697142,0.42414408919668717,28018.299454098516,20170.827366541547,5.310867422246678e-09,3.851481908971069,0.43177542251312884,28019.53152600143,20119.85460227865,5.309953662009783e-09,3.849680268851945,0.4265067137384929
CC-discharge,5,105175.01269287801,144.57831325301206,7.696789577089683,-66.5,-13.37223943465084,-13.210973660050286,-13.198960654722645,-13.448379681656835,-13.269446568919387,28113.77949464817,20156.08570543017,5.3124548200105595e-09,3.8481352729692553,0.5369974898976706,28116.632247683046,20140.834783930157,5.312910069434864e-09,3.8482231610363753,0.5306437763125469,28116.471923078283,20126.4679496207,5.312722389604451e-09,3.8481969543149583,0.5301628183805006,28102.75880622773,20053.042391992134,5.309829823214766e-09,3.8479545328907276,0.5397834564445749,28086.532953566977,20118.778641164543,5.312964719527276e-09,3.8497696023892334,0.5330951898884018,28108.93008772599,20167.849429420017,5.312872318494152e-09,3.8486543041204273,0.5369974898976706,28088.45676486929,20094.10304838432,5.3112776684404296e-09,3.8485664160533086,0.5306437763125469,28082.14581554829,20068.094891687662,5.31069773818959e-09,3.848592622774725,0.5301628183805006,28098.704505384412,20082.885005560045,5.310867422246837e-09,3.8488350441989567,0.5397834564445749,28101.39461184746,20030.70450387819,5.309953662009904e-09,3.84701997470045,0.5330951898884018
CC-discharge,6,105203.92835552862,173.49397590361446,7.691536963101064,-66.5,-13.372568673547773,-13.210276008732654,-13.198253347889636,-13.451013766874281,-13.26788820295566,28195.105734691537,20068.33045841556,5.3124548200105935e-09,3.8455065393212435,0.6444063578020827,28198.544503205718,20054.109727874456,5.3129100694349696e-09,3.84558904376472,0.6367532127333618,28198.45178098993,20039.838827643453,5.312722389610509e-09,3.845561170385692,0.6361757260215137,28183.27596604745,19964.039305618182,5.309829823210093e-09,3.8453251284159817,0.6478131490089569,28167.81908856833,20032.696688395434,5.312964719521487e-09,3.8471535257426064,0.6396708315425184,28190.087519185803,20080.516902639196,5.312872318494167e-09,3.8460304237798204,0.6444063578020827,28169.38236504038,20005.728744949112,5.311277668448598e-09,3.8459479193363446,0.6367532127333618,28162.922559652627,19979.419926452738,5.310697738195853e-09,3.8459757927153713,0.6361757260215137,28179.081276191377,19994.92549496679,5.310867422242001e-09,3.8462118346850818,0.6478131490089569,28183.20392983837,19941.564789609998,5.309953662009188e-09,3.8443834373584576,0.6396708315425184
CC-discharge,7,105232.84401817922,202.40963855421688,7.686328364511491,-66.5,-13.37287758535769,-13.20960870216068,-13.197578557380732,-13.45353179684113,-13.266403358259765,28276.42058870605,19980.573197766793,5.312454820010822e-09,3.8428998361832436,0.7518177885607392,28280.43943974706,19967.38902558445,5.3129100694341374e-09,3.8429770630153213,0.7428571673955842,28280.414263126902,19953.21410598992,5.312722389619115e-09,3.8429475512217293,0.7421830830707924,28263.79473614743,19875.019649590016,5.309829823203787e-09,3.842717751652039,0.7558635327989787,28249.083196768384,19946.62430834336,5.312964719497594e-09,3.844559380708026,0.7462342514670783,28271.23358825113,19993.182371923864,5.312872318494335e-09,3.8434285283282477,0.7518177885607392,28250.290854841824,19917.358878074745,5.311277668458072e-09,3.8433513014961704,0.7428571673955842,28243.682182985132,19890.74946545979,5.310697738196859e-09,3.8433808132897624,0.7421830830707924,28259.459654470884,19906.949609002157,5.310867422234652e-09,3.843610612859452,0.7558635327989787,28264.991079255306,19852.434988096084,5.309953661974808e-09,3.841768983803465,0.7462342514670783
CC-discharge,8,105261.75968082983,231.32530120481928,7.681161826258476,-66.5,-13.373167469830767,-13.208969852139692,-13.1969342579616,-13.455941011716844,-13.264987408351097,28357.733194324665,19892.814049732704,5.312454820011106e-09,3.8403141850039213,0.859231624123745,28362.326546873614,19880.672494241193,5.312910069434138e-09,3.8403862335175427,0.8489558764489993,28362.36887940049,19866.593588605123,5.3127223896371245e-09,3.8403551098245416,0.8481851425701592,28344.32363893945,19785.98414006358,5.3098298231639155e-09,3.8401314245145004,0.8639337047208981,28330.334936296513,19860.561060206597,5.312964719510561e-09,3.841986192396301,0.8527860216141099,28352.377413586702,19905.845962915173,5.312872318494117e-09,3.8408476412545545,0.859231624123745,28331.191609536036,19828.993261465665,5.311277668446979e-09,3.840775592740932,0.8489558764489993,28324.434055890015,19802.083308023888,5.31069773822555e-09,3.8408067164339332,0.8481851425701592,28339.84814777559,19818.958055423966,5.310867422196667e-09,3.841030401743975,0.8639337047208981,28346.76578039176,19763.314642876983,5.309953661916477e-09,3.839175633862175,0.8527860216141099
CC-discharge,9,105290.67534348043,260.2409638554217,7.676035854861706,-66.5,-13.373439509767064,-13.208357779417646,-13.196318639842188,-13.458247857153605,-13.263636213819494,28439.04621155143,19805.05313073685,5.3124548200110335e-09,3.8377488382446194,0.9666477164112864,28444.208769834255,19793.959959755717,5.312910069434155e-09,3.837815802156967,0.9550495617162977,28444.318589049446,19779.977089037067,5.3127223896352054e-09,3.8377830916537437,0.9541821421597326,28424.86481925595,19696.933449195916,5.30982982316254e-09,3.83756539988322,0.9720228166440726,28411.57745397212,19774.50652755996,5.312964719500033e-09,3.839433216032347,0.9593266787312608,28433.5216496766,19818.50779147497,5.312872318494291e-09,3.838287016617086,0.9666477164112864,28412.08753889571,19740.631717722943,5.311277668392624e-09,3.838220052704739,0.9550495617162977,28405.18109417962,19713.421263290475,5.310697738213553e-09,3.8382527632079615,0.9541821421597326,28420.248897197,19730.951498508362,5.3108674221944704e-09,3.8384704549784856,0.9720228166440726,28428.531200321475,19674.203322735222,5.309953661927763e-09,3.836602638829359,0.9593266787312608
