Cycle,Protocol,Stamps,Time,Global Time,Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,1 Anode Side Current","Cell 1,1 Anode Intercalation Current"
1,CC-discharge,0,0.0,0.0,3.866102522392951,-27.263836618115,-27.263836618115,25777.499999999996,22610.7,0.0,3.866102522392951,0.0,5.1278273660249346e-21,0.40105673165806116
1,CC-discharge,1,72.72727272727273,72.72727272727273,3.840775663715707,-27.263836618115,-27.263836618115,26346.403471742953,22074.144990343953,-5.189892737402866e-28,3.840775663715707,0.5507845781437374,-4.554965681554647e-32,0.40105673165806116
1,CC-discharge,2,145.45454545454547,145.45454545454547,3.823847459173188,-27.263836618115,-27.263836618115,26765.983482879583,21620.662664990905,-5.119691707444593e-28,3.823847459173188,1.1015691562874748,1.3642261899682878e-32,0.40105673165806116
1,CC-discharge,3,218.1818181818182,218.1818181818182,3.808171304962029,-27.263836618115,-27.263836618115,27183.726558073533,21167.20726479564,-4.087462373226571e-28,3.808171304962029,1.652353734431212,-4.084606065391351e-31,0.40105673165806116
1,CC-discharge,4,290.90909090909093,290.90909090909093,3.793422932959542,-27.263836618115,-27.263836618115,27601.42244512747,20713.75187328148,-7.746502762735426e-28,3.793422932959542,2.2031383125749495,2.0458913038156942e-32,0.40105673165806116
1,CC-discharge,5,363.6363636363637,363.6363636363637,3.779419801166164,-27.263836618115,-27.263836618115,28019.11754421029,20260.296481731875,-1.2315693714956343e-27,3.779419801166164,2.753922890718687,3.8240124248185395e-36,0.40105673165806116
1,CC-discharge,6,436.3636363636364,436.3636363636364,3.7660304967081193,-27.263836618115,-27.263836618115,28436.8126324325,19806.841090182574,-7.51268956578537e-29,3.7660304967081193,3.304707468862424,-1.0298830348961208e-36,0.40105673165806116
1,CC-discharge,7,509.0909090909091,509.0909090909091,3.75315815880144,-27.263836618115,-27.263836618115,28854.507720744525,19353.385698633385,-4.6119148192808795e-28,3.75315815880144,3.8554920470061615,-3.1280476325630827e-37,0.40105673165806116
1,CC-discharge,8,581.8181818181819,581.8181818181819,3.740730439629899,-27.263836618115,-27.263836618115,29272.20280905732,18899.930307083894,-4.06852662717655e-28,3.740730439629899,4.406276625149899,7.0456765671816795e-37,0.40105673165806116
1,CC-discharge,9,654.5454545454546,654.5454545454546,3.7286927090779596,-27.263836618115,-27.263836618115,29689.89789737043,18446.474915534378,-3.3300097373517894e-28,3.7286927090779596,4.9570612032936365,-2.417076290089836e-37,0.40105673165806116
1,CC-discharge,10,727.2727272727274,727.2727272727274,3.7170033228228885,-27.263836618115,-27.263836618115,30107.592985683197,17993.01952398512,1.9378086862057112e-29,3.7170033228228885,5.507845781437374,3.7914892892490035e-37,0.40105673165806116
1,CC-discharge,11,800.0000000000001,800.0000000000001,3.705630254543167,-27.263836618115,-27.263836618115,30525.2880739961,17539.564132435702,-2.98940461547136e-28,3.705630254543167,6.0586303595811115,9.229590831245782e-37,0.40105673165806116
1,CC-discharge,12,872.7272727272727,872.7272727272727,3.6945486487422268,-27.263836618115,-27.263836618115,30942.983162308505,17086.108740886753,-4.553721474398696e-28,3.6945486487422268,6.609414937724848,2.721948348456964e-37,0.40105673165806116
1,CC-discharge,13,945.4545454545455,945.4545454545455,3.6837390137538693,-27.263836618115,-27.263836618115,31360.678250621386,16632.65334933767,-5.754596460773432e-28,3.6837390137538693,7.160199515868586,7.2470417041356945e-31,0.40105673165806116
1,CC-discharge,14,1018.1818181818182,1018.1818181818182,3.67318580772706,-27.263836618115,-27.263836618115,31778.373338934165,16179.197957788465,-3.005446621574304e-28,3.67318580772706,7.710984094012323,-7.964889293456834e-31,0.40105673165806116
1,CC-discharge,15,1090.909090909091,1090.909090909091,3.662876431194301,-27.263836618115,-27.263836618115,32196.068427247057,15725.742566239176,-8.323497448344632e-28,3.662876431194301,8.26176867215606,-3.754833286375844e-31,0.40105673165806116
1,CC-discharge,16,1163.6363636363637,1163.6363636363637,3.6528003239019866,-27.263836618115,-27.263836618115,32613.763515559745,15272.287174689887,-4.928134013735435e-28,3.6528003239019866,8.812553250299798,8.196180222784992e-31,0.40105673165806116
1,CC-discharge,17,1236.3636363636365,1236.3636363636365,3.642948268072547,-27.263836618115,-27.263836618115,33031.458603872394,14818.831783140598,5.241157934553152e-28,3.642948268072547,9.363337828443536,1.2391256443862885e-30,0.40105673165806116
1,CC-discharge,18,1309.0909090909092,1309.0909090909092,3.6333117793887664,-27.263836618115,-27.263836618115,33449.153692185195,14365.376391591339,2.4373498619317127e-27,3.6333117793887664,9.914122406587273,-3.0390537546783057e-30,0.40105673165806116
1,CC-discharge,19,1381.818181818182,1381.818181818182,3.623882534140714,-27.263836618115,-27.263836618115,33866.84878049822,13911.921000041784,2.7096406416696538e-27,3.623882534140714,10.46490698473101,9.685615362231284e-33,0.40105673165806116
1,CC-discharge,20,1454.5454545454547,1454.5454545454547,3.614651854584912,-27.263836618115,-27.263836618115,34284.54386881115,13458.465608492588,3.0570572608746295e-27,3.614651854584912,11.015691562874748,-4.469129665003434e-31,0.40105673165806116
1,CC-discharge,21,1527.2727272727275,1527.2727272727275,3.605610151047319,-27.263836618115,-27.263836618115,34702.23895712374,13005.010216943694,3.0888140890022868e-27,3.605610151047319,11.566476141018486,2.0031649270951674e-31,0.40105673165806116
1,CC-discharge,22,1600.0000000000002,1600.0000000000002,3.596746345611479,-27.263836618115,-27.263836618115,35119.934045436545,12551.554825394753,3.613947593262282e-27,3.596746345611479,12.117260719162223,1.300342002125881e-30,0.40105673165806116
1,CC-discharge,23,1672.727272727273,1672.727272727273,3.588047226001236,-27.263836618115,-27.263836618115,35537.62913374941,12098.099433845859,2.5269034262583393e-27,3.588047226001236,12.66804529730596,1.2252059113771028e-29,0.40105673165806116
1,CC-discharge,24,1745.4545454545455,1745.4545454545455,3.5794966886711888,-27.263836618115,-27.263836618115,35955.32422206257,11644.644042296462,-9.397608834340262e-28,3.5794966886711888,13.218829875449696,-9.77620806206803e-38,0.40105673165806116
1,CC-discharge,25,1818.1818181818182,1818.1818181818182,3.5710748976171525,-27.263836618115,-27.263836618115,36373.01931037539,11191.188650747325,-1.6381077036843916e-27,3.5710748976171525,13.769614453593434,1.8076276981805337e-30,0.40105673165806116
