,,,Global Time,Time,Pack Voltage,Pack Current,String 1 Iapp,String 2 Iapp,String 3 Iapp,String 4 Iapp,String 5 Iapp,String 6 Iapp,String 7 Iapp,String 8 Iapp,String 9 Iapp,String 10 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Anode SEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 1,3 Cathode Concentration","Cell 1,3 Anode Concentration","Cell 1,3 Anode SEI Length","Cell 1,3 Voltage","Cell 1,3 Capacity by Area","Cell 1,4 Cathode Concentration","Cell 1,4 Anode Concentration","Cell 1,4 Anode SEI Length","Cell 1,4 Voltage","Cell 1,4 Capacity by Area","Cell 1,5 Cathode Concentration","Cell 1,5 Anode Concentration","Cell 1,5 Anode SEI Length","Cell 1,5 Voltage","Cell 1,5 Capacity by Area","Cell 1,6 Cathode Concentration","Cell 1,6 Anode Concentration","Cell 1,6 Anode SEI Length","Cell 1,6 Voltage","Cell 1,6 Capacity by Area","Cell 1,7 Cathode Concentration","Cell 1,7 Anode Concentration","Cell 1,7 Anode SEI Length","Cell 1,7 Voltage","Cell 1,7 Capacity by Area","Cell 1,8 Cathode Concentration","Cell 1,8 Anode Concentration","Cell 1,8 Anode SEI Length","Cell 1,8 Voltage","Cell 1,8 Capacity by Area","Cell 1,9 Cathode Concentration","Cell 1,9 Anode Concentration","Cell 1,9 Anode SEI Length","Cell 1,9 Voltage","Cell 1,9 Capacity by Area","Cell 1,10 Cathode Concentration","Cell 1,10 Anode Concentration","Cell 1,10 Anode SEI Length","Cell 1,10 Voltage","Cell 1,10 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Anode SEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area","Cell 2,3 Cathode Concentration","Cell 2,3 Anode Concentration","Cell 2,3 Anode SEI Length","Cell 2,3 Voltage","Cell 2,3 Capacity by Area","Cell 2,4 Cathode Concentration","Cell 2,4 Anode Concentration","Cell 2,4 Anode SEI Length","Cell 2,4 Voltage","Cell 2,4 Capacity by Area","Cell 2,5 Cathode Concentration","Cell 2,5 Anode Concentration","Cell 2,5 Anode SEI Length","Cell 2,5 Voltage","Cell 2,5 Capacity by Area","Cell 2,6 Cathode Concentration","Cell 2,6 Anode Concentration","Cell 2,6 Anode SEI Length","Cell 2,6 Voltage","Cell 2,6 Capacity by Area","Cell 2,7 Cathode Concentration","Cell 2,7 Anode Concentration","Cell 2,7 Anode SEI Length","Cell 2,7 Voltage","Cell 2,7 Capacity by Area","Cell 2,8 Cathode Concentration","Cell 2,8 Anode Concentration","Cell 2,8 Anode SEI Length","Cell 2,8 Voltage","Cell 2,8 Capacity by Area","Cell 2,9 Cathode Concentration","Cell 2,9 Anode Concentration","Cell 2,9 Anode SEI Length","Cell 2,9 Voltage","Cell 2,9 Capacity by Area","Cell 2,10 Cathode Concentration","Cell 2,10 Anode Concentration","Cell 2,10 Anode SEI Length","Cell 2,10 Voltage","Cell 2,10 Capacity by Area"
1,CC-discharge,0,0.0,0.0,7.871390066792655,-136.319183090575,-13.701886502103216,-13.621154697756017,-13.653907797037716,-13.58940075756507,-13.65346627752615,-13.525854226663972,-13.549896853927926,-13.691364130468815,-13.649433171200153,-13.682818676325962,25777.5,22610.7,5e-09,3.9357183001636025,0.0,25777.5,22610.7,5e-09,3.935380982687012,0.0,25777.5,22610.7,5e-09,3.9365766664472663,0.0,25777.5,22610.7,5e-09,3.935909740671714,0.0,25777.5,22610.7,5e-09,3.9352317038786766,0.0,25777.5,22610.7,5e-09,3.9360839988281184,0.0,25777.5,22610.7,5e-09,3.9359542140983166,0.0,25777.5,22610.7,5e-09,3.935816679095123,0.0,25777.5,22610.7,5e-09,3.935671174227361,0.0,25777.5,22610.7,5e-09,3.9351733030114366,0.0,25777.5,22610.7,5e-09,3.935671766629053,0.0,25777.5,22610.7,5e-09,3.9360090841056428,0.0,25777.5,22610.7,5e-09,3.9348134003453885,0.0,25777.5,22610.7,5e-09,3.93548032612094,0.0,25777.5,22610.7,5e-09,3.936158362913978,0.0,25777.5,22610.7,5e-09,3.935306067964536,0.0,25777.5,22610.7,5e-09,3.9354358526943387,0.0,25777.5,22610.7,5e-09,3.935573387697532,0.0,25777.5,22610.7,5e-09,3.9357188925652937,0.0,25777.5,22610.7,5e-09,3.936216763781217,0.0
1,CC-discharge,1,72.72727272727273,72.72727272727273,7.845164042697249,-136.319183090575,-13.69506266484231,-13.608457029065475,-13.656902331839987,-13.59228708645726,-13.655036849595078,-13.5336267785424,-13.55385892218038,-13.701343529622367,-13.640641239172991,-13.681966659256647,26057.753525412252,22344.3159689942,4.999999999987702e-09,3.9226705267679387,0.27673686027217703,26060.56072070841,22345.30462323589,5.000000000008793e-09,3.9222603814729426,0.275046583099207,26056.25547658953,22347.21347612646,5.0000000000003814e-09,3.923529067929978,0.27586676897856266,26059.82421514932,22347.015583462016,5.000000000000657e-09,3.9227112857010624,0.274562503474973,26056.00606036252,22339.802974566737,4.9999999999996535e-09,3.9221844801691694,0.27584346593051745,26055.723441133643,22343.960002806503,5.000000000013117e-09,3.9230146525883365,0.27332809096168054,26055.746007061978,22343.388631034766,4.999999999997522e-09,3.922910339735908,0.2737753108697809,26056.487948525893,22343.19792437181,4.999999999973451e-09,3.922697544420637,0.27669401676859784,26060.93025763575,22347.084899126883,5.000000000018436e-09,3.922511223373597,0.27565731727649645,26060.567617081953,22343.88590893232,5.000000000016707e-09,3.9219620325772877,0.276411973086693,26061.022030390297,22347.120295479803,4.999999999989876e-09,3.9224935159293097,0.27673686027217703,26060.409208221467,22348.492137972065,5.0000000000064074e-09,3.9229036612243084,0.275046583099207,26058.892075256743,22340.260709774775,5.000000000002536e-09,3.921634974767275,0.27586676897856266,26055.358870521395,22340.49214023238,5.00000000000082e-09,3.9224527569961882,0.274562503474973,26059.665991086327,22348.2178369269,5.000000000004322e-09,3.9229795625281016,0.27584346593051745,26057.631406927343,22341.59421483934,5.0000000000248635e-09,3.9221493901089217,0.27332809096168054,26059.035431526594,22343.724883252144,5.0000000000031e-09,3.922253702961373,0.2737753108697809,26056.087755102897,22341.506157368534,4.9999999999756595e-09,3.922466498276632,0.27669401676859784,26058.583992600128,22345.153383322377,5.000000000018164e-09,3.92265281932367,0.27565731727649645,26056.006199344793,22345.168407924222,4.999999999992013e-09,3.923202010119988,0.276411973086693
1,CC-discharge,2,145.45454545454547,145.45454545454547,7.826796661400828,-136.319183090575,-13.691240024995233,-13.601350502047577,-13.658575432425907,-13.593901656962158,-13.655913390603112,-13.537981893004059,-13.55607712181566,-13.706937377145215,-13.635717678583777,-13.681488012992332,26267.133289498197,22117.52734657216,4.999999999941843e-09,3.9135282437879337,0.5533661803715462,26271.96498739164,22119.42795648435,4.999999999955575e-09,3.913070784480801,0.5498931238175206,26264.63444763609,22122.77643587102,5.000000000000523e-09,3.9143899808651246,0.5517806857893293,26270.869809327076,22122.41106444743,5.000000000000578e-09,3.9134741784674483,0.5491704705802196,26264.181411186564,22109.070888911785,5.0000000000019895e-09,3.9130408536542878,0.5517116501749436,26263.76330743189,22116.693814331546,4.999999999989074e-09,3.913860046237101,0.546778683603564,26263.756219787214,22115.681645760287,4.999999999980785e-09,3.913771411505859,0.5476130486879227,26265.12497381968,22115.257258979087,4.999999999940083e-09,3.913510402159358,0.5535453390591796,26272.658859065585,22122.677118718675,4.999999999986864e-09,3.9132977213298665,0.5511760942235345,26272.1228881743,22116.660233973675,4.99999999999498e-09,3.9127142174945506,0.552810505129612,26272.84372201385,22122.71916354668,4.999999999944644e-09,3.9132684176128945,0.5533661803715462,26271.700317606985,22125.328348937262,4.999999999953359e-09,3.913725876920028,0.5498931238175206,26269.24199131992,22109.90132374365,5.0000000000025e-09,3.912406680535703,0.5517806857893293,26263.066489209934,22110.33099846374,5.000000000000848e-09,3.91332248293338,0.5491704705802196,26270.577035924893,22124.652971877666,5.0000000000245955e-09,3.9137558077465413,0.5517116501749436,26267.097942908546,22112.31234210358,4.999999999995827e-09,3.9129366151637273,0.546778683603564,26269.504741112833,22116.304331657135,4.999999999986292e-09,3.9130252498949694,0.5476130486879227,26264.42550164398,22112.123923735027,4.999999999942338e-09,3.9132862592414703,0.5535453390591796,26268.559882732512,22119.10136033035,4.999999999986148e-09,3.913498940070963,0.5511760942235345,26264.152419356375,22119.03494176938,4.999999999977122e-09,3.9140824439062785,0.552810505129612
1,CC-discharge,3,218.1818181818182,218.1818181818182,7.809310997317099,-136.319183090575,-13.688141674668413,-13.595593566557122,-13.65992942963777,-13.595209364256487,-13.65662152012479,-13.5415124659976,-13.557874537688928,-13.711473225455293,-13.631727730909551,-13.681099575279063,26475.54201965127,21890.812407837682,5.000000000066097e-09,3.9048225325381862,0.8299255914792598,26482.340370594044,21893.678230949954,4.999999999830254e-09,3.904322149237938,0.8246097305711034,26472.12595389554,21898.324391695063,5.000000000001149e-09,3.905688580746969,0.827725179345528,26481.015860012358,21897.79232928903,4.9999999999966236e-09,3.9046838368232124,0.8238079556430342,26471.458709793573,21878.336508031254,5.000000000122877e-09,3.9043331514019832,0.8275958411923972,26470.956295320582,21889.368218055184,5.000000000099683e-09,3.905143931809786,0.8203089296540858,26470.888637174816,21887.95027470959,4.999999999883032e-09,3.9050691235719,0.8214913482788782,26472.929718700805,21887.23777112853,5.000000000090129e-09,3.904764678611376,0.8304989815096897,26483.389193729356,21898.360159848573,4.999999999863407e-09,3.9045281558785816,0.8266048357335681,26482.74576522383,21889.454256898905,5.000000000007058e-09,3.903913074242407,0.829200278748515,26483.68305485391,21898.390939604957,5.000000000078e-09,3.904488464778913,0.8299255914792598,26481.9630942371,21902.289976499775,4.999999999838428e-09,3.9049888480791606,0.8246097305711034,26478.696048542228,21879.526537875092,5.000000000004524e-09,3.9036224165701308,0.827725179345528,26469.88879191973,21880.155288848746,5.000000000005635e-09,3.904627160493886,0.8238079556430342,26480.578226976177,21901.085882899544,5.000000000156582e-09,3.9049778459151154,0.8275958411923972,26475.711792864025,21882.970534662632,5.000000000108381e-09,3.904167065507312,0.8203089296540858,26479.08587806467,21888.85942495994,4.999999999889326e-09,3.9042418737451987,0.8214913482788782,26471.932161634577,21882.66236914587,5.000000000093018e-09,3.9045463187057234,0.8304989815096897,26477.54576985433,21893.140824328002,4.999999999871021e-09,3.904782841438518,0.8266048357335681,26471.38127014065,21892.921078815827,5.000000000059396e-09,3.9053979230746907,0.829200278748515
1,CC-discharge,4,290.90909090909093,290.90909090909093,7.792535185676254,-136.319183090575,-13.68555389627288,-13.590786980684202,-13.66105893019347,-13.596300987423495,-13.657211342399684,-13.54446174446595,-13.5593756321193,-13.715262873415174,-13.62839567875439,-13.680775024846461,26683.892328460115,21664.14190340948,5.000000000093174e-09,3.8964684126407905,1.1064275669433135,26692.622248301373,21668.011123860637,4.999999999801566e-09,3.895928514442513,1.0992196350886927,26679.615565513173,21673.853306225923,5.00000000000082e-09,3.897339650047936,1.1036947587377628,26691.159490646703,21673.15509633029,4.99999999999887e-09,3.8962530306544707,1.0984696763670745,26678.725945188922,21647.59197010154,5.000000000259344e-09,3.8959765209793877,1.1034931428340586,26678.17532979729,21661.991601150577,4.99999999995217e-09,3.8967809034468215,1.0939046287496772,26678.024958106744,21660.192991257,4.999999999783857e-09,3.8967184769994727,1.095402966155729,26680.772738545,21659.153301843413,4.9999999999445525e-09,3.896374320804092,1.1075367198821189,26694.048809613643,21674.100003016923,4.999999999588244e-09,3.8961159099362126,1.1019596176493656,26693.344352303484,21662.25399345524,4.999999999884862e-09,3.89547137624217,1.1055828504669547,26694.463285000955,21674.106682192927,5.000000000104297e-09,3.8960667730354634,1.1064275669433135,26692.132415422606,21679.333230224394,4.999999999807479e-09,3.8966066712337413,1.0992196350886927,26688.148193201567,21649.13220825995,5.00000000000856e-09,3.8951955356283188,1.1036947587377628,26676.708712855365,21649.960623806823,5.0000000000051965e-09,3.896282155021784,1.0984696763670745,26690.56922257228,21677.508952379983,5.000000000268522e-09,3.896558664696867,1.1034931428340586,26684.351868026803,21653.577254078027,5.00000000005559e-09,3.895754282229432,1.0939046287496772,26688.670964708446,21661.388638456036,4.999999999791291e-09,3.8958167086767808,1.095402966155729,26679.47704168429,21653.13542216003,4.999999999944042e-09,3.8961608648721633,1.1075367198821189,26686.461523614475,21667.237506555033,4.999999999594651e-09,3.8964192757400413,1.1019596176493656,26678.586222369046,21666.812902030742,4.999999999886999e-09,3.8970638094340835,1.1055828504669547
1,CC-discharge,5,363.6363636363637,363.6363636363637,7.776375512776076,-136.319183090575,-13.683365384436387,-13.586723008109486,-13.662013207372906,-13.597223731443805,-13.657708949400561,-13.54695640707285,-13.560645146118523,-13.718468744714107,-13.625577985046265,-13.680500526860103,26892.207953884932,21437.50876665402,4.999999999960258e-09,3.888419671136887,1.3828812970514879,26902.839955432846,21442.413580352488,4.999999999954444e-09,3.8878430090695746,1.3737399380058006,26887.118171361868,21449.366055625393,5.000000000001412e-09,3.8892968022795964,1.3796853863899485,26901.31586604433,21448.50214770404,4.999999999998278e-09,3.888134018013202,1.373151744234421,26885.9992545716,21416.83876368944,5.000000000231271e-09,3.887924846637298,1.3794014286098188,26885.430964630552,21434.571814278574,4.999999999819932e-09,3.8887244558512886,1.367555317149059,26885.179161521883,21432.413727365092,4.999999999806895e-09,3.88867324471858,1.369342569976313,26888.662740377575,21431.013875397904,4.999999999908505e-09,3.8882923876682605,1.384645120065243,26904.663519971902,21449.887644480863,4.999999999665238e-09,3.8880136640124414,1.3772522809200793,26903.937247669626,21435.05843153728,5.000000000253495e-09,3.887341397820325,1.3819593711912634,26905.20842726275,21449.859399068708,4.999999999972595e-09,3.8879558416391893,1.3828812970514879,26902.237600380016,21456.445212041093,4.999999999960627e-09,3.8885325037065024,1.3737399380058006,26897.613454997612,21418.72128695559,5.000000000008745e-09,3.887078710496481,1.3796853863899485,26883.541176977986,21419.749854297595,5.000000000003303e-09,3.8882414947628754,1.373151744234421,26900.56637197559,21453.9236226476,5.0000000002499724e-09,3.88845066613878,1.3794014286098188,26893.028794539703,21424.140420639527,4.999999999926686e-09,3.887651056924789,1.367555317149059,26898.274145241987,21433.89589916244,4.999999999813379e-09,3.8877022680574984,1.369342569976313,26887.068836329734,21423.5531704465,4.999999999907334e-09,3.8880831251078165,1.384645120065243,26895.33274358071,21441.38233729734,4.9999999996725565e-09,3.888361848763637,1.3772522809200793,26885.78557460161,21440.709404171932,5.000000000145986e-09,3.8890341149557512,1.3819593711912634
1,CC-discharge,6,436.3636363636364,436.3636363636364,7.760758875428945,-136.319183090575,-13.681494619134181,-13.583249694155867,-13.662828261443005,-13.59801213437653,-13.658133378079286,-13.549089238019285,-13.56173043631413,-13.72120986616962,-13.623169564750434,-13.680265898132642,27100.495059565685,21210.907509112036,5.0000000000613264e-09,3.8806402381205407,1.6592940243602814,27113.003947717283,21216.875373451745,4.999999999862664e-09,3.8800290728921754,1.6481841067155516,27094.633012377046,21224.865023471117,5.000000000001842e-09,3.8815238328711126,1.6556938860749577,27111.4842821992,21223.835795516305,4.999999999997243e-09,3.880289582238712,1.6478510964144242,27093.27887639594,21186.07817630737,5.000000000246226e-09,3.8801421353155483,1.655319027877292,27092.719034607457,21207.115188029406,4.999999999811082e-09,3.880938298784025,1.6412527479075654,27092.349789771208,21204.615707215726,4.999999999797385e-09,3.880897345807072,1.643305959697855,27096.594063200195,21202.827547078286,4.999999999784731e-09,3.880482263569948,1.6618135908822502,27115.24098478892,21225.71606116645,4.999999999678122e-09,3.8801845206073042,1.65249215516045,27114.52642700573,21207.866878858993,5.0000000001734094e-09,3.879485939755578,1.6583307492214932,27115.924717163904,21225.64365955517,5.000000000074257e-09,3.8801186373084047,1.6592940243602814,27112.28909924255,21233.615817805974,4.999999999862465e-09,3.88072980253677,1.6481841067155516,27107.091067686084,21188.296220436256,5.000000000013719e-09,3.879235042557832,1.6556938860749577,27090.385491416964,21189.52534962833,5.00000000000437e-09,3.8804692931902327,1.6478510964144242,27110.569916774126,21230.331141219416,5.000000000288916e-09,3.880616740113396,1.655319027877292,27101.73837862538,21194.666421086265,4.999999999967258e-09,3.8798205766449194,1.6412527479075654,27107.893944784137,21206.384427205572,4.999999999807565e-09,3.879861529621872,1.643305959697855,27094.701892691995,21193.92372023748,4.9999999997860325e-09,3.880276611858997,1.6618135908822502,27104.167026328094,21215.568242022757,4.999999999690384e-09,3.880574354821641,1.65249215516045,27092.981270685177,21214.609896281614,5.000000000122267e-09,3.8812729356733664,1.6583307492214932
1,CC-discharge,7,509.0909090909091,509.0909090909091,7.745624059597533,-136.319183090575,-13.679879743161996,-13.580251856797258,-13.663531351796989,-13.598692386307675,-13.65849902924931,-13.550930642413158,-13.562667397867799,-13.723576595642472,-13.62109070435735,-13.680063382981007,27308.757625140744,20984.33372188138,5.000000000016787e-09,3.873099885430871,1.9356715431713538,27323.121649071643,20991.388289957154,4.999999999826286e-09,3.8724560937818415,1.9225629102605328,27302.158499914356,21000.352124083398,5.000000000001926e-09,3.873990403596738,1.9317177205521294,27321.66318049189,20999.157898734255,4.999999999998286e-09,3.8726885907781785,1.9225652834920426,27300.56402632483,20955.311241505162,5.000000000223016e-09,3.8725982227624174,1.931244607749298,27300.035206633936,20979.626811888804,5.000000000033194e-09,3.873392029367967,1.914990322457388,27299.534691445726,20976.80152276822,4.999999999801894e-09,3.8733605430091878,1.9172897762047432,27304.561165244402,20974.60079382945,4.999999999710164e-09,3.8729132902494188,1.9390336561530794,27325.78637720372,21001.579611628546,4.999999999845422e-09,3.8725976007942164,1.9276867033332559,27325.112486932325,20980.678780566974,5.0000000004139395e-09,3.871873887667988,1.9346977116569846,27326.616180756864,21001.455101161704,5.000000000029915e-09,3.872524174166662,1.9356715431713538,27322.294331952944,21010.836932963302,4.999999999826734e-09,3.873167965815691,1.9225629102605328,27316.579427596393,20957.858973535163,5.000000000015318e-09,3.8716336560007942,1.9317177205521294,27297.24012220454,20959.28901475617,5.000000000005043e-09,3.8729354688193536,1.9225652834920426,27320.579062323883,21006.73250954093,5.000000000252888e-09,3.8730258368351156,1.931244607749298,27310.47625747526,20965.160390044002,5.000000000245687e-09,3.8722320302295663,1.914990322457388,27317.528186491905,20978.85681128303,4.999999999811543e-09,3.872263516588344,1.9172897762047432,27302.37067695261,20964.25358943862,4.999999999709746e-09,3.8727107693481138,1.9390336561530794,27312.969502171974,20989.789537950543,4.999999999856997e-09,3.873026458803316,1.9276867033332559,27300.17389762615,20988.51382617275,5.000000000285067e-09,3.873750171929545,1.9346977116569846
1,CC-discharge,8,581.8181818181819,581.8181818181819,7.730919454213012,-136.319183090575,-13.678473241155285,-13.577641094368824,-13.66414337911696,-13.599284597967737,-13.65881693731383,-13.55253470066118,-13.563483578841968,-13.725638365298805,-13.619280186458976,-13.679887009391418,27516.998816699484,20757.783821936548,5.0000000000716e-09,3.865773107403002,2.2120185430129427,27533.199029550422,20765.945657209697,4.9999999997584774e-09,3.8650982636508635,2.1968850612824125,27509.693265101756,20775.828911292665,4.99999999999917e-09,3.866670917875457,2.20775483904621,27531.851214318325,20774.469967650894,5.000000000001733e-09,3.865304820159476,2.197292323737249,27507.853991048964,20724.53879713813,5.0000000002206505e-09,3.8652676568362287,2.2071770922600367,27507.375873659785,20752.110822598563,5.0000000000254616e-09,3.8660600022637905,2.1887626996601592,27506.732037687885,20748.973280338243,4.999999999800069e-09,3.866037322917984,2.1912913012220137,27512.559453641563,20746.3388809243,4.999999999675859e-09,3.865559620871615,2.2162984537383448,27536.30383456771,20777.473711578736,4.9999999998555975e-09,3.8652268839368635,2.202841964856653,27535.69583614038,20753.493685881174,5.000000000412751e-09,3.864479036352317,2.211060846933474,27537.286021055013,20777.290178582803,5.000000000081428e-09,3.8651463468100107,2.2120185430129427,27532.259265369936,20788.101964994486,4.999999999754818e-09,3.86582119056215,2.1968850612824125,27526.077152909136,20727.411141085948,5.000000000014882e-09,3.864248536337556,2.20775483904621,27504.10374403477,20729.042397338413,5.000000000004077e-09,3.8656146340535376,2.197292323737249,27530.593085941582,20783.128539440993,5.000000000236884e-09,3.8656517973767843,2.2071770922600367,27519.23879930346,20735.626500943086,5.000000000250266e-09,3.864859451949222,2.1887626996601592,27527.17501988714,20751.315155062068,4.9999999998103e-09,3.86488213129503,2.1912913012220137,27510.07060283141,20734.54807662272,4.999999999677416e-09,3.8653598333413965,2.2162984537383448,27521.744274214845,20764.04160720343,4.999999999867125e-09,3.865692570276148,2.202841964856653,27507.363857529665,20762.420745232233,5.000000000173275e-09,3.8664404178606966,2.211060846933474
1,CC-discharge,9,654.5454545454546,654.5454545454546,7.716601320491929,-136.319183090575,-13.677238216649245,-13.575348808171647,-13.664680546810262,-13.599804384032954,-13.659095653278756,-13.553943405508374,-13.564200355131783,-13.727449104745098,-13.617690482653408,-13.67973213359346,27725.22123521612,20531.254866311006,5.000000000114487e-09,3.85863827316192,2.488338860768544,27743.24099794225,20540.541995653144,4.999999999686261e-09,3.8579337124109268,2.4711576865605993,27717.236176088736,20551.296659977656,4.9999999999998644e-09,3.859543669038674,2.483803565570727,27742.047269294922,20549.77324233865,5.000000000002701e-09,3.8581160669328773,2.4720305962827105,27715.14817878476,20493.761529686697,5.000000000241049e-09,3.8581288517679786,2.4831156032761235,27714.738059263098,20524.570618494003,5.000000000122789e-09,3.8589204741746252,2.462565508813387,27713.940316558503,20521.132710116046,4.999999999770229e-09,3.85890604790397,2.4653083106560922,27720.58513972716,20518.046134262207,4.999999999655565e-09,3.8583993525510794,2.4936023675771724,27746.796757319324,20553.394595890575,4.999999999838106e-09,3.8580503296401347,2.477962880706273,27746.276804892343,20526.311224786645,5.0000000003935875e-09,3.857279200312823,2.4874206362565534,27747.93686936727,20553.145979835015,5.000000000123565e-09,3.8579630473300086,2.488338860768544,27742.18880565484,20565.405500155746,4.99999999968374e-09,3.8586676080810016,2.4711576865605993,27735.583101068074,20496.954031608057,5.000000000014201e-09,3.8570576514532533,2.483803565570727,27710.975260149637,20498.78676812701,5.000000000001897e-09,3.858485253559052,2.4720305962827105,27740.61138806678,20559.51989607581,5.000000000268577e-09,3.8584724687239507,2.4831156032761235,27728.02300727653,20506.068182260253,5.00000000035344e-09,3.8576808463173022,2.462565508813387,27736.832915156378,20523.76118655549,4.999999999780665e-09,3.85769527258796,2.4653083106560922,27717.797887097688,20504.81153504787,4.999999999657095e-09,3.8582019679408495,2.4936023675771724,27730.494714745062,20538.320657067703,4.999999999852473e-09,3.8585509908517936,2.477962880706273,27714.551475336513,20536.330285224212,5.000000000144361e-09,3.859322120179105,2.4874206362565534
