,,Global Time,Time,Cell1 Cathode vConcentration,Cell1 Anode vConcentration,Cell1 Anode vSEI Length,Cell1 Voltage,Current
C2,13,12487.64165472926,945.4545454545455,31645.26820872729,16207.40017547549,5.30624519478467e-09,4.101000000000001,8.32911223604053
C2,14,12560.368927456531,1018.1818181818182,31521.171456326963,16342.752173354056,5.310737524657763e-09,4.101,8.057327630223575
C2,15,12633.096200183805,1090.909090909091,31401.070515382416,16473.732120685552,5.315139223021628e-09,4.101,7.7985101110489605
C2,16,12705.823472911077,1163.6363636363637,31284.777608339962,16600.546152468778,5.319454379263233e-09,4.101,7.551817073865142
C2,17,12778.55074563835,1236.3636363636365,31172.11702007748,16723.387130126674,5.323686821534934e-09,4.101,7.316471839429403
C2,18,12851.278018365623,1309.0909090909092,31062.924167562167,16842.435666036967,5.327840137826049e-09,4.101,7.091757490234215
C2,19,12924.005291092895,1381.818181818182,30957.04474911243,16957.861061144664,5.331917695049137e-09,4.101000000000001,6.877011783734641
C2,20,12996.732563820167,1454.5454545454547,30854.333973315956,17069.822154819387,5.335922656192365e-09,4.101000000000001,6.6716225273265275
C2,21,13069.459836547441,1527.2727272727275,30754.656403008594,17178.46750062564,5.33985798388008e-09,4.100999999999998,6.475024439231485
C2,22,13142.187109274713,1600.0000000000002,30657.883976178746,17283.93753965895,5.343726483658511e-09,4.101,6.286692658392574
C2,23,13214.914382001985,1672.727272727273,30563.896342434553,17386.364231973585,5.347530796498726e-09,4.101000000000001,6.106141121678078
C2,24,13287.64165472926,1745.4545454545455,30472.58014169878,17485.87185297624,5.351273414529652e-09,4.100999999999999,5.932919020589241
C2,25,13360.368927456531,1818.1818181818182,30383.828501035736,17582.57754714948,5.354956691853845e-09,4.101,5.766607892784788
C2,26,13433.096200183805,1890.909090909091,30297.540573505175,17676.59183599804,5.358582854432138e-09,4.101,5.606818974877486
C2,27,13505.823472911077,1963.6363636363637,30213.621114453086,17768.019084670785,5.362154009128571e-09,4.101000000000001,5.453190791042766
C2,28,13578.55074563835,2036.3636363636365,30131.98009197145,17856.957930901906,5.365672151996938e-09,4.101,5.30538695578863
C2,29,13651.278018365623,2109.0909090909095,30052.532328494603,17943.501679608413,5.3691391758815835e-09,4.100999999999999,5.1630941710194085
C2,30,13724.005291092895,2181.818181818182,29975.19717079483,18027.738666172245,5.372556877397322e-09,4.101,5.026020399324899
C2,31,13796.73256382017,2254.545454545455,29899.898185887752,18109.752591152537,5.375926963346536e-09,4.101000000000001,4.8938931970815895
