Cycle,Pack Capacity,"Cell 1,1"
1,26.572507014290377,26.572507014290377
2,26.253679905687136,26.253679905687136
3,26.245206509824683,26.245206509824683
4,26.236746605585957,26.236746605585957
5,26.228271213316035,26.228271213316035
6,26.219804973203328,26.219804973203328
7,26.21132707160942,26.21132707160942
8,26.202854380290837,26.202854380290837
9,26.194375454734924,26.194375454734924
10,26.185896749824558,26.185896749824558
11,26.177415585105685,26.177415585105685
12,26.16893097111828,26.16893097111828
13,26.160449402139562,26.160449402139562
14,26.151957862416953,26.151957862416953
15,26.14347454319672,26.14347454319672
16,26.134977039119228,26.134977039119228
17,26.12649235487966,26.12649235487966
18,26.11798842483029,26.11798842483029
19,26.109502932112033,26.109502932112033
20,26.100992541034355,26.100992541034355
21,26.092502760511262,26.092502760511262
22,26.083989902746954,26.083989902746954
23,26.075492890388546,26.075492890388546
24,26.066978673765245,26.066978673765245
25,26.05847473835245,26.05847473835245
26,26.049959847830017,26.049959847830017
27,26.041449801607865,26.041449801607865
28,26.0329346903546,26.0329346903546
29,26.024418415443414,26.024418415443414
30,26.01590278198872,26.01590278198872
31,26.00737947255462,26.00737947255462
32,25.99886318175314,25.99886318175314
33,25.990333118745436,25.990333118745436
34,25.981816397140555,25.981816397140555
35,25.973279337204467,25.973279337204467
36,25.964762219597574,25.964762219597574
37,25.95621846610465,25.95621846610465
38,25.947694586253732,25.947694586253732
39,25.93915076133663,25.93915076133663
40,25.93062003944052,25.93062003944052
41,25.922076401613705,25.922076401613705
42,25.91353883589582,25.91353883589582
43,25.90499507776773,25.90499507776773
44,25.896450621270795,25.896450621270795
45,25.887907096742378,25.887907096742378
46,25.879355704274808,25.879355704274808
47,25.87081260329625,25.87081260329625
48,25.862254023139275,25.862254023139275
49,25.853711363403725,25.853711363403725
50,25.845145738062755,25.845145738062755
51,25.836599706568954,25.836599706568954
52,25.828030457668287,25.828030457668287
53,25.819477457818806,25.819477457818806
54,25.810909125750744,25.810909125750744
55,25.80234870656255,25.80234870656255
56,25.793780427917362,25.793780427917362
57,25.785212749646917,25.785212749646917
58,25.77664581832058,25.77664581832058
59,25.768071593151586,25.768071593151586
60,25.75950549777208,25.75950549777208
61,25.7509234487243,25.7509234487243
62,25.742358599706872,25.742358599706872
63,25.73376907310571,25.73376907310571
64,25.72519907227393,25.72519907227393
65,25.71660808146944,25.71660808146944
66,25.708030659327328,25.708030659327328
67,25.699441285308637,25.699441285308637
68,25.690856853421828,25.690856853421828
69,25.682268780372457,25.682268780372457
70,25.673676644585907,25.673676644585907
71,25.66509008673553,25.66509008673553
72,25.656490392337243,25.656490392337243
73,25.64790511941095,25.64790511941095
74,25.639297542714573,25.639297542714573
75,25.630709221542133,25.630709221542133
76,25.622098605070455,25.622098605070455
77,25.613503800341963,25.613503800341963
78,25.60489510764977,25.60489510764977
79,25.596291819656187,25.596291819656187
80,25.587684823575557,25.587684823575557
81,25.579073908933754,25.579073908933754
82,25.570468016319946,25.570468016319946
83,25.561849218757654,25.561849218757654
84,25.553246985365373,25.553246985365373
85,25.544621086521566,25.544621086521566
86,25.536014626473044,25.536014626473044
87,25.527387073041865,25.527387073041865
88,25.518771761346432,25.518771761346432
89,25.510146085585397,25.510146085585397
90,25.50152266617292,25.50152266617292
91,25.492899453089308,25.492899453089308
92,25.484268547880433,25.484268547880433
93,25.475648230139797,25.475648230139797
94,25.46700942841337,25.46700942841337
95,25.458390149723115,25.458390149723115
96,25.449744987870954,25.449744987870954
97,25.441117448305842,25.441117448305842
98,25.432474940465998,25.432474940465998
99,25.423839049366414,25.423839049366414
100,25.415199312536437,25.415199312536437
