Cycle,Protocol,Stamps,Time,Global Time,Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area"
1,CC-discharge,0,0.0,0.0,3.866102522392951,-27.263836618115,-27.263836618115,25777.5,22610.7,0.0,3.866102522392951,0.0
1,CC-discharge,1,72.72727272727273,72.72727272727273,3.840775460612007,-27.263836618115,-27.263836618115,26342.619868029444,22076.19990380423,1.5240410499457193e-26,3.840775460612007,0.5507845781437374
1,CC-discharge,2,145.45454545454547,145.45454545454547,3.823846924629047,-27.263836618115,-27.263836618115,26762.207934197566,21622.72015805413,1.0515150279099644e-26,3.823846924629047,1.1015691562874748
1,CC-discharge,3,218.1818181818182,218.1818181818182,3.8081641442800436,-27.263836618115,-27.263836618115,27179.934179273165,21169.26481790352,1.2721579810189947e-26,3.8081641442800436,1.652353734431212
1,CC-discharge,4,290.90909090909093,290.90909090909093,3.793416610246249,-27.263836618115,-27.263836618115,27597.631671009032,20715.809427109638,1.2860810589943918e-26,3.793416610246249,2.2031383125749495
1,CC-discharge,5,363.6363636363637,363.6363636363637,3.7794140791714907,-27.263836618115,-27.263836618115,28015.3269454786,20262.35403557136,1.585366528660536e-26,3.7794140791714907,2.753922890718687
1,CC-discharge,6,436.3636363636364,436.3636363636364,3.766025179828431,-27.263836618115,-27.263836618115,28433.022048275474,19808.898644022196,1.5865854466378227e-26,3.766025179828431,3.304707468862424
1,CC-discharge,7,509.0909090909091,509.0909090909091,3.7531581587133513,-27.263836618115,-27.263836618115,28850.717137720552,19355.443252472625,1.5048400836984873e-26,3.7531581587133513,3.8554920470061615
1,CC-discharge,8,581.8181818181819,581.8181818181819,3.7407304395680656,-27.263836618115,-27.263836618115,29268.412226122033,18901.987860923633,1.616310425927211e-26,3.7407304395680656,4.406276625149899
1,CC-discharge,9,654.5454545454546,654.5454545454546,3.7286927090331115,-27.263836618115,-27.263836618115,29686.10731444164,18448.532469374113,1.7570995648813686e-26,3.7286927090331115,4.9570612032936365
1,CC-discharge,10,727.2727272727274,727.2727272727274,3.7170033227887003,-27.263836618115,-27.263836618115,30103.802402755,17995.077077825026,1.7466729891932394e-26,3.7170033227887003,5.507845781437374
1,CC-discharge,11,800.0000000000001,800.0000000000001,3.7056302545158495,-27.263836618115,-27.263836618115,30521.4974910677,17541.62168627535,1.7992529614717783e-26,3.7056302545158495,6.0586303595811115
1,CC-discharge,12,872.7272727272727,872.7272727272727,3.694548648719406,-27.263836618115,-27.263836618115,30939.192579381022,17088.166294725743,1.8475754590299877e-26,3.694548648719406,6.609414937724848
1,CC-discharge,13,945.4545454545455,945.4545454545455,3.6837390052917405,-27.263836618115,-27.263836618115,31356.887667693947,16634.710903176583,1.8897466900742333e-26,3.6837390052917405,7.160199515868586
1,CC-discharge,14,1018.1818181818182,1018.1818181818182,3.6731858027605893,-27.263836618115,-27.263836618115,31774.582756006712,16181.25551162737,1.9480756698596924e-26,3.6731858027605893,7.710984094012323
1,CC-discharge,15,1090.909090909091,1090.909090909091,3.6628764284980178,-27.263836618115,-27.263836618115,32192.27784431949,15727.800120078255,1.975753831130029e-26,3.6628764284980178,8.26176867215606
1,CC-discharge,16,1163.6363636363637,1163.6363636363637,3.652800322517142,-27.263836618115,-27.263836618115,32609.97293263198,15274.3447285289,1.9509609487972276e-26,3.652800322517142,8.812553250299798
