Cycle,Protocol,Stamps,Time,Global Time,Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area"
1,CC-discharge,0,0.0,0.0,3.865701465686571,-27.263836618115,-27.263836618115,25777.5,22610.7,5e-09,3.865701465686571,0.0
1,CC-discharge,1,72.72727272727273,72.72727272727273,3.8403744038803462,-27.263836618115,-27.263836618115,26342.61986802943,22076.19990380423,5e-09,3.8403744038803462,0.5507845781437374
1,CC-discharge,2,145.45454545454547,145.45454545454547,3.823445867897397,-27.263836618115,-27.263836618115,26762.2079341974,21622.720158054766,5e-09,3.823445867897397,1.1015691562874748
1,CC-discharge,3,218.1818181818182,218.1818181818182,3.807763087548376,-27.263836618115,-27.263836618115,27179.93417927359,21169.264817904404,5e-09,3.807763087548376,1.652353734431212
1,CC-discharge,4,290.90909090909093,290.90909090909093,3.793015553514581,-27.263836618115,-27.263836618115,27597.63167100937,20715.809427109696,5e-09,3.793015553514581,2.2031383125749495
1,CC-discharge,5,363.6363636363637,363.6363636363637,3.7790130224398286,-27.263836618115,-27.263836618115,28015.32694547878,20262.354035571483,5e-09,3.7790130224398286,2.753922890718687
1,CC-discharge,6,436.3636363636364,436.3636363636364,3.7656241230967766,-27.263836618115,-27.263836618115,28433.02204827527,19808.89864402221,5e-09,3.7656241230967766,3.304707468862424
1,CC-discharge,7,509.0909090909091,509.0909090909091,3.7527571019817056,-27.263836618115,-27.263836618115,28850.717137720207,19355.443252472884,5e-09,3.7527571019817056,3.8554920470061615
1,CC-discharge,8,581.8181818181819,581.8181818181819,3.7403293828364035,-27.263836618115,-27.263836618115,29268.41222612217,18901.98786092354,5e-09,3.7403293828364035,4.406276625149899
1,CC-discharge,9,654.5454545454546,654.5454545454546,3.728291652301434,-27.263836618115,-27.263836618115,29686.10731444255,18448.532469374084,5e-09,3.728291652301434,4.9570612032936365
1,CC-discharge,10,727.2727272727274,727.2727272727274,3.7166022660570257,-27.263836618115,-27.263836618115,30103.802402755722,17995.077077824906,5e-09,3.7166022660570257,5.507845781437374
1,CC-discharge,11,800.0000000000001,800.0000000000001,3.7052291977841643,-27.263836618115,-27.263836618115,30521.497491068734,17541.621686275088,5e-09,3.7052291977841643,6.0586303595811115
1,CC-discharge,12,872.7272727272727,872.7272727272727,3.6941475919877322,-27.263836618115,-27.263836618115,30939.19257938174,17088.166294725812,5e-09,3.6941475919877322,6.609414937724848
1,CC-discharge,13,945.4545454545455,945.4545454545455,3.6833379485600606,-27.263836618115,-27.263836618115,31356.887667694824,16634.710903176914,5e-09,3.6833379485600606,7.160199515868586
1,CC-discharge,14,1018.1818181818182,1018.1818181818182,3.6727847460289227,-27.263836618115,-27.263836618115,31774.582756007272,16181.255511627754,5e-09,3.6727847460289227,7.710984094012323
1,CC-discharge,15,1090.909090909091,1090.909090909091,3.6624753717663348,-27.263836618115,-27.263836618115,32192.27784432068,15727.800120078375,5e-09,3.6624753717663348,8.26176867215606
1,CC-discharge,16,1163.6363636363637,1163.6363636363637,3.652399265785451,-27.263836618115,-27.263836618115,32609.972932633456,15274.344728528868,5e-09,3.652399265785451,8.812553250299798
1,CC-discharge,17,1236.3636363636365,1236.3636363636365,3.642547211134955,-27.263836618115,-27.263836618115,33027.668020945435,14820.889336979239,5e-09,3.642547211134955,9.363337828443536
1,CC-discharge,18,1309.0909090909092,1309.0909090909092,3.632910720047126,-27.263836618115,-27.263836618115,33445.36310925852,14367.433945430124,5e-09,3.632910720047126,9.914122406587273
1,CC-discharge,19,1381.818181818182,1381.818181818182,3.623481475822217,-27.263836618115,-27.263836618115,33863.05819757169,13913.978553880552,5e-09,3.623481475822217,10.46490698473101
1,CC-discharge,20,1454.5454545454547,1454.5454545454547,3.6142507969498396,-27.263836618115,-27.263836618115,34280.7532858846,13460.52316233153,5e-09,3.6142507969498396,11.015691562874748
