Cycle,Pack Capacity,"Cell 1,1"
1,26.85717026087908,26.85717026087908
2,18.351031147644978,18.351031147644978
3,18.341787249935283,18.341787249935283
4,18.332526835976253,18.332526835976253
5,18.323270562330404,18.323270562330404
6,18.31401962893798,18.31401962893798
7,18.304764290250677,18.304764290250677
8,18.295503384313164,18.295503384313164
9,18.28624712871066,18.28624712871066
10,18.276993716031246,18.276993716031246
