Cycle,Pack Capacity,"Cell 1,1"
1,26.571445555806882,26.571445555806882
2,26.251551625877525,26.251551625877525
3,26.243100754504663,26.243100754504663
4,26.2346258533014,26.2346258533014
5,26.22617030185298,26.22617030185298
6,26.217685132284945,26.217685132284945
7,26.20921950395816,26.20921950395816
8,26.20074403308815,26.20074403308815
9,26.192278368044654,26.192278368044654
10,26.18384181161244,26.18384181161244
11,26.175327075248894,26.175327075248894
12,26.166823688805543,26.166823688805543
13,26.158400945436465,26.158400945436465
14,26.149896595845355,26.149896595845355
15,26.14135976542237,26.14135976542237
16,26.13287445090011,26.13287445090011
17,26.124373674197365,26.124373674197365
18,26.115881186113235,26.115881186113235
19,26.10739234175471,26.10739234175471
20,26.09890320701435,26.09890320701435
21,26.090395033410722,26.090395033410722
22,26.081897564433998,26.081897564433998
23,26.073384001658116,26.073384001658116
24,26.064895752202947,26.064895752202947
25,26.056379627158897,26.056379627158897
26,26.047877626975215,26.047877626975215
27,26.03934304101397,26.03934304101397
28,26.030827361332772,26.030827361332772
29,26.022301474677125,26.022301474677125
30,26.013785003533695,26.013785003533695
31,26.00527282065944,26.00527282065944
32,25.99675001075006,25.99675001075006
33,25.988221215579465,25.988221215579465
34,25.979717133187666,25.979717133187666
35,25.97119255030745,25.97119255030745
36,25.962664891340065,25.962664891340065
37,25.954138034622503,25.954138034622503
38,25.94560521989596,25.94560521989596
39,25.937079197405936,25.937079197405936
40,25.928534656279943,25.928534656279943
41,25.920013279002816,25.920013279002816
42,25.91146217179431,25.91146217179431
43,25.90292938448109,25.90292938448109
44,25.89438106534649,25.89438106534649
45,25.885837282485053,25.885837282485053
46,25.877271470476547,25.877271470476547
47,25.86872018882068,25.86872018882068
48,25.860173367981364,25.860173367981364
49,25.851623213724416,25.851623213724416
50,25.843081168477404,25.843081168477404
51,25.8345162822764,25.8345162822764
52,25.825953027665108,25.825953027665108
53,25.81737806797948,25.81737806797948
54,25.808856650293187,25.808856650293187
55,25.80028726285367,25.80028726285367
56,25.791724112099242,25.791724112099242
57,25.783175850586396,25.783175850586396
58,25.77461930576085,25.77461930576085
59,25.766046961714164,25.766046961714164
60,25.75746933320725,25.75746933320725
61,25.748896955163687,25.748896955163687
62,25.740322810515295,25.740322810515295
63,25.731758833582685,25.731758833582685
64,25.723206440107326,25.723206440107326
65,25.714591776625376,25.714591776625376
66,25.705965234897423,25.705965234897423
67,25.697401012892353,25.697401012892353
68,25.68888479249783,25.68888479249783
69,25.68031370879523,25.68031370879523
70,25.67166653428357,25.67166653428357
71,25.66303394046682,25.66303394046682
72,25.654440545482753,25.654440545482753
73,25.645911154575053,25.645911154575053
74,25.63734973771598,25.63734973771598
75,25.628680544236015,25.628680544236015
76,25.620102892309465,25.620102892309465
77,25.611453777638825,25.611453777638825
78,25.602862706351125,25.602862706351125
79,25.594253175613794,25.594253175613794
80,25.58565894294679,25.58565894294679
81,25.577045622703253,25.577045622703253
82,25.568438299953108,25.568438299953108
83,25.559830631893394,25.559830631893394
84,25.551218217544086,25.551218217544086
85,25.542610927163526,25.542610927163526
86,25.533981785426686,25.533981785426686
87,25.52537341593546,25.52537341593546
88,25.516745924781056,25.516745924781056
89,25.508140061821333,25.508140061821333
90,25.49950830679186,25.49950830679186
91,25.49087610087041,25.49087610087041
92,25.482235732942776,25.482235732942776
93,25.47360285927895,25.47360285927895
94,25.464971140320415,25.464971140320415
95,25.456342729452512,25.456342729452512
96,25.447731745416068,25.447731745416068
97,25.43908583853862,25.43908583853862
98,25.43046602238207,25.43046602238207
99,25.421822772222043,25.421822772222043
100,25.413192999985025,25.413192999985025
101,25.40454135763339,25.40454135763339
102,25.395907908640996,25.395907908640996
103,25.387264002868246,25.387264002868246
104,25.37862271053704,25.37862271053704
105,25.369975242912318,25.369975242912318
106,25.36132708583695,25.36132708583695
107,25.352688504541,25.352688504541
108,25.344026295585007,25.344026295585007
109,25.33537827692134,25.33537827692134
110,25.326699316145312,25.326699316145312
111,25.31804097918232,25.31804097918232
112,25.309386339028467,25.309386339028467
113,25.300728956023118,25.300728956023118
114,25.292082789397455,25.292082789397455
115,25.283407890073615,25.283407890073615
