Cycle,Protocol,Stamps,Time (s),Global Time (s),Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage"
1,CC-discharge,0,0.0,0.0,3.865701465686574,-27.263836618115,-27.263836618115,25777.5,22610.7,5e-09,3.865701465686574
1,CC-discharge,1,72.72727272727273,72.72727272727273,3.8403808529221988,-27.263836618115,-27.263836618115,26333.93330910148,22080.91298708412,5e-09,3.8403808529221988
1,CC-discharge,2,145.45454545454547,145.45454545454547,3.8234506155855463,-27.263836618115,-27.263836618115,26753.533894106942,21627.429513905725,5e-09,3.8234506155855463
1,CC-discharge,3,218.1818181818182,218.1818181818182,3.8077747465855194,-27.263836618115,-27.263836618115,27171.25877955953,21173.97419307634,5e-09,3.8077747465855194
1,CC-discharge,4,290.90909090909093,290.90909090909093,3.793022228339001,-27.263836618115,-27.263836618115,27588.955746891086,20720.518802247683,5e-09,3.793022228339001
1,CC-discharge,5,363.6363636363637,363.6363636363637,3.779019152321141,-27.263836618115,-27.263836618115,28006.65097851803,20267.06341070923,5e-09,3.779019152321141
1,CC-discharge,6,436.3636363636364,436.3636363636364,3.7656298331528206,-27.263836618115,-27.263836618115,28424.346077808987,19813.608019160343,5e-09,3.7656298331528206
1,CC-discharge,7,509.0909090909091,509.0909090909091,3.7527574187223354,-27.263836618115,-27.263836618115,28842.04116696692,19360.152627611216,5e-09,3.7527574187223354
1,CC-discharge,8,581.8181818181819,581.8181818181819,3.740329567780978,-27.263836618115,-27.263836618115,29259.736255345346,18906.697236062246,5e-09,3.740329567780978
1,CC-discharge,9,654.5454545454546,654.5454545454546,3.728291653464284,-27.263836618115,-27.263836618115,29677.431343663335,18453.241844513148,5e-09,3.728291653464284
1,CC-discharge,10,727.2727272727274,727.2727272727274,3.7166056128377662,-27.263836618115,-27.263836618115,30095.126431976736,17999.786452963905,5e-09,3.7166056128377662
1,CC-discharge,11,800.0000000000001,800.0000000000001,3.705232452162804,-27.263836618115,-27.263836618115,30512.821520289664,17546.331061414687,5e-09,3.705232452162804
1,CC-discharge,12,872.7272727272727,872.7272727272727,3.6941507610397344,-27.263836618115,-27.263836618115,30930.516608602782,17092.875669865505,5e-09,3.6941507610397344
1,CC-discharge,13,945.4545454545455,945.4545454545455,3.6833410378564633,-27.263836618115,-27.263836618115,31348.211696915754,16639.420278316353,5e-09,3.6833410378564633
1,CC-discharge,14,1018.1818181818182,1018.1818181818182,3.672787760079252,-27.263836618115,-27.263836618115,31765.9067852288,16185.964886767217,5e-09,3.672787760079252
1,CC-discharge,15,1090.909090909091,1090.909090909091,3.662478314240037,-27.263836618115,-27.263836618115,32183.601873541807,15732.509495218219,5e-09,3.662478314240037
1,CC-discharge,16,1163.6363636363637,1163.6363636363637,3.6524021396974553,-27.263836618115,-27.263836618115,32601.296961855,15279.054103669221,5e-09,3.6524021396974553
1,CC-discharge,17,1236.3636363636365,1236.3636363636365,3.6425500190858378,-27.263836618115,-27.263836618115,33018.992050168,14825.598712120292,5e-09,3.6425500190858378
