Time,Concentration,Voltage,JTerm
0.0,25777.5,4.2190396190962005,-0.016297641316621495
289.1566265060241,25856.97016260229,4.215466440779437,-0.016297641316621495
578.3132530120482,25930.23359757545,4.212263821714957,-0.016297641316621495
867.4698795180723,26003.49737841536,4.209149133301015,-0.016297641316621495
1156.6265060240964,26076.761161885956,4.206063543321591,-0.016297641316621495
1445.7831325301206,26150.024948562896,4.203051370196143,-0.016297641316621495
1734.9397590361446,26223.288735336453,4.200091783822548,-0.016297641316621495
2024.0963855421687,26296.552522184174,4.19717256223139,-0.016297641316621495
2313.253012048193,26369.816309036196,4.19430666294416,-0.016297641316621495
2602.409638554217,26443.080095892583,4.191494923328241,-0.016297641316621495
2891.566265060241,26516.343882752888,4.188731812881675,-0.016297641316621495
3180.7228915662654,26589.60766961157,4.1860112061692165,-0.016297641316621495
3469.879518072289,26662.87145646213,4.183325936286483,-0.016297641316621495
3759.0361445783133,26736.135243309964,4.1806819506924695,-0.016297641316621495
4048.1927710843374,26809.399030155168,4.178079184920497,-0.016297641316621495
4337.349397590362,26882.662817010398,4.175509949452564,-0.016297641316621495
4626.506024096386,26955.926603868695,4.172978479123048,-0.016297641316621495
4915.6626506024095,27029.190390730044,4.170484773931953,-0.016297641316621495
5204.819277108434,27102.454177589476,4.1680195191438045,-0.016297641316621495
5493.975903614458,27175.717964445135,4.1655792522295885,-0.016297641316621495
5783.132530120482,27248.981751299627,4.1631688594927745,-0.016297641316621495
6072.289156626506,27322.24553815296,4.160788340933362,-0.016297641316621495
6361.445783132531,27395.50932500514,4.158437696551351,-0.016297641316621495
6650.6024096385545,27468.773111856153,4.156116926346741,-0.016297641316621495
6939.759036144578,27542.036898706006,4.153826030319533,-0.016297641316621495
7228.915662650603,27615.300685558468,4.151549491393972,-0.016297641316621495
7518.0722891566265,27688.56447241222,4.149292712958321,-0.016297641316621495
7807.228915662651,27761.828259266145,4.147060316334737,-0.016297641316621495
8096.385542168675,27835.092046120244,4.144852301523217,-0.016297641316621495
