Cycle,Pack Capacity,"Cell 1,1"
1,26.993438843709015,26.993438843709015
2,18.492549042170822,18.492549042170822
3,18.483063856690325,18.483063856690325
4,18.47356443250186,18.47356443250186
5,18.464120631888267,18.464120631888267
6,18.45464096093778,18.45464096093778
7,18.445144524542027,18.445144524542027
8,18.43567023147792,18.43567023147792
9,18.426214469357408,18.426214469357408
10,18.416709269658778,18.416709269658778
11,18.407222044735246,18.407222044735246
12,18.397765212447112,18.397765212447112
13,18.388270169753046,18.388270169753046
14,18.37877666545477,18.37877666545477
15,18.369309357077622,18.369309357077622
16,18.359838455181926,18.359838455181926
17,18.35036314632492,18.35036314632492
18,18.34087295162234,18.34087295162234
19,18.33138398992589,18.33138398992589
20,18.321908849123822,18.321908849123822
21,18.31240816712294,18.31240816712294
22,18.302925117624614,18.302925117624614
23,18.293437144144562,18.293437144144562
24,18.28394392846599,18.28394392846599
25,18.2744586944379,18.2744586944379
26,18.264963563592488,18.264963563592488
27,18.2554706917522,18.2554706917522
28,18.245982817770123,18.245982817770123
29,18.236482074367284,18.236482074367284
30,18.226990548642256,18.226990548642256
31,18.21749295084206,18.21749295084206
32,18.207994281636186,18.207994281636186
33,18.198505249524217,18.198505249524217
34,18.189002778308584,18.189002778308584
35,18.179504913365296,18.179504913365296
36,18.170002544907927,18.170002544907927
37,18.160486182742844,18.160486182742844
38,18.15098015689963,18.15098015689963
39,18.14149037569779,18.14149037569779
40,18.131992049033435,18.131992049033435
41,18.12247315930831,18.12247315930831
42,18.1129800133643,18.1129800133643
43,18.10349591653597,18.10349591653597
44,18.09396112022144,18.09396112022144
45,18.084444243635247,18.084444243635247
46,18.07495836091679,18.07495836091679
47,18.06545341072372,18.06545341072372
48,18.05592975531367,18.05592975531367
49,18.046432401569366,18.046432401569366
50,18.036937851049426,18.036937851049426
51,18.02740973167923,18.02740973167923
52,18.01789966060024,18.01789966060024
53,18.008405064752367,18.008405064752367
54,17.99888360797518,17.99888360797518
55,17.9893597859997,17.9893597859997
56,17.97984743081565,17.97984743081565
57,17.9703518930895,17.9703518930895
58,17.960814834853036,17.960814834853036
59,17.951296433061746,17.951296433061746
60,17.94180666009103,17.94180666009103
61,17.93227834678405,17.93227834678405
62,17.92273474877998,17.92273474877998
63,17.913245713251488,17.913245713251488
64,17.90372571315739,17.90372571315739
65,17.894183328138766,17.894183328138766
66,17.884661607924446,17.884661607924446
67,17.875157539250825,17.875157539250825
68,17.865616833243468,17.865616833243468
69,17.85608116209759,17.85608116209759
70,17.84657776363973,17.84657776363973
71,17.837047956331197,17.837047956331197
72,17.82750897745789,17.82750897745789
