Cycle,Protocol,Stamps,Time,Global Time,Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage"
27,CC-charge,31,2254.545454545455,247621.21635031392,4.191876665719154,27.263836618115,27.263836618115,32753.906822039684,14782.50771909185,6.5038635808501975e-09,4.191876665719154
27,CC-charge,32,2316.930505102258,247683.60140087074,4.199990000000001,27.263836618115,27.263836618115,32395.610295516057,15171.443723913724,6.504993473450859e-09,4.199990000000001
27,CV-charge,0,0.0,247683.60140087074,4.200000000000001,27.310675413906644,27.310675413906644,32395.610295516057,15171.443723913724,6.504993473450859e-09,4.200000000000001
27,CV-charge,1,72.72727272727273,247756.328673598,4.200000000000001,24.247916765381138,24.247916765381138,31876.296695557176,15665.324679849413,6.506252640194809e-09,4.200000000000001
27,CV-charge,2,145.45454545454547,247829.0559463253,4.200000000000001,22.310573303529868,22.310573303529868,31528.846682071697,16046.353247886196,6.507433561035236e-09,4.200000000000001
27,CV-charge,3,218.1818181818182,247901.78321905257,4.199999999999999,20.6150835810917,20.6150835810917,31209.562095238238,16397.972859266112,6.508550006764065e-09,4.199999999999999
27,CV-charge,4,290.90909090909093,247974.51049177983,4.200000000000001,19.116749678183428,19.116749678183428,30913.660783686097,16723.65408347719,6.509609007238885e-09,4.200000000000001
27,CV-charge,5,363.6363636363637,248047.2377645071,4.199999999999999,17.785645624278146,17.785645624278146,30638.49127793178,17026.32506696709,6.510616447910031e-09,4.199999999999999
27,CV-charge,6,436.3636363636364,248119.9650372344,4.199999999999999,16.597271572348475,16.597271572348475,30381.82262357748,17308.482036880498,6.511577354057525e-09,4.199999999999999
27,CV-charge,7,509.0909090909091,248192.69230996165,4.200000000000001,15.53133603292473,15.53133603292473,30141.73634662414,17572.269376294033,6.512496058021285e-09,4.200000000000001
27,CV-charge,8,581.8181818181819,248265.41958268892,4.199999999999999,14.570991060297388,14.570991060297388,29916.580266670273,17819.53179009423,6.513376304773801e-09,4.199999999999999
27,CV-charge,9,654.5454545454546,248338.14685541618,4.200000000000001,13.702141557708115,13.702141557708115,29704.91746874956,18051.871881836392,6.514221370138288e-09,4.200000000000001
27,CV-charge,10,727.2727272727274,248410.87412814348,4.2,12.913005490184542,12.913005490184542,29505.510791374047,18270.668297256892,6.5150340852932904e-09,4.2
27,CV-charge,11,800.0000000000001,248483.60140087074,4.2,12.193623197214357,12.193623197214357,29317.271493962442,18477.133088024075,6.515816960088768e-09,4.2
27,CV-charge,12,872.7272727272727,248556.328673598,4.2,11.535549031730774,11.535549031730774,29139.244279280247,18672.3287774261,6.516572212021173e-09,4.2
27,CV-charge,13,945.4545454545455,248629.0559463253,4.2,10.931590054053965,10.931590054053965,28970.58670078189,18857.19158145234,6.517301811032498e-09,4.2
27,CV-charge,14,1018.1818181818182,248701.78321905257,4.199999999999999,10.375585453089615,10.375585453089615,28810.55128655923,19032.551503493363,6.518007518601765e-09,4.199999999999999
27,CV-charge,15,1090.909090909091,248774.51049177983,4.2,9.862238745327582,9.862238745327582,28658.473641529796,19199.145719703458,6.518690912945812e-09,4.2
27,CV-charge,16,1163.6363636363637,248847.2377645071,4.2,9.386561129917741,9.386561129917741,28513.63173571034,19357.77309409726,6.519353774400373e-09,4.2
27,CV-charge,17,1236.3636363636365,248919.9650372344,4.2,8.945029920671807,8.945029920671807,28375.625960025205,19508.877837052478,6.5199970238362e-09,4.2
27,CV-charge,18,1309.0909090909092,248992.69230996165,4.200000000000001,8.53419574505926,8.53419574505926,28243.979001294,19652.988551110517,6.520621825132529e-09,4.200000000000001
27,CV-charge,19,1381.818181818182,249065.41958268892,4.200000000000001,8.151038470869556,8.151038470869556,28118.260412698786,19790.581552654876,6.5212292371958955e-09,4.200000000000001
27,CV-charge,20,1454.5454545454547,249138.14685541618,4.200000000000001,7.7929114894265705,7.7929114894265705,27998.081107044687,19922.087139836425,6.521820226052681e-09,4.200000000000001
27,CV-charge,21,1527.2727272727275,249210.87412814348,4.200000000000001,7.457486243884622,7.457486243884622,27883.08836293057,20047.89517511737,6.522395675693982e-09,4.200000000000001
27,CV-charge,22,1600.0000000000002,249283.60140087074,4.2,7.142707987980714,7.142707987980714,27772.961811046003,20168.35957537784,6.522956396723963e-09,4.2
27,CV-charge,23,1672.727272727273,249356.328673598,4.2,6.846759628703578,6.846759628703578,27667.410345507113,20283.801769408437,6.5235031328415285e-09,4.2
27,CV-charge,24,1745.4545454545455,249429.0559463253,4.2,6.5680232672852,6.5680232672852,27566.166572442915,20394.516862940392,6.524036573909625e-09,4.2
27,CV-charge,25,1818.1818181818182,249501.78321905257,4.199999999999999,6.305058417038494,6.305058417038494,27468.98580397667,20500.774770006712,6.524557357497492e-09,4.199999999999999
27,CV-charge,26,1890.909090909091,249574.51049177983,4.2,6.056578405614564,6.056578405614564,27375.643387381413,20602.82319536486,6.525066074903979e-09,4.2
27,CV-charge,27,1963.6363636363637,249647.2377645071,4.199999999999999,5.821430927072424,5.821430927072424,27285.932604454043,20700.889972043165,6.525563275802277e-09,4.199999999999999
27,CV-charge,28,2036.3636363636365,249719.9650372344,4.200000000000001,5.598581419121571,5.598581419121571,27199.662833662063,20795.18510661887,6.526049472322511e-09,4.200000000000001
27,CV-charge,29,2109.0909090909095,249792.69230996165,4.2,5.387098801622621,5.387098801622621,27116.65793538387,20885.902575081505,6.52652514265085e-09,4.2
27,CV-charge,30,2181.818181818182,249865.41958268892,4.199999999999999,5.186143200886118,5.186143200886118,27036.754829249116,20973.221904151145,6.5269907342112495e-09,4.199999999999999
27,CV-charge,31,2254.545454545455,249938.14685541618,4.199999999999999,4.994955349531035,4.994955349531035,26959.802237275628,21057.30956754672,6.527446666485638e-09,4.199999999999999
27,CV-charge,32,2327.2727272727275,250010.87412814348,4.200000000000001,4.812847404973157,4.812847404973157,26885.659570556683,21138.320222130264,6.527893333519875e-09,4.200000000000001
27,CV-charge,33,2400.0,250083.60140087074,4.200000000000001,4.639194972988971,4.639194972988971,26814.195940615286,21216.397805089448,6.52833110615574e-09,4.200000000000001
27,CV-charge,34,2472.727272727273,250156.328673598,4.2,4.47343015816985,4.47343015816985,26745.289279323784,21291.676510152134,6.528760334023357e-09,4.2
27,CV-charge,35,2545.4545454545455,250229.0559463253,4.2,4.315035492178804,4.315035492178804,26678.8255536512,21364.281658225944,6.529181347323504e-09,4.2
