Cycle,Protocol,Stamps,Time,Global Time,Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 1,1 Anode Side Current","Cell 1,1 Anode Intercalation Current"
1,CC-discharge,0,0.0,0.0,3.866102522392951,-27.263836618115,-27.263836618115,25777.499999999996,22610.7,0.0,3.866102522392951,5.1278273660249346e-21,0.40105673165806116
1,CC-discharge,1,72.72727272727273,72.72727272727273,3.8407754605375075,-27.263836618115,-27.263836618115004,26346.408496422708,22074.1423723073,9.288137262213471e-16,3.8407754605375075,9.705392032750622e-29,0.40105673165806116
1,CC-discharge,2,145.45454545454547,145.45454545454547,3.8238469245546156,-27.263836618115,-27.263836618115,26765.99848269987,21620.66260416183,9.279060639830998e-16,3.8238469245546156,-1.5122418355447497e-24,0.40105673165806116
1,CC-discharge,3,218.1818181818182,218.1818181818182,3.8081641442055996,-27.263836618115,-27.263836618115,27183.72475954377,21167.20726406335,9.279011233329164e-16,3.8081641442055996,5.13202107429689e-25,0.40105673165806116
1,CC-discharge,4,290.90909090909093,290.90909090909093,3.793416610171803,-27.263836618115,-27.263836618115,27601.422253729896,20713.751873269317,9.279010716674034e-16,3.793416610171803,-4.7795827308630644e-27,0.40105673165806116
1,CC-discharge,5,363.6363636363637,363.6363636363637,3.779414079097075,-27.263836618115,-27.263836618115,28019.117528388753,20260.29648173115,9.279010723474652e-16,3.779414079097075,1.789723057407736e-29,0.40105673165806116
1,CC-discharge,6,436.3636363636364,436.3636363636364,3.766025179754011,-27.263836618115,-27.263836618115,28436.81263120026,19806.84109018196,9.279010723381182e-16,3.766025179754011,-4.145709189993508e-30,0.40105673165806116
1,CC-discharge,7,509.0909090909091,509.0909090909091,3.753158158638923,-27.263836618115,-27.263836618115,28854.50772064681,19353.385698632326,9.279010724221565e-16,3.753158158638923,1.1395669591072691e-29,0.40105673165806116
1,CC-discharge,8,581.8181818181819,581.8181818181819,3.740730439493628,-27.263836618115,-27.263836618115,29272.202809048642,18899.930307083036,9.279010722571201e-16,3.740730439493628,5.684136817820136e-29,0.40105673165806116
1,CC-discharge,9,654.5454545454546,654.5454545454546,3.728692708958663,-27.263836618115,-27.263836618115,29689.897897368723,18446.474915533432,9.279010725210123e-16,3.728692708958663,5.892999168827057e-29,0.40105673165806116
1,CC-discharge,10,727.2727272727274,727.2727272727274,3.717003322714257,-27.263836618115,-27.263836618115,30107.592985681902,17993.01952398378,9.279010722887103e-16,3.717003322714257,1.1390345518128945e-29,0.40105673165806116
1,CC-discharge,11,800.0000000000001,800.0000000000001,3.705630254441392,-27.263836618115,-27.263836618115,30525.288073995234,17539.564132434814,9.279010718906177e-16,3.705630254441392,3.8906921237218126e-30,0.40105673165806116
1,CC-discharge,12,872.7272727272727,872.7272727272727,3.6945486486449592,-27.263836618115,-27.263836618115,30942.983162308148,17086.108740885516,9.279010717471683e-16,3.6945486486449592,-6.080604436074984e-29,0.40105673165806116
1,CC-discharge,13,945.4545454545455,945.4545454545455,3.68373900521728,-27.263836618115,-27.263836618115,31360.678250621524,16632.65334933644,9.27901072070361e-16,3.68373900521728,1.798130353740238e-29,0.40105673165806116
1,CC-discharge,14,1018.1818181818182,1018.1818181818182,3.67318580268613,-27.263836618115,-27.263836618115,31778.37333893448,16179.197957787343,9.27901071955767e-16,3.67318580268613,-1.6052445394742048e-32,0.40105673165806116
1,CC-discharge,15,1090.909090909091,1090.909090909091,3.6628764284235524,-27.263836618115,-27.263836618115,32196.068427247523,15725.742566238125,9.279010717016175e-16,3.6628764284235524,-2.0549054107998905e-29,0.40105673165806116
1,CC-discharge,16,1163.6363636363637,1163.6363636363637,3.6528003224426655,-27.263836618115,-27.263836618115,32613.763515560546,15272.287174689165,9.279010717117956e-16,3.6528003224426655,2.729972364249846e-29,0.40105673165806116
1,CC-discharge,17,1236.3636363636365,1236.3636363636365,3.6429482677921503,-27.263836618115,-27.263836618115,33031.45860387355,14818.831783140242,9.279010725206076e-16,3.6429482677921503,1.089542471331727e-28,0.40105673165806116
1,CC-discharge,18,1309.0909090909092,1309.0909090909092,3.633311776704328,-27.263836618115,-27.263836618115,33449.15369218641,14365.376391591042,9.279010724517984e-16,3.633311776704328,6.00908364431431e-30,0.40105673165806116
1,CC-discharge,19,1381.818181818182,1381.818181818182,3.623882532479429,-27.263836618115,-27.263836618115,33866.84878049905,13911.92100004189,9.279010723700075e-16,3.623882532479429,1.1256484176957964e-29,0.40105673165806116
1,CC-discharge,20,1454.5454545454547,1454.5454545454547,3.614651853607062,-27.263836618115,-27.263836618115,34284.54386881147,13458.465608492512,9.279010721734746e-16,3.614651853607062,2.9976871560339424e-30,0.40105673165806116
1,CC-discharge,21,1527.2727272727275,1527.2727272727275,3.6056101501387485,-27.263836618115,-27.263836618115,34702.23895712418,13005.010216943405,9.279010723601077e-16,3.6056101501387485,3.9769537936541665e-29,0.40105673165806116
1,CC-discharge,22,1600.0000000000002,1600.0000000000002,3.59674634454928,-27.263836618115,-27.263836618115,35119.93404543686,12551.554825394198,9.279010727304402e-16,3.59674634454928,6.181778824601523e-30,0.40105673165806116
1,CC-discharge,23,1672.727272727273,1672.727272727273,3.5880472214708243,-27.263836618115,-27.263836618115,35537.62913374919,12098.099433845458,9.27901074041894e-16,3.5880472214708243,4.601723888652695e-30,0.40105673165806116
1,CC-discharge,24,1745.4545454545455,1745.4545454545455,3.579496198118262,-27.263836618115,-27.263836618115,35955.32422206209,11644.64404229613,9.27901073743531e-16,3.579496198118262,-1.0918970167235018e-28,0.40105673165806116
1,CC-discharge,25,1818.1818181818182,1818.1818181818182,3.571074661109554,-27.263836618115,-27.263836618115,36373.01931037438,11191.18865074673,9.279010739767107e-16,3.571074661109554,-2.706472247368549e-29,0.40105673165806116
1,CC-discharge,26,1890.909090909091,1890.909090909091,3.5627570988565527,-27.263836618115,-27.263836618115,36790.714398687116,10737.733259198067,9.279010748930785e-16,3.5627570988565527,1.0594139090988282e-29,0.40105673165806116
1,CC-discharge,27,1963.6363636363637,1963.6363636363637,3.554512744945239,-27.263836618115,-27.263836618115,37208.40948699991,10284.277867648707,9.279010751195816e-16,3.554512744945239,5.807952782187311e-30,0.40105673165806116
1,CC-discharge,28,2036.3636363636365,2036.3636363636365,3.546303199359703,-27.263836618115,-27.263836618115,37626.1045753124,9830.822476099525,9.279010747013838e-16,3.546303199359703,-1.5918523927640635e-30,0.40105673165806116
1,CC-discharge,29,2109.0909090909095,2109.0909090909095,3.5380804739699183,-27.263836618115,-27.263836618115,38043.7996636255,9377.367084550095,9.279010746061065e-16,3.5380804739699183,-1.99680510008399e-29,0.40105673165806116
1,CC-discharge,30,2181.818181818182,2181.818181818182,3.5297845484186974,-27.263836618115,-27.263836618115,38461.49475193819,8923.911693000937,9.279010748043262e-16,3.5297845484186974,-8.566227113469801e-30,0.40105673165806116
1,CC-discharge,31,2254.545454545455,2254.545454545455,3.5213404736474945,-27.263836618115,-27.263836618115,38879.18984025108,8470.456301451924,9.279010748177877e-16,3.5213404736474945,3.0497769435858985e-30,0.40105673165806116
1,CC-discharge,32,2327.2727272727275,2327.2727272727275,3.512655354164397,-27.263836618115,-27.263836618115,39296.88492856367,8017.000909902949,9.27901074823627e-16,3.512655354164397,-1.3873180424935163e-30,0.40105673165806116
1,CC-discharge,33,2400.0,2400.0,3.503611097264768,-27.263836618115,-27.263836618115,39714.580016876585,7563.545518353728,9.279010748741656e-16,3.503611097264768,-2.389299092289029e-29,0.40105673165806116
1,CC-discharge,34,2472.727272727273,2472.727272727273,3.494064031828521,-27.263836618115,-27.263836618115,40132.27510518931,7110.090126804553,9.279010747641871e-16,3.494064031828521,1.273853886145486e-29,0.40105673165806116
1,CC-discharge,35,2545.4545454545455,2545.4545454545455,3.483834049047035,-27.263836618115,-27.263836618115,40549.97019350198,6656.634735255436,9.279010745090534e-16,3.483834049047035,2.322936904855422e-29,0.40105673165806116
1,CC-discharge,36,2618.1818181818185,2618.1818181818185,3.472697754698196,-27.263836618115,-27.263836618115,40967.665281815,6203.179343706203,9.27901074832726e-16,3.472697754698196,1.62933695611267e-30,0.40105673165806116
1,CC-discharge,37,2690.909090909091,2690.909090909091,3.460379206033917,-27.263836618115,-27.263836618115,41385.36037012819,5749.723952157122,9.279010741919086e-16,3.460379206033917,1.9370254530578997e-30,0.40105673165806116
1,CC-discharge,38,2763.636363636364,2763.636363636364,3.446537472267666,-27.263836618115,-27.263836618115,41803.05545844118,5296.268560607978,9.279010743651797e-16,3.446537472267666,9.655938068107673e-30,0.40105673165806116
1,CC-discharge,39,2836.3636363636365,2836.3636363636365,3.4307548222321107,-27.263836618115,-27.263836618115,42220.75054675392,4842.813169058834,9.279010745784323e-16,3.4307548222321107,3.512092664296017e-30,0.40105673165806116
1,CC-discharge,40,2909.0909090909095,2909.0909090909095,3.412520550204216,-27.263836618115,-27.263836618115,42638.4456350664,4389.357777509738,9.279010744449754e-16,3.412520550204216,1.8485639949676878e-30,0.40105673165806116
1,CC-discharge,41,2981.818181818182,2981.818181818182,3.3912134329341486,-27.263836618115,-27.263836618115,43056.14072337888,3935.9023859606764,9.279010743354231e-16,3.3912134329341486,-1.4260093098325163e-29,0.40105673165806116
1,CC-discharge,42,3054.545454545455,3054.545454545455,3.3660895115314573,-27.263836618115,-27.263836618115,43473.835811691715,3482.4469944115385,9.279010744449554e-16,3.3660895115314573,-9.149417310456875e-30,0.40105673165806116
1,CC-discharge,43,3127.2727272727275,3127.2727272727275,3.3362631812984693,-27.263836618115,-27.263836618115,43891.530900004334,3028.9916028625157,9.27901073779633e-16,3.3362631812984693,-3.1395794002762857e-31,0.40105673165806116
1,CC-discharge,44,3200.0000000000005,3200.0000000000005,3.300693239306117,-27.263836618115,-27.263836618115,44309.22598831781,2575.5362113133874,9.27901074212452e-16,3.300693239306117,-6.549898231036017e-30,0.40105673165806116
1,CC-discharge,45,3272.727272727273,3272.727272727273,3.2581370929891182,-27.263836618115,-27.263836618115,44726.92107663088,2122.0808197643646,9.279010736886644e-16,3.2581370929891182,3.318514675223795e-30,0.40105673165806116
1,CC-discharge,46,3345.454545454546,3345.454545454546,3.2068828989642113,-27.263836618115,-27.263836618115,45144.61616494306,1668.6254282153197,9.27901072922933e-16,3.2068828989642113,2.2690766860382566e-31,0.40105673165806116
1,CC-discharge,47,3418.1818181818185,3418.1818181818185,3.142910991105238,-27.263836618115,-27.263836618115,45562.311253256594,1215.170036666297,9.279010732571627e-16,3.142910991105238,4.5097505093620155e-30,0.40105673165806116
1,CC-discharge,48,3490.909090909091,3490.909090909091,3.0433766322625377,-27.263836618115,-27.263836618115,45980.0063415692,761.7146451172815,9.279010729396907e-16,3.0433766322625377,2.840577920562555e-31,0.40105673165806116
1,CC-discharge,49,3508.7109778166437,3508.7109778166437,3.0000100000000005,-27.263836618115,-27.263836618115,46082.24805152387,650.7196731451088,9.279010705250202e-16,3.0000100000000005,-1.0718727932032177e-30,0.40105673165806116
1,CC-charge,0,3508.7109778166437,3508.7109778166437,3.715311783722692,27.263836618115,27.263836618115,46082.248051523864,650.7196731451087,9.279010705250202e-16,3.715311783722692,2.906413374428869e-22,-0.40105673165806116
1,CC-charge,1,3581.438250543916,3581.438250543916,3.820488404292771,27.263836618115,27.263836618115,45513.344486072245,1187.2747767376213,9.49109101107767e-16,3.820488404292771,6.430565073345405e-23,-0.40105673165806116
