Cycle,Pack Capacity,"Cell 1,1"
1,26.57247856649432,26.57247856649432
2,26.25368098244778,26.25368098244778
3,26.245211503612726,26.245211503612726
4,26.236755081473735,26.236755081473735
5,26.228276413275694,26.228276413275694
6,26.21980969301592,26.21980969301592
7,26.21132849170718,26.21132849170718
8,26.20285961075282,26.20285961075282
9,26.194384913548596,26.194384913548596
10,26.185876935784155,26.185876935784155
11,26.177444031326534,26.177444031326534
12,26.168935547023533,26.168935547023533
13,26.160507133810896,26.160507133810896
14,26.15201497637011,26.15201497637011
15,26.143467894412307,26.143467894412307
16,26.134974863972136,26.134974863972136
17,26.1264852320071,26.1264852320071
18,26.117977604985548,26.117977604985548
19,26.109502563891553,26.109502563891553
20,26.10099443947672,26.10099443947672
21,26.092504579282153,26.092504579282153
22,26.083985464903765,26.083985464903765
23,26.075486683176134,26.075486683176134
24,26.066976353740582,26.066976353740582
25,26.058477745564826,26.058477745564826
26,26.049962087562275,26.049962087562275
27,26.041439745442094,26.041439745442094
28,26.032913490141848,26.032913490141848
29,26.024391707505327,26.024391707505327
30,26.01587046370172,26.01587046370172
31,26.00735323436842,26.00735323436842
32,25.998839648664198,25.998839648664198
33,25.990299775711804,25.990299775711804
34,25.98180337011827,25.98180337011827
35,25.97326584783715,25.97326584783715
36,25.964757361591023,25.964757361591023
37,25.95620653870585,25.95620653870585
38,25.94768857194416,25.94768857194416
39,25.93914491917756,25.93914491917756
40,25.930612816484057,25.930612816484057
41,25.922074952585287,25.922074952585287
42,25.913535240610486,25.913535240610486
43,25.904995077767985,25.904995077767985
44,25.896450602647423,25.896450602647423
45,25.887907109945694,25.887907109945694
46,25.879337457501286,25.879337457501286
47,25.870789534755062,25.870789534755062
48,25.862231638120193,25.862231638120193
49,25.85369325202933,25.85369325202933
50,25.845133543901834,25.845133543901834
