#,protocol,Time,Clock,Pack Voltage,Pack Current,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Voltage","Cell 1,1 Anode SEI Length","Cell 1,1 Capacity by Area","Cell 1,2 Cathode Concentration","Cell 1,2 Anode Concentration","Cell 1,2 Voltage","Cell 1,2 Anode SEI Length","Cell 1,2 Capacity by Area","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Voltage","Cell 2,1 Anode SEI Length","Cell 2,1 Capacity by Area","Cell 2,2 Cathode Concentration","Cell 2,2 Anode Concentration","Cell 2,2 Voltage","Cell 2,2 Anode SEI Length","Cell 2,2 Capacity by Area"
1,CC_Discharge,0.0,0.0,7.731402934336724,-54.52767323623,25777.5,22610.7,3.865701467168362,5e-09,0.0,25777.5,22610.7,3.865701467168362,5e-09,0.0,25777.5,22610.7,3.865701467168362,5e-09,0.0,25777.5,22610.7,3.865701467168362,5e-09,0.0
1,CC_Discharge,40.4040404040404,40.4040404040404,7.697350816613992,-54.52767323623,26140.306503499873,22283.112236901787,3.8486754083069954,4.999999999966087e-09,0.3059914323020776,26140.306503499836,22283.11223690172,3.848675408306994,5.000000000000003e-09,0.30599143230207504,26140.306503499865,22283.112236901776,3.8486754083069963,5.000000000000011e-09,0.3059914323020776,26140.30650349984,22283.11223690176,3.8486754083069985,4.9999999999999935e-09,0.30599143230207504
1,CC_Discharge,80.8080808080808,80.8080808080808,7.676822986602587,-54.52767323623,26381.04449530595,22030.50802973126,3.838411493301291,5.000000000004224e-09,0.6119828646041521,26381.044495305923,22030.508029731154,3.8384114933012934,4.999999999999984e-09,0.6119828646041532,26381.04449530594,22030.50802973117,3.8384114933012956,5.000000000000026e-09,0.6119828646041521,26381.04449530594,22030.508029731187,3.8384114933012943,4.999999999999974e-09,0.6119828646041532
1,CC_Discharge,121.2121212121212,121.2121212121212,7.6578529243008395,-54.52767323623,26614.197797627632,21778.581248478524,3.828926462150423,5.000000000002152e-09,0.9179742969062233,26614.197797627538,21778.58124847837,3.8289264621504207,4.999999999999988e-09,0.9179742969062346,26614.19779762768,21778.581248478404,3.8289264621504167,5.000000000000016e-09,0.9179742969062233,26614.197797627592,21778.58124847838,3.8289264621504198,4.999999999999987e-09,0.9179742969062346
1,CC_Discharge,161.6161616161616,161.6161616161616,7.639751035731363,-54.52767323623,26846.359268167635,21526.66171176361,3.819875517865679,5.000000000001499e-09,1.2239657292082937,26846.359268167478,21526.661711763532,3.8198755178656825,4.99999999999999e-09,1.2239657292083168,26846.359268167562,21526.661711763598,3.819875517865684,5.0000000000000125e-09,1.2239657292082937,26846.359268167565,21526.661711763543,3.81987551786568,4.999999999999989e-09,1.2239657292083168
1,CC_Discharge,202.02020202020202,202.02020202020202,7.6223410335106845,-54.52767323623,27078.434089175058,21274.742058016378,3.8111705167553396,5.000000000045264e-09,1.529957161510361,27078.434089174934,21274.742058016316,3.8111705167553414,4.999999999999979e-09,1.5299571615104024,27078.43408917498,21274.742058016316,3.811170516755345,5.00000000000002e-09,1.529957161510361,27078.434089174913,21274.742058016178,3.8111705167553427,4.99999999999998e-09,1.5299571615104024
1,CC_Discharge,242.4242424242424,242.4242424242424,7.605531558071894,-54.52767323623,27310.49137427974,21022.822396586325,3.802765779035946,5.0000000000304155e-09,1.8359485938124318,27310.491374279656,21022.82239658609,3.802765779035945,4.999999999999958e-09,1.8359485938124842,27310.491374279678,21022.822396586183,3.8027657790359477,5.000000000000038e-09,1.8359485938124318,27310.491374279594,21022.822396586034,3.8027657790359495,4.999999999999966e-09,1.8359485938124842
1,CC_Discharge,282.8282828282828,282.8282828282828,7.589250440789057,-54.52767323623,27542.545105898764,20770.902734650284,3.794625220394528,5.000000000014282e-09,2.1419400261145056,27542.5451058987,20770.902734650146,3.794625220394529,4.999999999999965e-09,2.141940026114563,27542.54510589874,20770.90273465031,3.794625220394529,5.000000000000032e-09,2.1419400261145056,27542.545105898706,20770.90273464998,3.7946252203945274,4.9999999999999695e-09,2.141940026114563
1,CC_Discharge,323.2323232323232,323.2323232323232,7.5734382837945695,-54.52767323623,27774.598116587553,20518.98307268096,3.7867191418972856,4.999999999996653e-09,2.44793145841658,27774.598116587513,20518.983072680792,3.7867191418972848,4.999999999999963e-09,2.4479314584166416,27774.59811658755,20518.983072680963,3.7867191418972843,5.000000000000037e-09,2.44793145841658,27774.598116587462,20518.983072680658,3.786719141897285,4.999999999999973e-09,2.4479314584166416
1,CC_Discharge,363.6363636363636,363.6363636363636,7.558045513829844,-54.52767323623,28006.650980835035,20267.063410709456,3.779022756914921,4.999999999991299e-09,2.753922890718655,28006.650980835057,20267.063410709325,3.7790227569149235,4.999999999999959e-09,2.7539228907187194,28006.650980834995,20267.06341070939,3.779022756914924,5.00000000000004e-09,2.753922890718655,28006.65098083498,20267.06341070919,3.7790227569149213,4.999999999999972e-09,2.7539228907187194
